{'TIMESTAMP': '2020-11-27 17:34:39', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 21:58:23.205131', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 21, 58, 23, 244683)}
{'TIMESTAMP': '2020-11-27 17:35:44', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 21:59:28.369891', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 21, 59, 28, 394412)}
{'TIMESTAMP': '2020-11-27 17:36:48', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:00:33.515079', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 0, 33, 538964)}
{'TIMESTAMP': '2020-11-27 17:37:58', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:01:38.655174', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 1, 38, 679357)}
{'TIMESTAMP': '2020-11-27 17:39:05', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:02:43.795166', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 2, 43, 829221)}
{'TIMESTAMP': '2020-11-27 17:40:18', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:03:48.944689', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 3, 48, 969263)}
{'TIMESTAMP': '2020-11-27 17:41:19', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:04:54.110055', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 4, 54, 134058)}
{'TIMESTAMP': '2020-11-27 17:42:21', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:05:59.270023', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 5, 59, 303933)}
{'TIMESTAMP': '2020-11-27 17:43:27', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:07:04.419491', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 7, 4, 446491)}
{'TIMESTAMP': '2020-11-27 17:44:28', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:08:09.589549', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 8, 9, 614020)}
{'TIMESTAMP': '2020-11-27 17:45:31', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:09:14.744897', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 9, 14, 773702)}
{'TIMESTAMP': '2020-11-27 17:46:31', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:10:19.854424', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 10, 19, 878900)}
{'TIMESTAMP': '2020-11-27 17:47:33', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:11:25.009401', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 11, 25, 43903)}
{'TIMESTAMP': '2020-11-27 17:48:34', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:12:30.169564', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 12, 30, 193457)}
{'TIMESTAMP': '2020-11-27 17:49:36', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:13:35.319270', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 13, 35, 343789)}
{'TIMESTAMP': '2020-11-27 17:50:37', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:14:40.459247', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 14, 40, 483703)}
{'TIMESTAMP': '2020-11-27 17:51:39', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:15:45.639176', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 15, 45, 663220)}
{'TIMESTAMP': '2020-11-27 17:52:41', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:16:50.784223', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 16, 50, 808563)}
{'TIMESTAMP': '2020-11-27 17:53:43', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:17:55.924579', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 17, 55, 948441)}
{'TIMESTAMP': '2020-11-27 17:54:46', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:19:01.039088', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 19, 1, 64980)}
{'TIMESTAMP': '2020-11-27 17:55:48', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:20:06.199088', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 20, 6, 224422)}
{'TIMESTAMP': '2020-11-27 17:56:50', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:21:11.338984', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 21, 11, 363230)}
{'TIMESTAMP': '2020-11-27 17:57:53', 'CEI_ID': '1', 'T_L1': '58.1', 'T_L2': '-0.1', 'T_W1': '0', 'T_W2': '0', 'R1': '0', 'R2': '0', 'R3': '0', 'R4': '0', 'R5': '0', 'R6': '0', 'Connected': '0', 'Time_STAMP': '2020-12-06 22:22:16.478919', 'Time_STAMP Server': datetime.datetime(2020, 12, 6, 22, 22, 16, 508280)}
