{'Time_STAMP': '2020-11-27 17:33:30', 'CEI_ID': '1', 'U_DC': '787.7', 'I_DC': '1.38', 'U_RMS_A': '230.24', 'U_RMS_B': '230.53', 'U_RMS_C': '227.28', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.82', 'S_RMS_A': '188.07', 'S_RMS_B': '46.66', 'S_RMS_C': '1323.2', 'T_IGBT': '46.8', 'T_AMBIENT': '19.2', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:31', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.39', 'U_RMS_A': '230.38', 'U_RMS_B': '230.54', 'U_RMS_C': '227.17', 'I_RMS_A': '0.93', 'I_RMS_B': '0.21', 'I_RMS_C': '5.86', 'S_RMS_A': '214.06', 'S_RMS_B': '48.76', 'S_RMS_C': '1330.7', 'T_IGBT': '46.5', 'T_AMBIENT': '19.1', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:32', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.39', 'U_RMS_A': '230.38', 'U_RMS_B': '230.54', 'U_RMS_C': '227.17', 'I_RMS_A': '0.93', 'I_RMS_B': '0.21', 'I_RMS_C': '5.86', 'S_RMS_A': '214.06', 'S_RMS_B': '48.76', 'S_RMS_C': '1330.7', 'T_IGBT': '46.5', 'T_AMBIENT': '19.1', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:33', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.36', 'U_RMS_A': '230.53', 'U_RMS_B': '230.42', 'U_RMS_C': '227.1', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.81', 'S_RMS_A': '188.5', 'S_RMS_B': '45.69', 'S_RMS_C': '1320.16', 'T_IGBT': '46.3', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:34', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.36', 'U_RMS_A': '230.53', 'U_RMS_B': '230.42', 'U_RMS_C': '227.1', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.81', 'S_RMS_A': '188.5', 'S_RMS_B': '45.69', 'S_RMS_C': '1320.16', 'T_IGBT': '46.3', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:35', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.37', 'U_RMS_A': '230.53', 'U_RMS_B': '230.42', 'U_RMS_C': '227.08', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.8', 'S_RMS_A': '188.76', 'S_RMS_B': '45.15', 'S_RMS_C': '1318.02', 'T_IGBT': '46', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:36', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.37', 'U_RMS_A': '230.53', 'U_RMS_B': '230.42', 'U_RMS_C': '227.08', 'I_RMS_A': '0.82', 'I_RMS_B': '0.2', 'I_RMS_C': '5.8', 'S_RMS_A': '188.76', 'S_RMS_B': '45.15', 'S_RMS_C': '1318.02', 'T_IGBT': '46', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:37', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.36', 'U_RMS_A': '230.52', 'U_RMS_B': '230.47', 'U_RMS_C': '227.09', 'I_RMS_A': '0.83', 'I_RMS_B': '0.2', 'I_RMS_C': '5.79', 'S_RMS_A': '191.54', 'S_RMS_B': '45.58', 'S_RMS_C': '1315.43', 'T_IGBT': '45.8', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:38', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.36', 'U_RMS_A': '230.52', 'U_RMS_B': '230.47', 'U_RMS_C': '227.09', 'I_RMS_A': '0.83', 'I_RMS_B': '0.2', 'I_RMS_C': '5.79', 'S_RMS_A': '191.54', 'S_RMS_B': '45.58', 'S_RMS_C': '1315.43', 'T_IGBT': '45.8', 'T_AMBIENT': '19.4', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:39', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.35', 'U_RMS_A': '230.51', 'U_RMS_B': '230.47', 'U_RMS_C': '227.08', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.76', 'S_RMS_A': '187.13', 'S_RMS_B': '45.05', 'S_RMS_C': '1307.31', 'T_IGBT': '45.7', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:33:40', 'CEI_ID': '1', 'U_DC': '787.8', 'I_DC': '1.35', 'U_RMS_A': '230.51', 'U_RMS_B': '230.47', 'U_RMS_C': '227.08', 'I_RMS_A': '0.81', 'I_RMS_B': '0.2', 'I_RMS_C': '5.76', 'S_RMS_A': '187.13', 'S_RMS_B': '45.05', 'S_RMS_C': '1307.31', 'T_IGBT': '45.7', 'T_AMBIENT': '19.5', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
