{}
{'Time_STAMP': '2020-11-27 17:34:07', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.33', 'U_RMS_A': '229.64', 'U_RMS_B': '230.98', 'U_RMS_C': '227.46', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.38', 'S_RMS_B': '39.74', 'S_RMS_C': '683.3', 'T_IGBT': '46.1', 'T_AMBIENT': '18.3', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:07', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.33', 'U_RMS_A': '229.64', 'U_RMS_B': '230.98', 'U_RMS_C': '227.46', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.38', 'S_RMS_B': '39.74', 'S_RMS_C': '683.3', 'T_IGBT': '46.1', 'T_AMBIENT': '18.3', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:11', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.35', 'U_RMS_A': '229.66', 'U_RMS_B': '230.95', 'U_RMS_C': '227.47', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '139.91', 'S_RMS_B': '39.02', 'S_RMS_C': '682.56', 'T_IGBT': '46.2', 'T_AMBIENT': '18.2', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:12', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.35', 'U_RMS_A': '229.66', 'U_RMS_B': '230.95', 'U_RMS_C': '227.47', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '139.91', 'S_RMS_B': '39.02', 'S_RMS_C': '682.56', 'T_IGBT': '46.2', 'T_AMBIENT': '18.2', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:13', 'CEI_ID': '2', 'U_DC': '745.7', 'I_DC': '1.34', 'U_RMS_A': '229.67', 'U_RMS_B': '230.93', 'U_RMS_C': '227.48', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.3', 'S_RMS_B': '39.5', 'S_RMS_C': '682.97', 'T_IGBT': '46.2', 'T_AMBIENT': '18.2', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:14', 'CEI_ID': '2', 'U_DC': '745.7', 'I_DC': '1.34', 'U_RMS_A': '229.67', 'U_RMS_B': '230.93', 'U_RMS_C': '227.48', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.3', 'S_RMS_B': '39.5', 'S_RMS_C': '682.97', 'T_IGBT': '46.2', 'T_AMBIENT': '18.2', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:15', 'CEI_ID': '2', 'U_DC': '745.7', 'I_DC': '1.33', 'U_RMS_A': '229.68', 'U_RMS_B': '230.9', 'U_RMS_C': '227.49', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.58', 'S_RMS_B': '40.36', 'S_RMS_C': '682.94', 'T_IGBT': '46.3', 'T_AMBIENT': '18.1', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:16', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.33', 'U_RMS_A': '229.71', 'U_RMS_B': '230.92', 'U_RMS_C': '227.46', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.58', 'S_RMS_B': '40.16', 'S_RMS_C': '683.09', 'T_IGBT': '46.3', 'T_AMBIENT': '18.1', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:18', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.33', 'U_RMS_A': '229.73', 'U_RMS_B': '230.92', 'U_RMS_C': '227.44', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.75', 'S_RMS_B': '40.05', 'S_RMS_C': '682.44', 'T_IGBT': '46.4', 'T_AMBIENT': '18.1', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:19', 'CEI_ID': '2', 'U_DC': '745.4', 'I_DC': '1.33', 'U_RMS_A': '229.73', 'U_RMS_B': '230.92', 'U_RMS_C': '227.44', 'I_RMS_A': '0.61', 'I_RMS_B': '0.17', 'I_RMS_C': '3', 'S_RMS_A': '140.75', 'S_RMS_B': '40.05', 'S_RMS_C': '682.44', 'T_IGBT': '46.4', 'T_AMBIENT': '18.1', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
{'Time_STAMP': '2020-11-27 17:34:20', 'CEI_ID': '2', 'U_DC': '743.4', 'I_DC': '1.34', 'U_RMS_A': '229.75', 'U_RMS_B': '230.93', 'U_RMS_C': '227.41', 'I_RMS_A': '0.61', 'I_RMS_B': '0.18', 'I_RMS_C': '3', 'S_RMS_A': '141.03', 'S_RMS_B': '41.41', 'S_RMS_C': '682.8', 'T_IGBT': '46.4', 'T_AMBIENT': '18', 'STATUS_FLAGS': '17', 'FAULT_FLAGS': '0'}
