# TimeStamp(s) Latency-avg(ms) Stdev
0 96.985 107.546
10 58.099 75.126
20 74.395 95.516
30 68.418 90.19
40 61.883 87.28
50 79.56 103.736
60 85.248 97.496
70 100.818 118.162
80 86.971 96.863
90 78.32 97.429
100 54.051 70.386
110 73.682 93.51
120 81.834 98.158
130 86.922 102.893
140 45.637 61.918
150 42.252 59.656
160 41.373 48.457
170 90.548 105.899
180 83.622 101.693
190 65.455 84.447
200 81.078 96.546
210 77.727 98.507
220 87.082 104.778
230 82.953 99.006
240 75.643 95.372
250 110.91 107.467
260 86.058 102.682
270 72.893 91.518
280 80.091 103.387
290 103.112 114.248
300 71.083 87.509
310 63.537 81.119
320 81.229 103.652
330 77.299 98.007
340 57.58 78.563
350 70.17 92.754
360 80.703 93.394
370 50.469 71.775
380 84.199 97.181
390 64.45 84.865
400 81.17 98.971
410 93.639 105.611
420 75.402 88.044
430 87.636 100.612
440 69.471 89.622
450 73.262 92.488
460 63.121 82.907
470 103.793 114.965
480 78.681 89.401
490 60.232 73.17
500 75.063 91.673
510 102.06 114.281
520 102.754 114.61
530 69.859 86.134
540 56.305 71.934
550 124.926 119.888
560 72.32 92.458
570 78.474 92.968
580 92.666 98.483
590 73.697 94.503
600 86.304 103.983
610 72.161 89.426
620 68.927 87.977
630 90.033 105.086
640 50.379 66.704
650 64.112 84.191
660 96.671 111.335
670 82.756 96.765
680 81.511 99.375
690 78.307 99.32
700 62.837 85.466
710 46.603 60.617
720 91.294 102.55
730 75.263 92.819
740 68.504 83.51
750 117.103 113.392
760 81.053 93.605
770 54.256 70.387
780 70.242 88.385
790 85.334 100.885
800 103.072 113.165
810 68.383 89.071
820 62.691 79.725
830 99.536 102.315
840 90.535 106.814
850 61.696 78.686
860 89.741 97.822
870 78.057 90.758
880 46.677 55.17
890 63.547 76.219
900 59.179 73.095
910 64.635 85.337
920 59.029 72.679
930 45.93 55.672
940 45.548 61.352
950 37.983 39.805
960 98.086 112.834
970 79.81 92.778
980 100.788 109.038
990 81.353 92.662
1000 91.665 102.933
1010 58.797 74.679
1020 55.582 63.994
1030 41.321 51.202
1040 68.021 80.511
1050 60.139 72.96
1060 65.447 78.878
1070 71.047 88.576
1080 58.684 72.945
1090 82.15 96.515
1100 75.454 89.794
1110 83.585 97.571
1120 77.933 91.936
1130 76.909 84.939
1140 72.687 82.324
1150 79.138 90.43
1160 85.096 91.019
