# TimeStamp(s) Latency-avg(ms) Stdev
0 -54.824 7.466
10 -54.695 7.94
20 -55.466 7.024
30 -54.515 7.661
40 -55.275 6.914
50 -55.904 7.034
60 -56.128 6.679
70 -55.91 7.275
80 -54.955 7.344
90 -53.52 8.63
100 -54.538 7.803
110 -57.261 5.499
120 -55.377 7.82
130 -55.5 7.427
140 -56.546 6.878
150 -55.511 7.204
160 -56.776 6.513
170 -57.588 6.297
180 -55.493 7.789
190 -55.672 7.595
200 -56.392 7.139
210 -56.258 7.544
220 -57.561 6.102
230 -55.829 7.745
240 -56.406 7.2
250 -56.487 7.93
260 -57.205 7.468
270 -57.379 7.167
280 -55.912 7.645
290 -56.117 7.631
300 -56.867 7.488
310 -56.551 7.698
320 -56.838 7.789
330 -56.922 7.66
340 -57.441 7.641
350 -57.338 7.278
360 -57.159 7.785
370 -57.114 7.49
380 -57.057 7.242
390 -57.392 7.312
400 -57.47 7.358
410 -57.176 7.646
420 -57.793 7.358
430 -56.704 8.558
440 -57.895 7.692
450 -58.44 6.997
460 -57.886 7.683
470 -58.031 6.905
480 -56.845 8.233
490 -57.074 8.411
500 -57.937 7.404
510 -58.361 7.337
520 -58.066 7.333
530 -58.986 6.587
540 -58.875 7.188
550 -58.813 6.946
560 -59.53 6.548
570 -58.502 6.552
580 -58.36 7.452
590 -58.598 7.021
600 -59.281 7.053
610 -59.015 7.044
620 -58.394 7.677
630 -59.634 7.145
640 -58.833 8.034
650 -59.97 6.352
660 -59.476 6.296
670 -59.417 6.255
680 -59.934 5.964
690 -59.57 7.116
700 -60.026 6.048
710 -60.025 6.573
720 -59.144 7.529
730 -60.285 6.671
740 -60.968 6.254
750 -60.573 6.449
760 -60.316 5.957
770 -60.025 6.691
780 -60.353 6.32
790 -59.641 7.149
800 -59.495 7.351
810 -60.149 7.176
820 -60.457 6.74
830 -60.632 7.135
840 -61.188 6.574
850 -60.404 7.411
860 -59.789 7.281
870 -59.636 7.564
880 -59.55 7.936
890 -61.099 6.741
900 -60.879 6.78
910 -60.285 7.272
920 -60.582 8.21
930 -60.169 8.056
940 -61.232 7.141
950 -60.692 7.285
960 -60.577 7.349
970 -60.459 7.547
980 -61.09 7.389
990 -60.063 8.522
1000 -61.402 7.232
1010 -61.512 7.069
1020 -61.236 7.469
1030 -61.786 6.834
1040 -62.777 5.979
1050 -61.99 6.256
1060 -61.668 6.95
1070 -62.228 6.077
1080 -61.032 7.099
1090 -61.592 6.881
1100 -61.789 7.04
1110 -61.877 7.222
1120 -63.477 5.53
1130 -62.48 6.791
1140 -62.201 9.432
1150 -62.026 7.086
1160 -61.717 7.321
1170 -62.617 6.248
1180 -61.437 7.393
1190 -62.051 7.582
1200 -62.489 7.457
1210 -61.949 7.863
1220 -62.742 7.224
1230 -63.373 6.478
1240 -63.481 6.772
1250 -61.676 8.051
1260 -62.16 7.438
1270 -62.413 7.937
1280 -62.759 6.953
1290 -62.926 6.877
1300 -62.663 6.96
1310 -63.986 6.453
1320 -63.159 7.411
1330 -63.977 6.987
1340 -61.906 7.841
1350 -63.313 6.372
1360 -63.042 6.913
1370 -62.266 8.17
1380 -62.635 7.835
1390 -61.817 8.305
1400 -63.091 7.817
1410 -63.75 7.204
1420 -64.987 6.016
1430 -64.414 6.82
1440 -63.556 7.509
1450 -63.801 6.834
1460 -63.105 7.726
1470 -63.437 7.532
1480 -64.359 6.424
1490 -64.532 6.616
1500 -64.874 6.887
1510 -64.664 6.923
1520 -63.355 8.534
1530 -64.192 7.819
1540 -63.823 7.449
1550 -63.758 7.511
1560 -64.21 7.697
1570 -63.918 7.783
1580 -64.277 7.636
1590 -64.323 7.525
1600 -64.654 7.866
1610 -64.439 8.384
1620 -64.545 7.994
1630 -65.255 6.985
1640 -64.13 7.863
1650 -64.471 7.826
1660 -64.158 7.973
1670 -65.72 6.74
1680 -64.687 7.5
1690 -65.356 7.215
1700 -66.021 6.579
1710 -65.169 8.116
1720 -65.804 7.338
1730 -65.64 6.739
1740 -64.747 7.677
1750 -64.428 8.114
1760 -65.599 7.498
1770 -65.49 7.352
1780 -65.126 7.809
1790 -65.348 8.318
1800 -65.975 7.597
1810 -66.271 7.902
1820 -66.432 7.199
1830 -65.493 7.272
1840 -65.628 7.616
1850 -65.159 7.852
1860 -65.738 7.867
1870 -65.471 8.025
1880 -67.013 6.796
1890 -66.679 7.299
1900 -66.957 7.336
1910 -66.994 7.245
1920 -66.696 7.125
1930 -65.894 7.399
1940 -66.473 7.56
1950 -66.484 7.371
1960 -67.079 6.759
1970 -66.286 7.766
1980 -66.951 7.26
1990 -67.566 7.316
2000 -68.162 6.305
2010 -67.355 7.733
2020 -66.66 8.032
2030 -66.833 7.533
2040 -66.79 7.435
2050 -67.349 6.93
2060 -67.789 6.789
2070 -67.886 6.812
2080 -67.521 7.342
2090 -67.506 7.321
2100 -68.636 6.778
2110 -67.853 7.31
2120 -67.323 7.678
2130 -67.388 7.125
2140 -67.742 7.466
2150 -68.032 6.669
2160 -68.305 7.148
2170 -67.931 7.461
2180 -67.916 7.78
2190 -68.693 7.287
2200 -68.973 7.011
2210 -69.094 7.137
2220 -67.711 7.871
2230 -68.445 6.874
2240 -68.917 6.92
2250 -68.194 7.319
2260 -68.826 7.078
2270 -68.535 6.88
2280 -69.282 6.827
2290 -69.342 6.911
2300 -69.155 7.533
2310 -69.637 7.044
2320 -68.907 6.796
2330 -69.394 6.578
2340 -69.439 6.39
2350 -70.051 6.617
2360 -69.834 6.552
2370 -69.357 7.362
2380 -69.433 7.62
2390 -69.797 7.258
2400 -69.416 7.594
2410 -69.302 7.571
2420 -68.944 7.584
2430 -69.063 7.54
2440 -69.494 7.335
2450 -69.564 7.611
2460 -68.186 8.843
2470 -69.493 8.235
2480 -69.893 7.609
2490 -70.254 7.788
2500 -70.978 7.136
2510 -69.823 7.577
2520 -69.594 7.656
2530 -70.212 6.583
2540 -70.078 7.432
2550 -71.155 6.335
2560 -70.78 6.462
2570 -70.905 7.133
2580 -71.6 6.865
2590 -70.732 7.581
2600 -71.32 6.876
2610 -70.577 7.209
2620 -70.919 6.932
2630 -70.879 6.677
2640 -71.375 6.746
2650 -71.764 6.201
2660 -70.443 7.185
2670 -71.262 7.036
2680 -71.425 6.948
2690 -71.96 6.855
2700 -72.049 6.484
2710 -70.006 7.475
2720 -71.388 6.994
2730 -70.826 7.364
2740 -71.186 7.38
2750 -71.678 7.079
2760 -71.854 6.865
2770 -71.234 7.589
2780 -72.871 6.004
2790 -72.084 7.442
2800 -72.431 6.468
2810 -72.281 6.527
2820 -72.02 6.577
2830 -72.185 6.935
2840 -71.353 7.602
2850 -71.412 8.195
2860 -71.436 7.894
2870 -72.724 7.058
2880 -72.522 7.149
2890 -72.746 7.121
2900 -72.385 6.997
2910 -72.441 6.974
2920 -71.867 7.656
2930 -72.579 7.669
2940 -72.354 7.186
2950 -73.678 6.382
2960 -73.165 6.492
2970 -73.042 7.363
2980 -73.08 7.526
2990 -73.529 7.131
3000 -72.287 7.497
3010 -72.947 7.549
3020 -72.978 7.216
3030 -72.887 7.354
3040 -72.644 7.696
3050 -72.992 7.258
3060 -73.119 7.757
3070 -74.134 6.686
3080 -74.048 6.804
3090 -73.75 7.287
3100 -73.006 6.887
3110 -73.69 6.675
3120 -73.973 6.627
3130 -74.176 6.538
3140 -74.06 6.951
3150 -74.053 6.714
3160 -74.473 7.037
3170 -74.485 6.702
3180 -74.545 6.948
3190 -73.933 6.993
3200 -73.536 7.839
3210 -73.837 7.528
3220 -74.119 7.33
3230 -74.499 7.558
3240 -74.455 7.327
3250 -74.876 7.012
3260 -74.119 7.646
3270 -75.366 6.892
3280 -75.025 7.035
3290 -73.919 7.426
3300 -74.668 7.251
3310 -74.092 8.091
3320 -75.35 6.847
3330 -75.206 6.692
3340 -76.332 5.993
3350 -74.828 7.768
3360 -75.802 6.681
3370 -75.816 7.249
3380 -75.202 7.309
3390 -75.015 7.361
3400 -74.277 8.374
3410 -75.25 7.033
3420 -75.762 6.883
3430 -75.754 6.842
3440 -75.421 7.819
3450 -76.391 6.998
3460 -76.16 7.282
3470 -76.042 7.34
3480 -76.383 6.807
3490 -75.701 7.28
3500 -75.604 7.011
3510 -76.289 6.699
3520 -76.303 6.601
3530 -76.741 6.422
3540 -77.499 5.973
3550 -76.898 6.469
3560 -77.087 6.784
3570 -77.098 6.769
3580 -76.568 7.582
3590 -77.174 6.107
3600 -76.163 7.559
3610 -76.4 7.144
3620 -76.556 7.246
3630 -76.451 7.708
3640 -77.257 7.107
3650 -77.088 7.081
3660 -77.562 7.156
3670 -76.538 8.127
3680 -76.273 7.895
3690 -76.092 7.857
3700 -77.583 7.074
3710 -77.522 6.842
3720 -76.788 7.708
3730 -77.675 6.984
3740 -77.687 7.49
3750 -77.371 8.15
3760 -77.856 7.555
3770 -77.923 7.291
3780 -77.385 6.974
3790 -77.749 6.721
3800 -77.454 7.266
3810 -77.632 7.315
3820 -77.127 7.945
3830 -78.208 7.514
3840 -77.437 7.961
3850 -78.553 7.538
3860 -79.057 6.889
3870 -78.45 7.335
3880 -78.157 6.735
3890 -78.397 6.747
3900 -77.844 7.843
3910 -78.604 7.331
3920 -78.841 7.139
3930 -77.955 8.305
3940 -78.463 8.042
3950 -78.835 7.188
3960 -78.818 7.652
3970 -78.512 7.411
3980 -79.702 5.803
3990 -79.132 6.622
4000 -80.056 6.077
4010 -79.6 6.228
4020 -79.77 6.516
4030 -80.19 6.742
4040 -80.08 6.564
4050 -80.331 6.697
4060 -79.272 7.832
4070 -79.49 6.304
4080 -79.418 7.011
4090 -79.402 7.143
4100 -79.658 7.369
4110 -80.287 7.141
4120 -80.647 5.891
4130 -80.553 6.859
4140 -79.676 7.79
4150 -80.872 6.807
4160 -80.644 6.86
4170 -80.524 6.633
4180 -80.575 6.014
4190 -80.443 6.752
4200 -80.201 7.137
4210 -80.556 6.903
4220 -79.975 7.859
4230 -80.996 7.066
4240 -81.216 6.713
4250 -81.431 6.961
4260 -80.49 7.214
4270 -80.272 7.31
4280 -80.599 7.302
4290 -80.748 7.42
4300 -80.749 7.289
4310 -81.413 6.761
4320 -80.427 7.967
4330 -80.858 7.033
4340 -81.328 7.413
4350 -82.071 6.74
4360 -81.716 5.892
4370 -82.599 5.191
4380 -80.838 7.252
4390 -81.481 7.41
4400 -81.093 7.499
4410 -80.463 8.066
4420 -81.465 7.285
4430 -81.996 7.104
4440 -81.62 7.255
4450 -80.609 8.382
4460 -81.851 6.53
4470 -82.193 6.733
4480 -80.939 7.825
4490 -82.04 7.146
4500 -81.34 7.99
4510 -82.753 7.079
4520 -82.446 6.643
4530 -82.681 6.601
4540 -83.097 6.842
4550 -82.503 6.816
4560 -81.854 7.037
4570 -82.374 7.111
4580 -83.077 6.361
4590 -81.917 8.246
4600 -81.841 7.996
4610 -82.588 7.749
4620 -82.944 7.4
4630 -83.897 6.859
4640 -83.298 7.37
4650 -81.948 7.524
4660 -82.847 7.402
4670 -83.208 6.834
4680 -83.182 7.081
4690 -82.883 7.688
4700 -83.61 6.391
4710 -83.672 7.187
4720 -83.989 6.723
4730 -83.558 7.508
4740 -83.963 6.755
4750 -83.786 6.559
4760 -83.344 6.913
4770 -84.816 5.35
4780 -85.062 4.907
4790 -83.364 7.528
4800 -83.531 7.675
4810 -82.919 8.164
4820 -84.694 6.391
4830 -85.089 6.36
4840 -83.734 7.395
4850 -82.663 8.073
4860 -83.985 6.932
4870 -83.835 8.576
4880 -84.693 6.327
4890 -85.016 6.378
4900 -85.19 6.406
4910 -85.528 6.382
4920 -83.797 7.87
4930 -85.017 7.027
4940 -84.324 7.226
4950 -83.564 7.784
4960 -84.705 6.884
4970 -84.766 7.074
4980 -85.034 7.335
4990 -84.983 7.025
5000 -84.984 7.091
5010 -83.877 8.237
5020 -84.912 7.297
5030 -86.146 5.957
5040 -84.001 7.477
5050 -84.732 6.919
5060 -84.34 7.927
5070 -85.457 7.235
5080 -84.987 7.55
5090 -86.232 6.689
5100 -85.227 7.749
5110 -85.527 7.062
5120 -86.025 7.185
5130 -86.238 6.83
5140 -85.619 6.746
5150 -84.64 7.64
5160 -85.862 7.041
5170 -86.561 6.297
5180 -86.485 6.774
5190 -87.173 6.48
5200 -86.512 7.198
5210 -86.299 7.608
5220 -85.972 7.887
5230 -86.332 7.207
5240 -85.402 7.619
5250 -86.569 6.891
5260 -86.26 7.144
5270 -86.777 6.706
5280 -86.794 6.704
5290 -86.63 7.198
5300 -87.217 6.731
5310 -87.417 6.756
5320 -87.435 7.176
5330 -86.335 6.711
5340 -87.58 6.343
5350 -86.811 7.146
5360 -87.573 6.767
5370 -86.989 7.913
5380 -87.46 7.602
5390 -87.395 7.575
5400 -87.539 7.812
5410 -88.069 7.128
5420 -87.389 7.715
5430 -87.371 6.895
5440 -87.131 7.629
5450 -87.109 7.532
5460 -88.259 6.575
5470 -87.516 7.149
5480 -88.98 6.246
5490 -87.728 7.674
5500 -88.479 6.92
5510 -89.031 6.852
5520 -86.775 12.256
5530 -87.825 7.182
5540 -88.002 7.422
5550 -88.132 6.967
5560 -88.052 7.357
5570 -88.015 7.315
5580 -89.333 6.365
5590 -89.213 6.765
5600 -88.816 7.282
5610 -89.062 7.68
5620 -88.619 6.665
5630 -89.246 6.417
5640 -89.449 6.611
5650 -89.266 6.799
5660 -88.905 7.389
5670 -89.14 7.419
5680 -88.976 7.369
5690 -89.766 7.172
5700 -89.252 7.695
5710 -89.468 7.294
5720 -89.351 6.488
5730 -90.163 5.936
5740 -89.646 6.863
5750 -90.182 6.558
5760 -89.253 7.845
5770 -89.4 7.474
5780 -89.883 7.313
5790 -89.533 7.31
5800 -90.739 6.781
5810 -90.071 7.05
5820 -89.72 6.571
5830 -90.793 5.771
5840 -89.874 7.372
5850 -90.447 6.806
5860 -90.045 6.927
5870 -91.336 6.02
5880 -91.271 6.477
5890 -90.675 7.128
5900 -90.86 7.403
5910 -89.848 7.11
5920 -89.399 7.661
5930 -91.075 6.263
5940 -91.28 6.71
5950 -89.294 10.701
5960 -91.535 6.47
5970 -91.495 7.079
5980 -91.739 5.965
5990 -92.273 6.066
6000 -91.324 6.54
6010 -91.119 6.694
6020 -91.623 6.018
6030 -91.266 7.089
6040 -90.11 7.694
6050 -91.925 6.906
6060 -91.318 7.181
6070 -91.487 7.766
6080 -91.53 6.944
6090 -91.963 7.453
6100 -91.57 7.171
6110 -92.011 6.649
6120 -91.076 7.769
6130 -90.688 8.156
6140 -92.288 6.827
6150 -92.327 6.782
6160 -93.27 6.207
6170 -92.757 6.663
6180 -92.177 7.643
6190 -92.206 7.461
6200 -91.251 7.593
6210 -91.632 7.962
6220 -91.654 7.783
6230 -91.756 7.853
6240 -92.661 7.384
6250 -92.603 7.381
6260 -92.983 7.51
6270 -92.492 7.496
6280 -93.234 7.202
6290 -93.648 6.461
6300 -92.558 7.298
6310 -92.634 7.408
6320 -92.949 7.123
6330 -93.39 6.847
6340 -93.261 6.928
6350 -93.099 7.376
6360 -92.745 8.152
6370 -93.147 7.909
6380 -93.68 7.197
6390 -93.826 6.676
6400 -92.916 7.227
6410 -92.628 8.158
6420 -94.105 6.786
6430 -93.438 6.979
6440 -92.692 9.187
6450 -94.389 6.577
6460 -94.333 6.787
6470 -94.181 7.157
6480 -95.04 6.755
6490 -93.936 6.455
6500 -93.721 7.544
6510 -94.099 6.744
6520 -94.322 6.989
6530 -94.132 7.754
6540 -94.512 7.548
6550 -93.869 7.74
6560 -94.807 6.965
6570 -94.728 7.37
6580 -94.999 6.932
6590 -95.253 6.192
6600 -94.436 7.065
6610 -95.301 6.527
6620 -94.704 7.113
6630 -94.784 7.851
6640 -94.735 9.02
6650 -96.235 6.115
6660 -95.899 6.857
6670 -95.865 6.91
6680 -94.471 10.007
6690 -94.389 7.958
6700 -95.132 7.166
6710 -95.521 7.004
6720 -94.772 7.832
6730 -95.514 6.671
6740 -95.673 7.234
6750 -95.769 7.037
6760 -95.931 7.675
6770 -95.783 8.128
6780 -95.417 7.491
6790 -95.513 7.539
6800 -95.721 7.141
6810 -95.715 7.157
6820 -95.846 7.013
6830 -96.198 7.785
6840 -95.502 8.559
6850 -95.939 7.472
6860 -96.301 7.664
6870 -96.582 7.39
6880 -95.843 7.736
6890 -95.595 7.69
6900 -96.153 7.434
6910 -97.053 6.616
6920 -97.248 6.593
6930 -97.547 6.494
6940 -97.486 6.443
6950 -97.37 6.877
6960 -98.078 6.322
6970 -96.862 7.269
6980 -96.907 6.986
6990 -97.266 6.899
7000 -96.655 7.642
7010 -96.588 7.645
7020 -97.12 7.421
7030 -97.049 8.025
7040 -98 6.945
7050 -98.015 6.902
7060 -98.489 6.59
7070 -97.457 7.324
7080 -97.226 7.704
7090 -96.987 7.867
7100 -97.721 7.315
7110 -98.548 6.494
7120 -98.032 7.267
7130 -97.975 7.361
7140 -97.789 7.646
7150 -98.163 7.438
7160 -98.246 7.34
7170 -97.674 7.137
7180 -97.659 7.392
7190 -98.586 6.959
7200 -98.406 6.961
7210 -97.952 7.661
7220 -98.862 7.315
7230 -99.339 6.254
7240 -98.546 7.592
7250 -98.543 7.679
7260 -98.342 7.607
7270 -98.17 7.105
7280 -99.552 6.428
7290 -99.123 6.689
7300 -99.208 6.563
7310 -99.038 6.758
7320 -99.719 6.267
7330 -98.32 7.642
7340 -99.389 7.166
7350 -99.412 7.25
7360 -99.388 6.905
7370 -98.82 7.289
7380 -99.354 7.146
7390 -99.452 6.848
7400 -99.565 7.023
7410 -99.849 7.098
7420 -99.716 7.081
7430 -99.598 7.176
7440 -100.535 7.174
7450 -99.639 7.29
7460 -99.721 7.364
7470 -99.423 7.699
7480 -100.439 7.056
7490 -99.99 7.334
7500 -100.505 6.284
7510 -99.758 7.405
7520 -101.347 6.07
7530 -101.115 6.683
7540 -100.104 7.948
7550 -100.151 7.763
7560 -100.093 7.269
7570 -99.667 7.874
7580 -99.928 7.582
7590 -100.549 7.4
7600 -100.969 7.285
7610 -100.548 7.653
7620 -100.87 7.651
7630 -101.741 6.143
7640 -101.66 6.952
7650 -101.381 6.83
7660 -101.575 6.386
7670 -101.448 6.378
7680 -101.387 6.899
7690 -101.133 7.244
7700 -101.687 6.61
7710 -101.125 7.339
7720 -101.646 7.065
7730 -101.636 7.551
7740 -101.342 7.821
7750 -100.947 7.609
7760 -100.872 7.688
7770 -101.849 7.155
7780 -100.994 8.355
7790 -102.103 7.079
7800 -102.115 7.303
7810 -101.971 7.573
7820 -102.374 7.427
7830 -102.639 7.005
7840 -101.884 7.009
7850 -101.556 6.837
7860 -101.929 7.385
7870 -102.581 6.755
7880 -101.457 7.875
7890 -101.928 7.771
7900 -102.894 7.145
7910 -103.012 7.327
7920 -103.215 6.962
7930 -102.761 7.493
7940 -103.004 6.767
7950 -103.089 6.738
7960 -102.907 6.454
7970 -102.058 8.211
7980 -103.096 6.745
7990 -103.246 6.702
8000 -102.94 7.189
8010 -103.3 7.159
8020 -104.889 5.085
8030 -103.694 7.097
8040 -102.94 6.761
8050 -103.033 7.072
8060 -102.22 7.816
8070 -103.039 7.432
8080 -103.424 7.29
8090 -103.434 7.746
8100 -103.777 7.389
8110 -103.1 8.057
8120 -104.122 7.58
8130 -103.732 7.936
8140 -103.313 7.622
8150 -103.335 7.604
8160 -104.046 6.913
8170 -103.71 7.525
8180 -104.18 7.306
8190 -104.786 6.706
8200 -104.455 7.208
8210 -104.361 7.195
8220 -104.363 7.679
8230 -104.287 7.161
8240 -103.461 7.864
8250 -103.858 8.03
8260 -104.453 7.27
8270 -104.476 8.313
8280 -104.821 7.392
8290 -105.076 6.962
8300 -105.521 7.097
8310 -105.252 7.693
8320 -104.924 7.644
8330 -104.548 7.53
8340 -104.694 7.405
8350 -104.489 7.559
8360 -106.3 6.349
8370 -105.233 7.526
8380 -105.481 6.929
8390 -105.857 6.876
8400 -105.048 7.433
8410 -105.485 7.381
8420 -105.949 7.547
8430 -104.766 7.945
8440 -105.076 7.288
8450 -104.16 8.049
8460 -105.62 7.444
8470 -105.096 8.036
8480 -105.667 7.666
8490 -106.399 7.562
8500 -105.969 7.724
8510 -106.253 7.441
8520 -106.099 7.44
8530 -105.851 7.123
8540 -105.499 7.575
8550 -105.61 7.322
8560 -105.735 7.691
8570 -106.576 6.995
8580 -106.796 7.015
8590 -107.569 6.371
8600 -106.693 7.159
8610 -107.555 6.702
8620 -106.205 7.328
8630 -106.423 6.928
8640 -106.67 7.462
8650 -106.013 7.63
8660 -106.718 7.125
8670 -107.114 6.945
8680 -106.814 7.471
8690 -106.581 7.981
8700 -107.545 7.41
8710 -108.133 6.769
8720 -106.625 7.648
8730 -107.492 7.362
8740 -107.01 7.742
8750 -107.573 7.521
8760 -107.838 7.356
8770 -107.881 6.711
8780 -107.653 7.676
8790 -108.646 6.133
8800 -108.11 7.299
8810 -108.631 6.82
8820 -107.008 7.573
8830 -107.63 7.027
8840 -108.135 6.623
8850 -107.684 7.493
8860 -108.826 6.644
8870 -108.349 7.152
8880 -108.267 7.768
8890 -109.234 6.948
8900 -108.738 7.371
8910 -108.219 7.336
8920 -108.771 6.716
8930 -108.134 7.609
8940 -109.103 6.541
8950 -108.176 7.945
8960 -108.627 7.635
8970 -109.136 7.035
8980 -109.475 7.071
