# TimeStamp(s) Latency-avg(ms) Stdev
0 425.537 94.379
10 433.877 92.366
20 453.312 112.327
30 444.44 109.338
40 425.809 94.196
50 458.881 109.706
60 456.741 105.337
70 465.603 113.146
80 440.213 99.275
90 442.445 102.16
100 447.996 102.997
110 429.806 90.244
120 425.565 87.989
130 455.62 117.614
140 451.23 104.395
150 435.857 94.935
160 430.42 85.787
170 445.926 100.353
180 438.595 102.78
190 420.15 85.044
200 448.991 99.562
210 449.399 104.1
220 442.511 101.836
230 435.248 99.167
240 450.16 106.056
250 429.025 91.317
260 410.13 75.983
270 445.727 105.281
280 453.526 105.871
290 447.572 98.723
300 410.472 76.051
310 463.817 110.392
320 427.757 87.166
330 435.589 92.033
340 434.302 95.651
350 434.943 95.992
360 432.434 86.823
370 442.736 103.846
380 453.725 109.339
390 428.093 82.19
400 452.125 107.625
410 453.645 102.41
420 460.868 111.702
430 432.226 93.114
440 470.754 115.327
450 437.401 93.583
460 452.553 100.692
470 442.463 104.17
480 444.703 100.93
490 433.695 88.85
500 471.389 112.341
510 454.152 105.017
520 443.837 93.936
530 431.43 92.711
540 460.37 106.709
550 433.008 89.824
560 439.15 92.178
570 424.224 79.832
580 445.96 104.583
590 450.885 106.436
600 460.831 106.4
610 447.436 101.33
620 448.125 98.581
630 459.848 107.122
640 460.429 103.462
650 447.053 99.355
660 471.188 107.375
670 452.967 103.989
680 450.612 102.763
690 458.009 103.268
700 467.606 112.306
710 445.146 100.588
720 475.933 118.647
730 436.833 88.176
740 440.751 98.648
750 457.479 106.878
760 419.465 70.42
770 465.866 115.041
780 432.644 91.193
790 469.15 114.149
800 464.072 108.215
810 467.645 111.935
820 436.544 85.879
830 456.757 102.089
840 450.172 100.81
850 450.892 101.64
860 453.826 101.623
870 453.097 105.323
880 444.104 92.091
890 434.243 83.813
900 451.099 100.264
910 440.271 93.743
920 453.72 98.9
930 443.46 95.962
940 436.932 94.274
950 441.094 91.011
960 481.385 114.635
970 439.408 93.564
980 456.299 104.568
990 447.544 99.177
1000 441.378 100.075
1010 442.524 94.896
1020 441.23 88.797
1030 450.893 99.876
1040 461.864 111.354
1050 446.128 101.13
1060 482.8 117.463
1070 455.382 102.54
1080 480.137 108.755
1090 453.023 98.281
1100 474.105 110.888
1110 442.545 93.02
1120 451.785 99.966
1130 441.515 93.518
1140 452.897 101.21
1150 438.013 90.553
1160 436.866 88.152
1170 499.358 126.379
1180 463.275 107.979
1190 476.158 112.025
1200 457.218 105.421
1210 441.666 83.727
1220 444.364 87.796
1230 478.492 110.183
1240 477.681 109.811
1250 467.634 101.546
1260 498.699 114.641
1270 459.755 100.148
1280 492.423 117.901
1290 481.378 114.921
1300 477.172 105.813
1310 475.407 114.767
1320 463.144 103.955
1330 431.633 78.218
1340 464.352 102.997
1350 468.396 102.227
1360 482.191 115.605
1370 471.584 103.626
1380 488.649 114.97
1390 461.544 103.689
1400 448.499 88.981
1410 446.751 96.751
1420 480.023 110.227
1430 477.978 113.949
1440 484.853 113.981
1450 456.06 98.97
1460 471.292 107.967
1470 482.824 113.606
1480 452.889 91.383
1490 459.465 99.235
1500 459.422 97.578
1510 477.424 113.927
1520 481.694 112.715
1530 473.245 104.96
1540 473.925 112.185
1550 482.437 111.092
1560 475.001 108.122
1570 469.096 103.976
