# TimeStamp(s) Latency-avg(ms) Stdev
0 -510.201 19.052
10 -512.933 6.393
20 -513.257 5.892
30 -512.437 7.685
40 -512.319 7.65
50 -513.249 6.443
60 -512.236 7.414
70 -512.551 7.624
80 -512.834 7.459
90 -513.966 6.529
100 -513.867 7.06
110 -513.483 7.482
120 -514.733 6.453
130 -513.827 7.548
140 -512.442 8.442
150 -513.087 7.887
160 -513.033 8.128
170 -514.761 6.487
180 -512.8 8.454
190 -513.051 8.608
200 -514.292 7.824
210 -514.205 8.04
220 -515.493 7.182
230 -517.549 4.778
240 -515.407 7.608
250 -514.348 8.393
260 -515.597 7.214
270 -516.047 7.008
280 -516.002 7.17
290 -515.86 7.448
300 -515.791 7.774
310 -516.243 7.932
320 -515.86 8.38
330 -517.12 7.404
340 -517.755 6.533
350 -518.854 5.252
360 -516.673 7.899
370 -516.044 7.865
380 -515.49 8.281
390 -518.689 6.643
400 -517.616 7.559
410 -518.587 6.739
420 -519.085 6.984
430 -517.841 9.063
440 -517.777 7.792
450 -517.401 8.398
460 -519.496 6.663
470 -519.033 7.824
480 -518.823 7.944
490 -518.559 8.281
500 -519.27 8.051
510 -519.493 7.945
520 -519.483 8.518
530 -520.594 6.767
540 -519.757 7.603
550 -518.657 8.43
560 -519.718 8.192
570 -520.482 7.27
580 -521.169 6.788
590 -521.255 7.326
600 -520.448 8.313
610 -520.865 7.939
620 -522.663 6.253
630 -522.112 6.744
640 -522.098 6.237
650 -522.002 6.75
660 -521.536 7.558
670 -521.737 7.523
680 -522.828 7.144
690 -522.031 8.779
700 -523.13 7.157
710 -523.624 7.115
720 -524.958 5.689
730 -522.666 7.542
740 -523.042 6.974
750 -524.446 6.196
760 -525.251 5.625
770 -524.758 6.383
780 -524.803 6.543
790 -523.226 9.561
800 -524.542 7.293
810 -525.346 6.646
820 -524.621 7.426
830 -525.234 6.525
840 -525.847 6.386
850 -524.385 7.565
860 -523.442 9.149
870 -524.784 8.071
880 -527.298 5.537
890 -526.43 6.935
900 -526.238 7.266
910 -526.818 6.801
920 -526.734 6.606
930 -525.528 7.747
940 -525.354 7.992
950 -525.611 7.915
960 -525.152 8.351
970 -526.605 7.775
980 -527.394 7.071
990 -526.995 7.935
1000 -527.964 7.347
1010 -527.306 7.839
1020 -526.067 8.082
1030 -527.497 7.447
1040 -528.149 6.951
1050 -528.984 6.171
1060 -527.934 7.772
1070 -529.425 6.363
1080 -528.45 7.486
1090 -529.788 6.616
1100 -529.149 7.076
1110 -528.666 7.312
1120 -528.435 7.712
1130 -527.065 8.739
1140 -529.517 6.629
1150 -528.284 8.187
1160 -528.642 8.53
