------------------------------------------------------------
Server listening on UDP port 5001 with pid 8767
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.241.11 port 5001 connected with 100.100.100.10 port 58169
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.24 MBytes  1.04 Mbits/sec  21.949 ms    0/  886 (0%) 82.427/ 8.424/419.427/109.334 ms   87 pps  1.58
[  3] 10.0000-20.0000 sec  1.26 MBytes  1.06 Mbits/sec   4.902 ms    0/  898 (0%) 101.505/ 8.402/428.557/112.246 ms   92 pps  1.30
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec  21.166 ms    0/  890 (0%) 86.992/ 8.413/423.468/103.280 ms   87 pps  1.50
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.108 ms    0/  893 (0%) 99.686/ 8.405/433.634/113.722 ms   91 pps  1.32
[  3] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   6.596 ms    0/  891 (0%) 93.810/ 8.426/396.264/107.162 ms   89 pps  1.40
[  3] 50.0000-60.0000 sec  1.24 MBytes  1.04 Mbits/sec  29.652 ms    0/  886 (0%) 99.199/ 7.968/424.339/113.082 ms   86 pps  1.31
[  3] 60.0000-70.0000 sec  1.26 MBytes  1.05 Mbits/sec  20.824 ms    0/  897 (0%) 81.749/ 7.942/429.062/102.681 ms   90 pps  1.61
[  3] 70.0000-80.0000 sec  1.23 MBytes  1.03 Mbits/sec  21.094 ms    0/  874 (0%) 74.194/ 8.142/415.859/100.992 ms   89 pps  1.73
[  3] 80.0000-90.0000 sec  1.26 MBytes  1.05 Mbits/sec  20.506 ms    0/  897 (0%) 92.088/ 8.288/426.233/106.922 ms   90 pps  1.43
[  3] 90.0000-100.0000 sec  1.23 MBytes  1.03 Mbits/sec  27.192 ms    0/  879 (0%) 86.188/ 8.385/432.242/103.111 ms   88 pps  1.50
[  3] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec  26.946 ms    0/  894 (0%) 75.251/ 8.451/403.531/96.807 ms   89 pps  1.75
