# TimeStamp(s) Latency-avg(ms) Stdev
0 82.427 109.334
10 101.505 112.246
20 86.992 103.28
30 99.686 113.722
40 93.81 107.162
50 99.199 113.082
60 81.749 102.681
70 74.194 100.992
80 92.088 106.922
90 86.188 103.111
100 75.251 96.807
110 115.801 116.15
120 86.159 100.087
130 70.608 92.704
140 72.191 97.761
150 91.146 108.876
160 90.132 101.441
170 102.523 113.183
180 89.03 105.79
190 94.372 109.381
200 91.207 105.715
210 81.908 102.131
220 106.016 118.501
230 83.902 100.044
240 98.86 109.718
250 84.324 107.236
260 78.871 102.625
270 96.287 109.943
280 101.139 113.668
290 85.25 104.582
300 81 103.727
310 80.94 94.977
320 107.731 111.415
330 101.115 113.384
340 95.465 103.908
350 81.164 99.263
360 76.054 100.577
370 86.505 106.937
380 100.873 124.67
390 80.389 95.905
400 85.376 105.597
410 81.93 105.907
420 87.577 108.348
430 86.275 106.421
440 103.277 117.132
450 77.108 99.211
460 96.133 110.806
470 103.718 122.627
480 87.298 101.195
490 101.58 114.558
500 80.3 100.587
510 95.316 109.334
520 96.148 115.748
530 79.933 99.603
540 105.475 115.186
550 92.107 106.887
560 89.491 104.687
570 104.841 117.194
580 83.195 102.726
590 85.429 100.755
600 90.078 108.857
610 78.692 98.284
620 91.833 103.422
630 97.505 102.264
640 112.314 110.534
650 95.07 101.403
660 93.187 102.408
670 68.522 86.126
680 96.025 108.554
690 104.455 105.891
700 113.213 115.404
710 87.137 102.165
720 106.184 110.257
730 94.617 109.481
740 88.074 102.52
750 80.309 93.974
760 98.106 103.914
770 91.05 101.899
780 102.641 108.815
790 106.683 105.566
800 81.34 95.152
810 102.225 110.626
820 101.188 111.432
830 98.743 104.077
840 95.341 111.073
850 101.619 107.394
860 94.594 108.528
870 118.754 115.539
880 77.703 101.21
890 108.38 114.021
900 96.663 113.481
910 111.243 115.207
920 97.192 106.021
930 77.36 92.321
940 113.95 116.503
950 121.429 116.007
960 100.991 106.279
970 95.544 102.877
980 83.074 96.823
990 88.39 104.741
1000 118.736 116.182
1010 115.115 113.887
1020 89.718 104.675
1030 90.455 101.347
1040 84.393 97.17
1050 85.879 104.407
1060 91.587 103.22
1070 87.637 102.723
1080 75.482 106.946
1090 83.605 99.84
1100 101.667 114.426
1110 85.456 106.548
1120 26.945 58.363
1130 16.456 39.447
1140 9.63 0.949
1150 9.763 0.981
1160 9.889 1.164
1170 9.973 1.008
1180 10.008 0.956
1190 10.056 0.993
1200 10.072 0.979
1210 10.097 0.993
1220 10.102 0.831
1230 9.838 0.987
1240 9.714 1.147
1250 9.745 0.884
1260 9.912 1.063
1270 10.032 0.994
1280 10.059 0.933
1290 43.319 72.749
1300 42.828 81.18
1310 34.5 64.937
1320 10.225 1.2
1330 9.907 2.11
1340 12.285 19.355
1350 9.85 1.025
1360 12.257 17.566
1370 74.889 96.812
1380 97.505 102.792
1390 78.79 99.992
1400 54.98 81.878
1410 16.931 38.12
1420 10.087 0.886
1430 30.939 66.799
1440 104.531 110.408
1450 69.056 98.513
1460 30.681 69.377
1470 10.152 1.045
1480 28.213 63.83
1490 10.231 1.261
1500 41.731 78.204
1510 92.776 104.597
1520 69.985 92.657
1530 63.61 93.518
1540 18.338 38.507
1550 54.392 81.891
1560 37.258 73.228
1570 10.137 0.976
1580 10.142 0.887
1590 10.156 0.836
1600 10.179 0.932
1610 10.24 1.037
1620 9.883 0.95
1630 9.788 1.07
1640 9.868 0.932
1650 9.965 1.018
1660 10.087 0.947
1670 17.187 41.086
1680 13.492 23.39
1690 10.159 0.958
1700 10.172 0.826
1710 10.226 0.899
1720 9.943 2.412
1730 13.901 27.668
1740 9.992 2.141
1750 9.999 0.911
1760 10.109 0.881
1770 10.141 0.962
1780 10.191 1.001
1790 17.758 43.522
1800 10.256 1.058
1810 10.247 1.98
1820 9.876 2.319
1830 9.871 1.006
1840 12.921 21.77
1850 16.373 38.171
1860 14.748 29.926
1870 10.154 0.889
1880 13.351 22.547
1890 13.411 22.157
1900 10.218 0.848
1910 19.193 50.188
1920 17.489 44.041
1930 9.926 1.059
1940 9.964 0.889
1950 10.079 0.877
1960 10.149 0.949
1970 10.161 0.894
1980 15.016 31.216
1990 10.218 0.838
2000 10.256 0.848
2010 9.878 0.913
2020 9.779 0.895
2030 9.913 0.985
2040 10.001 0.881
2050 10.14 0.917
2060 10.171 0.886
2070 10.198 0.88
2080 10.202 0.845
2090 10.217 0.834
2100 10.235 0.95
2110 9.788 0.928
2120 9.838 0.914
2130 9.972 1.009
2140 14.807 30.772
2150 10.186 1.093
2160 10.171 0.869
2170 10.218 0.881
2180 12.863 19.701
2190 10.23 0.835
2200 10.296 1.957
2210 9.779 0.909
2220 9.881 0.921
2230 9.98 0.896
2240 10.092 0.887
2250 10.239 0.974
2260 10.262 1.066
2270 10.229 0.845
2280 10.316 1.481
2290 10.706 4.342
