# TimeStamp(s) Latency-avg(ms) Stdev
0 23.362 7.928
10 23.39 7.882
20 23.494 8.273
30 23.252 8.116
40 23.228 7.98
50 23.311 8.467
60 22.798 7.654
70 23.117 8.245
80 23.558 7.537
90 23.751 8.124
100 23.655 8.246
110 23.254 8.095
120 23.104 7.9
130 22.874 7.622
140 22.64 7.658
150 22.944 8.347
160 22.848 7.585
170 23.543 8.038
180 24.552 7.761
190 23.5 8.37
200 22.85 7.702
210 23.422 7.968
220 23.482 8.329
230 23.395 7.974
240 22.877 7.86
250 22.866 8.062
260 22.915 7.635
270 23.459 7.99
280 23.981 8.082
290 23.587 7.998
300 23.328 8.172
310 22.916 7.162
320 22.658 7.304
330 23.264 7.934
340 23.157 7.904
350 23.497 8.303
360 23.478 8.502
370 23.782 7.854
380 23.992 7.835
390 23.606 7.813
400 23.503 8.024
410 23.416 8.236
420 23.256 7.434
430 23.026 8.11
440 23.022 7.52
450 22.897 8.126
460 22.895 8.005
470 23.715 7.411
480 23.946 7.935
490 23.291 7.688
500 23.881 8.252
510 23.116 8.024
520 23.32 7.824
530 23.519 8.217
540 23.433 8.417
550 22.695 7.912
560 23.857 8.466
570 23.84 7.883
580 23.693 7.859
590 24.233 9.087
600 23.256 7.732
610 23.086 8.062
620 22.859 7.938
630 22.716 7.981
640 23.086 8.231
650 23.154 8.461
660 24.45 8.16
670 24.127 8.311
680 23.821 8.774
690 23.454 8.154
700 23.869 8.476
710 23.634 8.213
720 23.068 8.071
730 25.111 8.699
740 24.421 8.347
750 23.555 7.82
760 23.961 8.356
770 24.071 8.461
780 24.459 8.44
790 24.31 8.437
800 23.197 7.782
810 22.938 7.909
820 23.253 7.948
830 22.824 7.843
840 22.828 7.989
850 23.557 7.993
860 23.828 8.144
870 23.892 8.473
880 23.486 8.114
890 22.729 7.598
900 23.099 8.204
910 23.1 7.949
920 23.392 8.255
930 22.904 8.104
940 22.864 7.829
950 23.689 8.162
960 23.725 8.045
970 23.879 8.467
980 23.466 8.168
990 23.138 7.823
1000 23.052 7.528
1010 22.251 7.447
1020 22.843 7.732
1030 22.259 7.597
1040 23.034 7.943
1050 23.114 7.438
1060 23.548 7.677
1070 23.751 7.862
1080 22.994 7.998
1090 23.747 8.438
1100 23.568 8.102
1110 23.497 8.289
1120 23.054 8.732
1130 22.852 8.266
1140 23.476 8.84
1150 23.742 8.124
1160 24.983 8.545
1170 23.798 7.824
1180 23.441 7.961
1190 25.579 8.099
1200 23.902 8.056
1210 22.916 8.184
1220 22.829 8.054
1230 22.554 7.563
1240 23.353 7.751
1250 24.109 8.364
1260 22.867 7.179
1270 23.761 8.346
1280 23.661 8.196
1290 23.672 8.694
1300 23.157 7.808
1310 23.047 8.23
1320 23.073 8.162
1330 22.99 8.251
1340 23.831 8.032
1350 23.769 7.987
1360 24.598 8.717
1370 25.26 8.382
1380 23.57 8.235
1390 23.171 8.055
1400 23.299 8.185
1410 23.08 8.547
1420 22.292 7.648
1430 22.916 7.762
1440 23.408 7.744
1450 23.069 7.923
1460 24.021 8.461
1470 23.206 7.581
1480 23.053 8.273
1490 22.587 7.426
1500 22.517 7.717
1510 22.509 7.412
1520 22.791 8.071
1530 23.308 8.144
1540 23.714 8.355
1550 23.48 8.399
1560 23.043 7.894
1570 23.448 8.335
1580 23.393 8.566
1590 23.094 8.102
1600 22.823 7.827
1610 22.891 7.521
1620 22.9 8.487
1630 24.031 8.138
1640 23.785 8.532
1650 22.902 7.658
1660 23.95 8.489
1670 24.14 8.244
1680 23.394 7.721
1690 22.619 7.557
1700 21.569 6.397
1710 21.986 6.536
1720 22.898 7.729
1730 23.231 8.017
1740 23.007 7.467
1750 23.621 8.094
1760 23.556 8.188
1770 22.741 7.95
1780 22.656 6.956
1790 22.245 7.095
1800 22.6 7.431
1810 22.888 8.407
1820 23.341 8.238
1830 23.519 7.739
1840 23.229 7.872
1850 23.104 7.542
1860 23.109 8.088
1870 23.293 7.999
1880 23.282 8.221
1890 23.335 8.291
1900 23.103 8.905
1910 22.343 7.991
1920 23.083 7.616
1930 23.9 8.401
1940 24.182 8.04
1950 23.858 8.069
1960 23.187 7.748
1970 22.006 6.895
1980 22.807 8.191
1990 22.968 7.704
2000 23.362 8.11
2010 24.978 7.538
2020 24.609 7.67
2030 23.614 8.088
2040 23.465 7.697
2050 23.736 7.945
2060 22.891 7.235
2070 23.238 7.872
2080 22.881 7.893
2090 23.186 8.231
2100 23.576 7.953
2110 23.142 8.496
2120 24.285 8.448
2130 23.693 7.79
2140 23.995 8.227
2150 24.278 8.226
2160 23.364 8.145
2170 24.27 9.391
2180 23.094 7.649
2190 22.491 7.777
2200 22.948 8.122
2210 24.557 7.8
2220 24.294 8.248
2230 23.333 8.124
2240 23.702 8.266
2250 22.577 7.431
2260 22.921 7.435
2270 23.14 8.289
2280 24.472 7.952
2290 22.936 8.198
2300 23.355 9.966
2310 24.681 8.335
2320 23.707 8.26
2330 23.71 8.381
2340 23.306 7.978
2350 24.2 7.921
2360 23.789 7.848
2370 22.837 8.29
2380 22.582 7.895
2390 22.331 7.796
2400 22.514 7.983
2410 23.943 8.211
2420 22.935 8.113
2430 23.417 8.44
2440 22.602 7.838
2450 23.014 8.26
2460 23.085 8.34
2470 22.461 7.896
2480 22.147 7.786
2490 22.37 8.237
2500 22.368 7.236
2510 22.384 7.045
2520 23.096 8.005
2530 22.61 7.896
2540 22.83 8.26
2550 22.192 7.935
2560 22.128 7.517
2570 22.61 7.628
2580 22.094 7.801
2590 22.86 8.753
2600 23.906 8.471
2610 22.964 8.437
2620 23.118 8.145
2630 22.709 7.693
2640 22.748 8.302
2650 22.397 8.218
2660 22.188 7.73
2670 22.303 8.111
2680 21.834 8.348
2690 22.284 8.297
2700 22.722 7.799
2710 22.542 8.137
2720 22.241 7.965
2730 22.662 8.3
2740 22.338 8.516
2750 22.332 7.953
2760 22.088 8.196
2770 21.971 8.306
2780 21.825 8.24
2790 22.689 8.18
2800 22.784 8.221
2810 22.503 8.069
2820 22.84 8.558
2830 22.412 8.126
2840 22.131 7.573
2850 21.753 7.748
2860 21.801 7.927
2870 22.024 8.011
2880 22.029 7.953
2890 22.498 8.218
2900 22.475 8.528
2910 22.335 7.945
2920 22.06 8.225
2930 21.887 8.329
2940 22.292 8.823
2950 21.785 8.529
2960 21.045 7.5
2970 21.159 7.744
2980 21.106 7.593
2990 21.978 7.754
3000 21.871 8.02
3010 21.811 7.839
3020 22.026 8.462
3030 22.114 8.263
3040 21.398 7.793
3050 21.539 8.119
3060 21.04 8.024
3070 21.2 7.812
3080 21.201 7.604
3090 21.539 7.641
3100 23.597 8.599
3110 21.972 7.603
3120 22.518 8.578
3130 23.46 8.361
3140 22.364 8.216
3150 20.94 7.51
3160 21.21 7.677
3170 21.455 8.688
3180 22.199 8
3190 22.094 8.282
3200 21.623 7.833
3210 21.648 8.285
3220 22.281 8.276
3230 21.984 8.348
3240 21.323 8.476
3250 20.925 8.279
3260 20.048 6.686
3270 20.503 7.386
3280 22.12 8.422
3290 22.214 7.892
3300 23.202 8.41
3310 21.598 7.798
3320 21.208 7.928
3330 21.253 8.208
3340 21.361 8.644
3350 21.186 8.57
3360 20.195 7.689
3370 20.926 7.94
3380 22.251 8.646
3390 22.632 8.298
3400 21.402 8.204
3410 21.398 7.932
3420 20.334 6.931
3430 20.368 7.654
3440 20.681 8.037
3450 20.81 7.905
3460 20.681 7.815
3470 21.517 8.213
3480 21.162 7.808
3490 20.95 7.516
3500 20.949 8.136
3510 20.568 7.637
3520 21.222 8.468
3530 21.724 8.24
3540 21.435 7.751
