------------------------------------------------------------
Server listening on UDP port 5001 with pid 17200
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.241.13 port 5001 connected with 100.100.100.10 port 52078
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.22 MBytes  1.02 Mbits/sec  18.504 ms    0/  870 (0%) 86.688/ 9.359/432.588/105.063 ms   87 pps  1.48
[  3] 10.0000-20.0000 sec  1.24 MBytes  1.04 Mbits/sec  27.913 ms    0/  882 (0%) 86.691/ 9.328/429.570/103.030 ms   88 pps  1.50
[  3] 20.0000-30.0000 sec  1.30 MBytes  1.09 Mbits/sec   2.166 ms    0/  924 (0%) 88.945/ 9.419/424.463/102.632 ms   92 pps  1.53
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.062 ms    0/  891 (0%) 29.310/ 8.967/408.033/61.915 ms   89 pps  4.47
[  3] 40.0000-50.0000 sec  1.23 MBytes  1.03 Mbits/sec  16.786 ms    0/  876 (0%) 102.039/ 9.006/427.797/119.423 ms   87 pps  1.26
[  3] 50.0000-60.0000 sec  1.27 MBytes  1.07 Mbits/sec   7.120 ms    0/  908 (0%) 96.809/ 9.130/422.420/111.192 ms   91 pps  1.38
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.355 ms    0/  891 (0%) 84.632/ 9.215/432.861/100.716 ms   89 pps  1.55
[  3] 70.0000-80.0000 sec  1.22 MBytes  1.02 Mbits/sec  32.383 ms    0/  867 (0%) 87.835/ 9.330/412.270/102.752 ms   86 pps  1.45
[  3] 80.0000-90.0000 sec  1.28 MBytes  1.08 Mbits/sec  21.768 ms    0/  916 (0%) 108.865/ 9.353/434.341/118.646 ms   90 pps  1.24
[  3] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.972 ms    0/  892 (0%) 85.931/ 9.422/416.889/104.934 ms   92 pps  1.53
[  3] 100.0000-110.0000 sec  1.23 MBytes  1.03 Mbits/sec  22.375 ms    0/  879 (0%) 91.929/ 9.404/402.093/103.223 ms   87 pps  1.41
[  3] 110.0000-120.0000 sec  1.26 MBytes  1.06 Mbits/sec  34.056 ms    0/  901 (0%) 105.803/ 9.425/433.118/114.790 ms   88 pps  1.25
[  3] 120.0000-130.0000 sec  1.23 MBytes  1.03 Mbits/sec  30.898 ms    0/  879 (0%) 107.678/ 9.423/417.154/112.133 ms   90 pps  1.20
[  3] 130.0000-140.0000 sec  1.27 MBytes  1.07 Mbits/sec   9.659 ms    0/  908 (0%) 100.254/ 8.940/401.720/107.470 ms   92 pps  1.33
[  3] 140.0000-150.0000 sec  1.22 MBytes  1.02 Mbits/sec  34.997 ms    0/  871 (0%) 117.453/ 8.949/418.969/115.865 ms   86 pps  1.09
[  3] 150.0000-160.0000 sec  1.28 MBytes  1.07 Mbits/sec  10.860 ms    0/  912 (0%) 94.813/ 9.111/427.420/111.079 ms   93 pps  1.41
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec  37.736 ms    0/  890 (0%) 84.779/ 9.184/429.099/102.432 ms   86 pps  1.54
[  3] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.492 ms    0/  892 (0%) 83.252/ 9.375/429.099/103.028 ms   93 pps  1.58
[  3] 180.0000-190.0000 sec  1.20 MBytes  1.01 Mbits/sec  29.252 ms    0/  857 (0%) 83.418/ 9.398/416.941/104.927 ms   86 pps  1.51
[  3] 190.0000-200.0000 sec  1.26 MBytes  1.05 Mbits/sec  26.473 ms    0/  897 (0%) 120.833/ 9.436/432.657/123.283 ms   90 pps  1.09
[  3] 200.0000-210.0000 sec  1.28 MBytes  1.07 Mbits/sec  13.744 ms    0/  913 (0%) 100.198/ 9.483/394.062/106.791 ms   91 pps  1.34
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec  30.363 ms    0/  891 (0%) 101.218/ 9.381/424.756/109.581 ms   88 pps  1.29
[  3] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec  29.725 ms    0/  893 (0%) 128.922/ 9.378/432.044/123.252 ms   89 pps  1.02
[  3] 230.0000-240.0000 sec  1.26 MBytes  1.06 Mbits/sec   6.281 ms    0/  900 (0%) 85.047/ 8.994/402.428/102.076 ms   92 pps  1.56
[  3] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.628 ms    0/  892 (0%) 100.947/ 9.029/435.340/116.243 ms   89 pps  1.30
[  3] 250.0000-260.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.332 ms    0/  892 (0%) 78.963/ 9.182/429.600/102.434 ms   89 pps  1.66
[  3] 260.0000-270.0000 sec  1.23 MBytes  1.03 Mbits/sec  20.205 ms    0/  877 (0%) 91.108/ 9.231/423.673/106.519 ms   87 pps  1.42
[  3] 270.0000-280.0000 sec  1.26 MBytes  1.05 Mbits/sec  22.015 ms    0/  896 (0%) 90.830/ 9.330/396.766/104.302 ms   90 pps  1.45
[  3] 280.0000-290.0000 sec  1.24 MBytes  1.04 Mbits/sec   7.982 ms   13/  901 (1.4%) 106.186/ 9.429/429.297/112.777 ms   89 pps  1.23
[  3] 290.0000-300.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.626 ms    0/  892 (0%) 90.364/ 9.464/423.994/104.694 ms   89 pps  1.45
[  3] 300.0000-310.0000 sec  1.22 MBytes  1.02 Mbits/sec  32.054 ms    0/  870 (0%) 92.836/ 9.322/432.632/113.223 ms   86 pps  1.38
[  3] 310.0000-320.0000 sec  1.28 MBytes  1.07 Mbits/sec   3.714 ms    0/  913 (0%) 87.254/ 9.416/402.344/102.979 ms   92 pps  1.54
[  3] 320.0000-330.0000 sec  1.24 MBytes  1.04 Mbits/sec  16.069 ms    0/  885 (0%) 57.916/ 9.464/402.019/88.024 ms   87 pps  2.25
[  3] 330.0000-340.0000 sec  1.24 MBytes  1.04 Mbits/sec  22.417 ms    0/  887 (0%) 30.684/ 8.995/432.373/67.643 ms   88 pps  4.25
[  3] 340.0000-350.0000 sec  1.27 MBytes  1.06 Mbits/sec   0.987 ms    0/  903 (0%) 56.682/ 9.091/412.951/93.114 ms   92 pps  2.34
[  3] 350.0000-360.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.992 ms    0/  892 (0%) 22.227/ 9.188/365.101/50.390 ms   89 pps  5.90
