------------------------------------------------------------
Server listening on UDP port 5001 with pid 11826
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.241.14 port 5001 connected with 100.100.100.10 port 45619
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.290 ms    0/  892 (0%) 19.154/ 6.292/388.281/49.268 ms   89 pps  6.85
[  3] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.033 ms    0/  890 (0%) 19.971/ 6.405/406.778/50.695 ms   89 pps  6.55
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.251 ms    0/  893 (0%) 10.500/ 6.522/211.652/17.678 ms   89 pps  12.50
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.815 ms    0/  892 (0%) 24.250/ 6.601/411.637/61.930 ms   89 pps  5.41
[  3] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.989 ms    0/  892 (0%) 16.271/ 6.539/276.074/36.590 ms   89 pps  8.06
[  3] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.657 ms    0/  891 (0%)  8.046/ 6.538/18.789/ 1.278 ms   89 pps  16.28
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.264 ms    0/  892 (0%)  8.264/ 6.539/24.478/ 1.789 ms   89 pps  15.87
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.356 ms    0/  892 (0%) 13.641/ 6.572/316.374/32.447 ms   89 pps  9.61
[  3] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.021 ms    0/  891 (0%) 12.324/ 6.201/279.624/27.426 ms   89 pps  10.63
[  3] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.278 ms    0/  892 (0%)  7.617/ 6.213/23.863/ 1.422 ms   89 pps  17.22
[  3] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.013 ms    0/  892 (0%)  7.663/ 6.336/16.570/ 1.055 ms   89 pps  17.11
[  3] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.761 ms    0/  891 (0%)  8.077/ 6.370/24.069/ 1.958 ms   89 pps  16.22
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.978 ms    0/  892 (0%)  8.121/ 6.504/24.756/ 2.056 ms   89 pps  16.15
[  3] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.856 ms    0/  892 (0%) 11.947/ 6.531/279.653/26.882 ms   89 pps  10.98
[  3] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.087 ms    0/  891 (0%)  7.903/ 6.630/19.642/ 1.148 ms   89 pps  16.57
[  3] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.688 ms    0/  892 (0%) 15.149/ 6.546/370.742/41.068 ms   89 pps  8.66
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.326 ms    0/  891 (0%) 11.413/ 6.562/251.486/23.014 ms   89 pps  11.48
[  3] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.982 ms    0/  892 (0%)  8.095/ 6.535/22.900/ 1.491 ms   89 pps  16.20
[  3] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.030 ms    0/  892 (0%) 10.638/ 6.139/236.374/20.949 ms   89 pps  12.33
[  3] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.320 ms    0/  891 (0%)  7.838/ 6.222/24.285/ 2.097 ms   89 pps  16.71
[  3] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.989 ms    0/  892 (0%)  8.390/ 6.238/24.231/ 2.523 ms   89 pps  15.63
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.130 ms    0/  892 (0%)  8.174/ 6.461/18.578/ 1.741 ms   89 pps  16.04
[  3] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.071 ms    0/  891 (0%)  8.324/ 6.491/24.324/ 2.183 ms   89 pps  15.73
[  3] 230.0000-240.0000 sec  1.21 MBytes  1.01 Mbits/sec  23.877 ms    0/  862 (0%) 30.302/ 6.589/371.888/64.557 ms   86 pps  4.18
[  3] 240.0000-250.0000 sec  1.29 MBytes  1.08 Mbits/sec   0.821 ms    0/  922 (0%) 22.473/ 6.535/360.964/50.774 ms   92 pps  6.03
[  3] 250.0000-260.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.516 ms    0/  891 (0%)  8.410/ 6.571/23.968/ 2.047 ms   89 pps  15.57
[  3] 260.0000-270.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.386 ms    0/  892 (0%)  8.063/ 6.525/23.548/ 1.370 ms   89 pps  16.26
[  3] 270.0000-280.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.542 ms    0/  892 (0%) 10.538/ 6.195/221.933/19.150 ms   89 pps  12.44
[  3] 280.0000-290.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.275 ms    0/  891 (0%)  7.559/ 6.110/14.095/ 1.105 ms   89 pps  17.33
[  3] 290.0000-300.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.947 ms    0/  892 (0%)  7.532/ 6.233/13.992/ 0.922 ms   89 pps  17.41
[  3] 300.0000-310.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.651 ms    0/  892 (0%)  7.988/ 6.372/22.857/ 1.739 ms   89 pps  16.41
[  3] 310.0000-320.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.007 ms    0/  891 (0%) 20.416/ 6.436/406.689/53.597 ms   89 pps  6.42
[  3] 320.0000-330.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.298 ms    0/  891 (0%)  8.031/ 6.554/23.846/ 1.606 ms   89 pps  16.31
[  3] 330.0000-340.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.059 ms    0/  892 (0%)  7.916/ 6.552/22.795/ 1.224 ms   89 pps  16.56
[  3] 340.0000-350.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.798 ms    0/  892 (0%)  7.860/ 6.496/17.533/ 0.957 ms   89 pps  16.68
[  3] 350.0000-360.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.814 ms    0/  892 (0%)  7.892/ 6.589/19.592/ 1.027 ms   89 pps  16.62
[  3] 360.0000-370.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.181 ms    0/  891 (0%) 11.002/ 6.556/241.419/21.746 ms   89 pps  11.91
[  3] 370.0000-380.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.113 ms    0/  892 (0%) 16.021/ 6.136/394.078/45.237 ms   89 pps  8.18
[  3] 380.0000-390.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.184 ms    0/  892 (0%) 13.660/ 6.204/345.054/37.103 ms   89 pps  9.60
[  3] 390.0000-400.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.977 ms    0/  890 (0%)  7.761/ 6.253/36.913/ 1.879 ms   89 pps  16.86
[  3] 400.0000-410.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.126 ms    0/  893 (0%)  7.685/ 6.310/19.016/ 1.052 ms   89 pps  17.08
[  3] 410.0000-420.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.830 ms    0/  892 (0%) 11.260/ 6.437/240.949/21.536 ms   89 pps  11.65
[  3] 420.0000-430.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.943 ms    0/  891 (0%)  7.919/ 6.538/14.518/ 1.188 ms   89 pps  16.54
[  3] 430.0000-440.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.190 ms    0/  892 (0%)  7.850/ 6.518/14.234/ 1.001 ms   89 pps  16.70
[  3] 440.0000-450.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.101 ms    0/  892 (0%)  7.857/ 6.524/14.253/ 0.960 ms   89 pps  16.69
[  3] 450.0000-460.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.112 ms    0/  891 (0%)  7.986/ 6.521/19.775/ 1.128 ms   89 pps  16.40
[  3] 460.0000-470.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.285 ms    0/  892 (0%)  8.394/ 6.529/24.683/ 1.887 ms   89 pps  15.62
[  3] 470.0000-480.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.506 ms    0/  892 (0%) 22.484/ 6.147/350.503/51.873 ms   89 pps  5.83
[  3] 480.0000-490.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.149 ms    0/  891 (0%) 10.535/ 6.154/244.079/22.005 ms   89 pps  12.43
[  3] 490.0000-500.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.076 ms    0/  892 (0%)  7.551/ 6.224/19.643/ 0.995 ms   89 pps  17.37
[  3] 500.0000-510.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.098 ms    0/  891 (0%)  7.759/ 6.408/23.961/ 1.236 ms   89 pps  16.88
[  3] 510.0000-520.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.881 ms    0/  892 (0%) 13.981/ 6.489/346.108/37.067 ms   89 pps  9.38
[  3] 520.0000-530.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.024 ms    0/  892 (0%) 15.519/ 6.476/385.350/43.652 ms   89 pps  8.45
[  3] 530.0000-540.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.056 ms    0/  891 (0%)  8.294/ 6.542/96.562/ 5.367 ms   89 pps  15.79
[  3] 540.0000-550.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.287 ms    0/  892 (0%)  7.845/ 6.485/13.828/ 0.923 ms   89 pps  16.71
[  3] 550.0000-560.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.109 ms    0/  892 (0%)  7.867/ 6.514/15.288/ 0.922 ms   89 pps  16.67
[  3] 560.0000-570.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.952 ms    0/  891 (0%)  7.913/ 6.550/22.939/ 1.059 ms   89 pps  16.55
[  3] 570.0000-580.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.051 ms    0/  892 (0%)  7.653/ 6.126/11.226/ 0.908 ms   89 pps  17.13
[  3] 580.0000-590.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.971 ms    0/  892 (0%)  8.813/ 6.165/146.459/10.237 ms   89 pps  14.88
[  3] 590.0000-600.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.365 ms    0/  891 (0%)  8.509/ 6.306/64.016/ 3.673 ms   89 pps  15.39
[  3] 600.0000-610.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.067 ms    0/  892 (0%) 18.318/ 6.395/353.311/45.092 ms   89 pps  7.16
[  3] 610.0000-620.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.876 ms    0/  892 (0%)  8.112/ 6.496/22.442/ 1.670 ms   89 pps  16.16
[  3] 620.0000-630.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.949 ms    0/  891 (0%) 15.381/ 6.517/369.280/40.630 ms   89 pps  8.52
[  3] 630.0000-640.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.438 ms    0/  892 (0%)  8.082/ 6.555/18.656/ 1.415 ms   89 pps  16.22
[  3] 640.0000-650.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.348 ms    0/  892 (0%)  8.181/ 6.489/36.313/ 1.863 ms   89 pps  16.03
[  3] 650.0000-660.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.960 ms    0/  891 (0%)  8.420/ 6.559/32.268/ 2.035 ms   89 pps  15.56
[  3] 660.0000-670.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.762 ms    0/  892 (0%) 10.982/ 6.529/238.405/21.303 ms   89 pps  11.94
[  3] 670.0000-680.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.570 ms    0/  891 (0%) 11.673/ 6.090/279.213/26.928 ms   89 pps  11.22
[  3] 680.0000-690.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.555 ms    0/  892 (0%)  7.485/ 6.143/16.587/ 1.040 ms   89 pps  17.52
[  3] 690.0000-700.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.107 ms    0/  892 (0%)  7.632/ 6.240/36.176/ 1.482 ms   89 pps  17.18
[  3] 700.0000-710.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.076 ms    0/  891 (0%)  7.689/ 6.382/14.518/ 0.959 ms   89 pps  17.03
[  3] 710.0000-720.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.111 ms    0/  892 (0%)  7.795/ 6.524/13.777/ 1.018 ms   89 pps  16.82
[  3] 720.0000-730.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.953 ms    0/  892 (0%)  7.833/ 6.517/13.762/ 0.944 ms   89 pps  16.74
[  3] 730.0000-740.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.826 ms    0/  891 (0%)  7.826/ 6.507/13.907/ 0.901 ms   89 pps  16.74
[  3] 740.0000-750.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.997 ms    0/  892 (0%) 15.642/ 6.469/383.343/43.377 ms   89 pps  8.38
[  3] 750.0000-760.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.487 ms    0/  892 (0%)  8.244/ 6.501/22.715/ 1.587 ms   89 pps  15.91
[  3] 760.0000-770.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.168 ms    0/  891 (0%)  8.197/ 6.546/23.028/ 1.637 ms   89 pps  15.98
[  3] 770.0000-780.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.181 ms    0/  892 (0%) 10.188/ 6.162/224.039/19.326 ms   89 pps  12.87
[  3] 780.0000-790.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.009 ms    0/  892 (0%) 15.640/ 6.158/309.335/38.335 ms   89 pps  8.38
[  3] 790.0000-800.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.987 ms    0/  891 (0%) 12.442/ 6.328/260.081/26.696 ms   89 pps  10.53
[  3] 800.0000-810.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.044 ms    0/  892 (0%) 18.663/ 6.371/334.194/46.967 ms   89 pps  7.03
[  3] 810.0000-820.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.147 ms    0/  891 (0%)  7.994/ 6.457/24.403/ 1.610 ms   89 pps  16.38
[  3] 820.0000-830.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.045 ms    0/  892 (0%)  8.141/ 6.437/23.760/ 2.018 ms   89 pps  16.11
[  3] 830.0000-840.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.875 ms    0/  892 (0%) 12.559/ 6.528/301.672/30.088 ms   89 pps  10.44
[  3] 840.0000-850.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.865 ms    0/  891 (0%)  7.886/ 6.499/24.621/ 1.222 ms   89 pps  16.61
[  3] 850.0000-860.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.159 ms    0/  892 (0%)  7.975/ 6.518/23.200/ 1.375 ms   89 pps  16.44
[  3] 860.0000-870.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.241 ms    0/  892 (0%) 17.125/ 6.537/254.303/36.539 ms   89 pps  7.66
[  3] 870.0000-880.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.056 ms    0/  891 (0%) 13.081/ 6.142/319.398/32.856 ms   89 pps  10.01
[  3] 880.0000-890.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.940 ms    0/  892 (0%)  7.521/ 6.237/21.867/ 1.110 ms   89 pps  17.43
[  3] 890.0000-900.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.898 ms    0/  892 (0%)  7.608/ 6.305/15.542/ 0.988 ms   89 pps  17.24
[  3] 900.0000-910.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.010 ms    0/  891 (0%)  7.736/ 6.399/16.718/ 0.977 ms   89 pps  16.93
[  3] 910.0000-920.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.229 ms    0/  892 (0%)  7.968/ 6.448/24.512/ 1.728 ms   89 pps  16.46
[  3] 920.0000-930.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.912 ms    0/  892 (0%) 16.341/ 6.498/398.039/47.099 ms   89 pps  8.02
[  3] 930.0000-940.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.958 ms    0/  891 (0%) 13.570/ 6.546/328.937/34.345 ms   89 pps  9.65
[  3] 940.0000-950.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.783 ms    0/  892 (0%)  8.122/ 6.547/23.615/ 1.844 ms   89 pps  16.14
[  3] 950.0000-960.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.945 ms    0/  892 (0%)  8.255/ 6.545/84.320/ 4.415 ms   89 pps  15.88
[  3] 960.0000-970.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.268 ms    0/  891 (0%) 12.443/ 6.300/248.947/25.078 ms   89 pps  10.53
[  3] 970.0000-980.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.409 ms    0/  892 (0%)  7.493/ 6.077/19.122/ 1.179 ms   89 pps  17.50
[  3] 980.0000-990.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.110 ms    0/  891 (0%)  7.488/ 6.158/18.364/ 1.022 ms   89 pps  17.49
[  3] 990.0000-1000.0000 sec  1.25 MBytes  1.05 Mbits/sec   4.437 ms    0/  892 (0%) 12.624/ 6.342/311.416/31.660 ms   89 pps  10.39
[  3] 1000.0000-1010.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.070 ms    0/  892 (0%)  7.766/ 6.330/18.573/ 1.155 ms   89 pps  16.88
[  3] 1010.0000-1020.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.005 ms    0/  891 (0%)  7.824/ 6.477/19.571/ 1.069 ms   89 pps  16.74
[  3] 1020.0000-1030.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.090 ms    0/  892 (0%) 13.945/ 6.502/343.709/36.923 ms   89 pps  9.40
[  3] 1030.0000-1040.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.572 ms    0/  892 (0%)  7.836/ 6.504/20.732/ 1.111 ms   89 pps  16.73
[  3] 1040.0000-1050.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.877 ms    0/  891 (0%)  7.906/ 6.529/33.724/ 1.371 ms   89 pps  16.57
[  3] 1050.0000-1060.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.864 ms    0/  892 (0%)  7.909/ 6.547/19.995/ 0.992 ms   89 pps  16.58
[  3] 1060.0000-1070.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.984 ms    0/  892 (0%)  7.906/ 6.406/19.797/ 1.028 ms   89 pps  16.58
[  3] 1070.0000-1080.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.097 ms    0/  891 (0%)  7.469/ 6.098/34.853/ 1.397 ms   89 pps  17.54
[  3] 1080.0000-1090.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.140 ms    0/  892 (0%) 16.070/ 6.224/400.158/46.798 ms   89 pps  8.16
[  3] 1090.0000-1100.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.246 ms    0/  892 (0%)  8.210/ 6.277/24.409/ 2.243 ms   89 pps  15.97
[  3] 1100.0000-1110.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.847 ms    0/  891 (0%) 22.464/ 6.419/398.987/56.900 ms   89 pps  5.83
[  3] 1110.0000-1120.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.279 ms    0/  892 (0%) 16.571/ 6.528/384.203/43.650 ms   89 pps  7.91
