# TimeStamp(s) Latency-avg(ms) Stdev
0 34.013 7.715
10 34.107 7.261
20 33.837 7.202
30 34.353 7.904
40 33.584 6.785
50 33.688 6.897
60 34.249 6.872
70 34.684 6.932
80 34.291 6.897
90 33.796 6.792
100 34.11 6.874
110 34.361 7.436
120 33.577 7.137
130 33.884 7.351
140 33.687 7.213
150 34.112 7.387
160 34.515 7.548
170 34.405 7.209
180 33.676 6.832
190 34.375 7.062
200 34.574 7.572
210 33.719 6.87
220 34.125 6.77
230 33.697 6.976
240 33.824 7.238
250 33.76 6.82
260 34.268 6.734
270 34.516 7.043
280 34.849 7.262
290 34.448 7.323
300 34.451 7.058
310 33.863 6.895
320 34.221 6.78
330 34.1 6.708
340 33.484 6.874
350 33.355 6.675
360 34.846 6.928
370 34.387 7.214
380 33.936 6.721
390 34.441 7.331
400 33.774 6.755
410 33.709 6.774
420 34.223 7.415
430 33.754 7.094
440 33.522 7.127
450 33.541 7.005
460 34.623 7.127
470 35.665 8.527
480 34.351 7.066
490 34.446 7.264
500 34.406 7.147
510 34.413 7.051
520 33.67 7.096
530 34.01 6.965
540 34.124 7.327
550 34.097 6.7
560 34.464 7.019
570 34.58 7.09
580 34.229 7.202
590 34.223 7.372
600 34.749 7.902
610 33.953 7.444
620 33.854 7.072
630 33.234 6.735
640 34.057 7.314
650 34.109 6.891
660 34.1 7.475
670 34 7.406
680 33.997 6.957
690 33.888 7.236
700 33.752 6.956
710 33.634 7.144
720 33.31 7.752
730 32.731 6.928
740 33.218 6.957
750 34.26 7.375
760 33.776 6.948
770 33.871 7.031
780 33.789 6.83
790 33.635 6.946
800 33.449 7.223
810 33.068 6.856
820 33.268 6.814
830 32.943 7.042
840 32.534 7.051
850 33.653 7.153
860 33.848 7.376
870 33.241 6.904
880 33.385 6.709
890 33.656 7.304
900 33.004 7.163
910 32.931 6.702
920 33.08 7.047
930 33.195 7.024
940 33.044 6.968
950 33.163 6.874
960 33.691 8.079
