# TimeStamp(s) Latency-avg(ms) Stdev
0 59.271 91.1
10 72.78 100.243
20 64.073 91.338
30 30.301 52.487
40 65.504 93.882
50 93.551 106.422
60 73.725 97.858
70 101.125 112.3
80 86.78 108.465
90 91.873 109.567
100 73.105 98.463
110 85.115 109.975
120 74.198 96.211
130 79.918 98.885
140 102.749 111.074
150 87.517 107.043
160 80.223 99.166
170 77.668 101.088
180 77.421 102.179
190 58.619 82.788
200 69.45 99.935
210 80.014 104.014
220 78.127 104.172
230 49.466 86.106
240 41.318 71.041
250 59.302 89.285
260 84.113 108.466
270 75.542 103.982
280 44.118 77.954
290 59.146 92.248
300 48.857 78.733
310 88.016 116.772
320 54.991 86.602
330 68.027 96.431
340 61.312 86.229
350 45.228 75.306
360 64.503 96.24
370 60.955 90.391
380 52.135 81.041
390 60.317 86.392
400 60.603 90.225
410 63.818 97.547
420 45.342 80.265
430 82.402 104.368
440 51.761 80.396
450 61.627 84.676
460 73.558 95.826
470 54.305 92.374
480 45.074 82.078
490 40.185 77.1
500 50.106 79.733
510 39.907 72.611
520 54.466 82.464
530 72.602 97.436
540 44.636 75.313
550 100.452 110.038
560 110.695 106.215
570 74.26 97.697
580 100.836 103.405
590 87.609 98.369
600 110.311 111.709
610 94.353 107.198
620 47.685 77.986
630 63.886 93.863
640 46.672 77.058
650 72.494 100.741
660 48.667 76.076
670 81.559 99.736
680 51.11 87.052
690 50.347 87.429
700 43.227 74.155
710 62.904 90.711
720 50.221 80.382
730 74.253 95.425
740 92.807 105.706
750 53.752 87.676
760 42.636 73.857
770 48.438 77.587
780 74.893 100.011
790 71.032 99.004
800 41.633 75.438
810 81.63 110.266
820 38.225 73.847
830 87.789 106.618
840 57.077 86.554
850 53.214 87.005
860 80.337 104.859
870 80.303 102.152
880 48.16 78.973
890 72.64 101.674
900 105.283 113.944
910 75.512 99.028
920 82.886 108.94
930 40.142 76.652
940 59.547 89.258
950 91.146 108.53
960 76.889 97.65
970 65.424 95.198
980 82.249 100.835
990 55.492 86.215
1000 66.653 95.886
1010 57.655 82.778
1020 54.895 78.331
1030 101.049 108.855
1040 59.676 97.801
1050 46.494 70.454
1060 100.536 115.286
1070 64.88 89.015
1080 32.2 66.014
1090 58.527 96.64
1100 61.123 88.342
1110 37.224 72.651
1120 44.428 70.371
1130 64.292 88.886
1140 73.556 98.315
1150 66.261 90.625
1160 32.24 58.27
1170 81.518 101.237
1180 60.185 89.51
1190 30.747 57.722
1200 51.858 84.38
1210 72.506 98.599
1220 52.745 86.154
1230 58.749 90.104
1240 64.321 98.372
1250 48.09 78.814
1260 44.333 77.943
1270 68.001 93.925
1280 74.279 100.133
1290 70.595 103.521
1300 62.283 85.8
1310 56.175 88.312
1320 71.737 96.677
1330 58.711 85.778
1340 85.781 105.784
1350 77.218 96.8
1360 74.173 101.136
1370 71.182 93.512
1380 68.109 93.329
1390 67.641 94.445
1400 67.844 97.323
1410 65.951 96.914
1420 75.719 101.817
1430 88.774 112.297
1440 80.539 91.41
1450 87.157 95.743
1460 68.217 94.237
1470 81.879 104.613
1480 59.349 86.759
1490 40.853 75.472
1500 42.933 76.18
1510 65.584 96.461
1520 109.265 119.6
1530 60.264 94.457
1540 56.345 86.358
1550 61.631 92.057
1560 50.937 100.814
1570 90.234 112.309
1580 79.297 100.054
1590 89.682 99.821
1600 81.592 101.992
1610 74.906 98.699
1620 70.039 102.858
1630 85.899 110.762
1640 58.71 93.901
1650 53.441 87.301
1660 55.67 87.662
1670 75.817 99.116
1680 89.331 106.255
1690 74.604 95.694
1700 83.879 101.015
1710 73.552 96.79
1720 77.671 93.054
1730 71.849 97.803
1740 59.267 86.183
1750 48.248 82.508
1760 61.765 91.197
1770 71.135 110.64
1780 61.381 91.822
1790 57.667 90.815
1800 35.12 66.094
1810 57.097 90.488
1820 24.819 46.179
1830 58.809 87.511
1840 49.657 83.801
1850 47.83 79.71
1860 63.257 97.911
1870 82.514 105.059
1880 77.899 102.529
1890 59.594 87.911
1900 67.979 96.304
1910 49.308 84.091
1920 66.786 90.891
1930 84.175 96.389
1940 95.768 111.075
1950 71.638 92.085
1960 86.444 107.15
1970 102.275 111.806
1980 102.534 105.773
1990 84.947 100.695
2000 112.911 113.639
2010 82.07 96.925
2020 80.684 94.984
2030 80.138 103.437
2040 80.732 98.797
2050 86.849 101.703
2060 52.141 82.17
2070 88.558 106.179
2080 43.651 74.121
2090 47.043 98.54
2100 75.054 91.767
2110 88.767 107.525
2120 63.191 92.85
2130 83.144 112.815
2140 70.776 92.635
2150 85.274 109.481
2160 68.072 87.151
2170 92.609 99.547
2180 80.2 97.947
2190 73.641 95.046
2200 50.869 87.006
2210 46.895 79.309
2220 37.922 70.698
2230 39.222 65.088
2240 38.188 66.448
2250 49.547 82.138
2260 50.658 76.305
2270 61.415 89.088
2280 47.474 77.05
2290 59.456 93.429
2300 43.099 70.357
2310 32.885 61.928
2320 59.025 81.339
2330 47.41 77.064
2340 58.726 87.519
2350 42.662 70.494
2360 70.051 95.34
2370 76.562 92.424
2380 66.754 93.699
2390 44.273 69.887
2400 60.511 92.589
2410 72.731 109.03
2420 40.342 70.541
2430 71.318 101.073
2440 68.36 97.945
2450 47.73 78.794
2460 53.322 82.722
2470 87.948 107.839
2480 68.626 97.661
2490 51.627 76.564
2500 51.437 84.14
2510 98.964 114.34
2520 65.287 91.418
2530 60.004 84.976
2540 93.828 109.699
2550 91.893 112.953
2560 66.47 99.817
2570 72.334 88.301
2580 57.524 83.281
2590 90.513 105.151
2600 98.387 106.135
2610 67.467 86.971
2620 61.57 89.379
2630 71.193 95.128
2640 74.576 95.476
2650 76.729 90.845
2660 77.61 98.353
2670 86.774 117.202
2680 78.096 101.414
2690 51.459 81.341
2700 66.257 97.322
2710 80.486 98.155
2720 102.644 118.032
2730 78.601 103.015
2740 70.071 93.888
2750 71.267 93.454
2760 36.382 61.028
2770 71.767 95.046
2780 54.131 80.491
2790 76.717 95.966
2800 63.825 95.513
2810 29.49 46.799
2820 66.279 89.606
2830 50.666 78.956
2840 53.446 78.984
2850 64.666 90.297
2860 55.519 80.897
2870 55.619 80.391
2880 98.898 112.185
2890 70.321 103.707
2900 44.109 65.804
2910 79.504 102.243
2920 60.202 85.479
2930 57.789 82.748
2940 91.677 127.801
2950 58.567 83.712
2960 69.745 93.028
2970 48.806 78.559
2980 37.977 61.206
2990 66.606 89.311
3000 53.581 79.088
3010 69.559 93.247
3020 87.566 106.725
3030 42.382 65.759
3040 43.57 71.562
3050 67.327 94.368
3060 95.01 102.768
