------------------------------------------------------------
Server listening on UDP port 5002 with pid 7963
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.241.12 port 5002 connected with 100.100.100.10 port 53966
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.23 MBytes  1.03 Mbits/sec  36.359 ms    0/  875 (0%) 79.377/ 9.945/422.475/96.661 ms   85 pps  1.62
[  3] 10.0000-20.0000 sec  1.21 MBytes  1.02 Mbits/sec  28.317 ms    0/  865 (0%) 111.447/10.004/427.908/115.968 ms   88 pps  1.14
[  3] 20.0000-30.0000 sec  1.28 MBytes  1.07 Mbits/sec   8.838 ms    0/  911 (0%) 105.936/10.017/427.908/115.893 ms   92 pps  1.26
[  3] 30.0000-40.0000 sec  1.23 MBytes  1.03 Mbits/sec  29.464 ms    0/  878 (0%) 102.819/10.024/434.699/108.331 ms   85 pps  1.26
[  3] 40.0000-50.0000 sec  1.24 MBytes  1.04 Mbits/sec   3.491 ms    0/  888 (0%) 58.269/ 9.486/412.913/88.343 ms   92 pps  2.24
[  3] 50.0000-60.0000 sec  1.23 MBytes  1.03 Mbits/sec  29.299 ms    0/  880 (0%) 101.820/ 9.615/428.230/112.540 ms   86 pps  1.27
[  3] 60.0000-70.0000 sec  1.23 MBytes  1.03 Mbits/sec  24.363 ms    0/  877 (0%) 86.094/ 9.755/419.482/105.339 ms   89 pps  1.50
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec  10.954 ms    0/  893 (0%) 104.409/ 9.930/425.310/111.981 ms   91 pps  1.26
[  3] 80.0000-90.0000 sec  1.24 MBytes  1.04 Mbits/sec  10.870 ms    0/  883 (0%) 96.442/ 9.966/430.200/115.349 ms   88 pps  1.35
[  3] 90.0000-100.0000 sec  1.24 MBytes  1.04 Mbits/sec  12.268 ms    0/  884 (0%) 84.298/10.053/418.488/103.275 ms   88 pps  1.54
[  3] 100.0000-110.0000 sec  1.24 MBytes  1.04 Mbits/sec   3.403 ms    0/  882 (0%) 79.002/10.100/432.980/102.437 ms   88 pps  1.64
[  3] 110.0000-120.0000 sec  1.23 MBytes  1.03 Mbits/sec  13.240 ms    0/  874 (0%) 80.048/ 9.997/402.598/102.279 ms   87 pps  1.61
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.776 ms    0/  893 (0%) 78.317/10.110/422.857/100.761 ms   90 pps  1.68
[  3] 130.0000-140.0000 sec  1.24 MBytes  1.04 Mbits/sec   3.137 ms    0/  883 (0%) 83.171/10.124/429.038/104.456 ms   88 pps  1.56
[  3] 140.0000-150.0000 sec  1.21 MBytes  1.01 Mbits/sec  20.538 ms    0/  861 (0%) 95.669/ 9.654/433.446/111.536 ms   86 pps  1.32
[  3] 150.0000-160.0000 sec  1.27 MBytes  1.06 Mbits/sec   5.420 ms    0/  905 (0%) 85.950/ 9.789/407.505/103.603 ms   91 pps  1.55
[  3] 160.0000-170.0000 sec  1.24 MBytes  1.04 Mbits/sec   5.992 ms    0/  883 (0%) 90.023/ 9.942/422.724/104.691 ms   88 pps  1.44
[  3] 170.0000-180.0000 sec  1.21 MBytes  1.02 Mbits/sec  18.674 ms    0/  865 (0%) 111.123/10.076/427.513/112.933 ms   86 pps  1.14
[  3] 180.0000-190.0000 sec  1.26 MBytes  1.06 Mbits/sec   6.644 ms    0/  900 (0%) 110.260/10.053/418.069/112.481 ms   90 pps  1.20
[  3] 190.0000-200.0000 sec  1.24 MBytes  1.04 Mbits/sec   1.147 ms    0/  884 (0%) 81.494/10.180/429.741/105.532 ms   88 pps  1.59
[  3] 200.0000-210.0000 sec  1.24 MBytes  1.04 Mbits/sec  24.574 ms    0/  883 (0%) 89.426/10.234/414.771/106.120 ms   86 pps  1.45
[  3] 210.0000-220.0000 sec  1.21 MBytes  1.02 Mbits/sec  29.553 ms    0/  864 (0%) 103.101/10.163/431.660/117.621 ms   88 pps  1.23
