# TimeStamp(s) Latency-avg(ms) Stdev
0 79.377 96.661
10 111.447 115.968
20 105.936 115.893
30 102.819 108.331
40 58.269 88.343
50 101.82 112.54
60 86.094 105.339
70 104.409 111.981
80 96.442 115.349
90 84.298 103.275
100 79.002 102.437
110 80.048 102.279
120 78.317 100.761
130 83.171 104.456
140 95.669 111.536
150 85.95 103.603
160 90.023 104.691
170 111.123 112.933
180 110.26 112.481
190 81.494 105.532
200 89.426 106.12
210 103.101 117.621
220 82.833 101.204
230 106.484 107.375
240 83.354 103.359
250 89.307 110.396
260 93.036 112.305
270 101.415 118.254
280 77.171 97.514
290 85.555 103.236
300 84.603 104.149
310 77.751 99.426
320 81.858 105.958
330 106.121 109.307
340 93.791 110.632
350 105.37 116.872
360 104.118 107.316
370 101.717 110.577
380 87.623 106.604
390 75.799 92.752
400 86.946 104.431
410 78.99 96.594
420 104.581 112.286
430 74.781 94.095
440 81.165 101.891
450 101.114 111.882
460 88.897 106.88
470 96.591 107.915
480 80.096 99.681
490 96.695 105.088
500 81.356 99.603
510 77.662 96.483
520 104.186 110.005
530 99.173 111.484
540 79.157 100.545
550 100.895 114.216
560 76.186 99.198
570 97.673 110.64
580 106.158 108.493
590 97.827 112.649
600 95.393 104.538
610 88.646 105.692
620 73.382 103.459
630 76.611 95.959
640 108.39 115.153
650 105.706 111.865
660 87.605 108.701
670 94.364 109.189
680 99.387 109.323
690 97.302 110.162
700 102.414 114.877
710 116.751 119.803
720 102.051 110.213
730 93.701 106.334
740 91.673 106.425
750 94.115 109.382
760 58.834 82.426
770 97.577 109.338
780 81.641 100.732
790 91.613 107.132
800 107.822 113.619
810 84.68 103.325
820 90.739 111.202
830 100.326 115.909
840 91.032 109.941
850 102.55 116.901
860 93.321 110.958
870 81.271 102.559
880 89.462 109.544
890 93.079 114.026
900 108.317 111.922
910 90.482 103.359
920 78.93 104.251
930 86.395 100.889
940 92.501 104.147
950 107.336 114.911
960 98.303 107.842
970 82.047 102.039
980 114.014 112.674
990 85.027 103.217
1000 78.915 100.187
1010 102.458 111.084
