# TimeStamp(s) Latency-avg(ms) Stdev
0 32.826 7.454
10 32.898 6.851
20 32.529 6.658
30 32.806 6.587
40 32.562 6.786
50 32.536 6.915
60 32.38 6.994
70 33.549 9.75
80 33.173 8.151
90 33.101 6.678
100 33.29 6.828
110 32.913 6.699
120 32.85 6.827
130 32.89 6.817
140 33.01 6.793
150 32.69 6.891
160 32.558 6.794
170 32.685 7.307
180 33.297 6.862
190 33.537 7.165
200 33.278 6.947
210 33.138 7.332
220 33.658 6.634
230 33.095 6.7
240 33.424 6.595
250 33.344 6.903
260 33.544 6.975
270 32.734 6.785
280 33.468 6.431
290 34.232 6.779
300 33.031 6.752
310 33.375 7.157
320 33.845 7.109
330 33.917 6.586
340 33.321 7.788
350 33.126 7.072
360 33.074 7.048
370 34.076 7.501
380 33.76 6.804
390 33.691 7.17
400 33.491 6.986
410 33.929 7.394
420 34.136 6.607
430 33.376 6.945
440 33.923 6.527
450 33.596 6.658
460 33.219 8.268
470 34.332 7.484
480 34.363 6.77
490 34.297 6.877
500 34.192 7.085
510 33.912 6.922
520 33.703 6.917
530 33.379 7.047
540 33.467 7.161
550 33.702 6.676
560 33.665 7.423
570 34.338 7.223
580 33.622 6.609
590 34.042 8.189
600 34.019 7.167
610 34.326 7.748
620 34.045 7.209
630 33.974 6.849
640 33.613 7.014
650 33.157 6.904
660 34.511 6.697
670 34.694 6.835
680 34.819 6.944
690 34.621 6.945
700 34.088 7.168
710 33.748 6.665
720 34.321 7.476
730 33.885 7.417
740 33.99 6.939
750 33.91 6.895
760 34.872 6.888
770 34.866 7.038
780 35.442 6.458
790 34.919 6.712
800 34.155 6.844
810 34.868 6.679
820 33.772 7.046
830 34.677 8.79
840 33.814 6.862
850 34.388 6.978
860 35.305 7.11
870 34.856 7.129
880 35.254 6.828
890 35.977 6.64
900 34.773 7.026
910 34.535 6.95
920 34.938 6.78
930 34.129 6.899
940 34.024 6.73
950 35.568 7.127
960 35.693 7.169
970 35.704 6.675
980 35.111 6.572
990 35.004 6.876
1000 34.615 6.85
1010 34.456 6.91
1020 34.951 8.101
1030 34.445 7.092
1040 34.882 7.057
1050 35.208 6.662
1060 35.117 7.023
1070 34.888 6.644
1080 35.045 6.652
1090 34.638 6.65
1100 34.703 7.085
1110 34.523 6.799
1120 34.677 6.766
1130 34.623 7.028
1140 34.974 6.841
1150 35.726 7.28
1160 35.113 7.112
1170 34.674 6.605
1180 34.945 6.703
1190 34.749 6.938
1200 34.712 6.99
1210 34.468 6.95
1220 34.671 7.831
1230 35.228 8.567
