------------------------------------------------------------
Server listening on UDP port 5005 with pid 160515
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 100.100.100.10 port 5005 connected with 192.168.241.15 port 42558
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec   330 KBytes   270 Kbits/sec  27.870 ms   56/  286 (20%) 3389.217/108.920/6860.062/2004.147 ms   23 pps  0.01
[  3] 10.0000-20.0000 sec   355 KBytes   290 Kbits/sec  33.066 ms   46/  293 (16%) 10151.388/6860.062/13595.919/1885.167 ms   25 pps  0.00
[  3] 20.0000-30.0000 sec   324 KBytes   266 Kbits/sec  24.265 ms   63/  289 (22%) 17355.671/13595.919/20297.635/1905.018 ms   23 pps  0.00
[  3] 30.0000-40.0000 sec   329 KBytes   269 Kbits/sec  31.963 ms   62/  291 (21%) 23492.311/20297.635/27031.025/1971.173 ms   23 pps  0.00
[  3] 40.0000-50.0000 sec   329 KBytes   269 Kbits/sec  23.506 ms   59/  288 (20%) 30657.177/27031.025/33768.314/1991.201 ms   23 pps  0.00
[  3] 50.0000-60.0000 sec   386 KBytes   316 Kbits/sec  30.762 ms   27/  296 (9.1%) 36996.939/33768.314/40460.227/1892.414 ms   27 pps  0.00
[  3] 60.0000-70.0000 sec   332 KBytes   272 Kbits/sec  31.450 ms   64/  295 (22%) 44106.740/40460.227/47103.586/1856.656 ms   23 pps  0.00
[  3] 70.0000-80.0000 sec   392 KBytes   321 Kbits/sec  25.750 ms   26/  299 (8.7%) 50527.179/47103.586/53745.834/1913.059 ms   27 pps  0.00
[  3] 80.0000-90.0000 sec   418 KBytes   342 Kbits/sec  27.649 ms   15/  306 (4.9%) 57016.756/53745.834/60311.349/1854.210 ms   29 pps  0.00
[  3] 90.0000-100.0000 sec   312 KBytes   255 Kbits/sec  39.426 ms   71/  288 (25%) -/-/-/- ms   22 pps
[  3] 100.0000-110.0000 sec   300 KBytes   246 Kbits/sec  32.210 ms   79/  288 (27%) -/-/-/- ms   21 pps
[  3] 110.0000-120.0000 sec   316 KBytes   259 Kbits/sec  34.471 ms   68/  288 (24%) -/-/-/- ms   22 pps
[  3] 120.0000-130.0000 sec   313 KBytes   256 Kbits/sec  25.398 ms   74/  292 (25%) -/-/-/- ms   22 pps
[  3] 130.0000-140.0000 sec   345 KBytes   282 Kbits/sec  30.958 ms   50/  290 (17%) -/-/-/- ms   24 pps
[  3] 140.0000-150.0000 sec   304 KBytes   249 Kbits/sec  32.247 ms   79/  291 (27%) -/-/-/- ms   21 pps
[  3] 150.0000-160.0000 sec   317 KBytes   260 Kbits/sec  32.222 ms   67/  288 (23%) -/-/-/- ms   22 pps
[  3] 160.0000-170.0000 sec   346 KBytes   283 Kbits/sec  23.626 ms   49/  290 (17%) -/-/-/- ms   24 pps
[  3] 170.0000-180.0000 sec   396 KBytes   325 Kbits/sec  23.631 ms   30/  306 (9.8%) -/-/-/- ms   28 pps
[  3] 180.0000-190.0000 sec   359 KBytes   294 Kbits/sec  22.557 ms   43/  293 (15%) -/-/-/- ms   25 pps
[  3] 190.0000-200.0000 sec   365 KBytes   299 Kbits/sec  46.821 ms  425/  679 (63%) -/-/-/- ms   25 pps
[  3] 200.0000-210.0000 sec   323 KBytes   265 Kbits/sec  47.168 ms  633/  858 (74%) -/-/-/- ms   22 pps
[  3] 210.0000-220.0000 sec   362 KBytes   296 Kbits/sec  35.837 ms  578/  830 (70%) -/-/-/- ms   25 pps
[  3] 220.0000-230.0000 sec   415 KBytes   340 Kbits/sec  38.667 ms  643/  932 (69%) -/-/-/- ms   29 pps
[  3] 230.0000-240.0000 sec   281 KBytes   230 Kbits/sec  37.027 ms  677/  873 (78%) -/-/-/- ms   20 pps
[  3] 240.0000-250.0000 sec   395 KBytes   323 Kbits/sec  31.878 ms  674/  949 (71%) -/-/-/- ms   27 pps
[  3] 250.0000-260.0000 sec   535 KBytes   439 Kbits/sec  30.982 ms  781/ 1154 (68%) -/-/-/- ms   37 pps
[  3] 260.0000-270.0000 sec   477 KBytes   390 Kbits/sec  32.801 ms  712/ 1044 (68%) -/-/-/- ms   33 pps
[  3] 270.0000-280.0000 sec   293 KBytes   240 Kbits/sec  61.179 ms  696/  900 (77%) -/-/-/- ms   20 pps
[  3] 280.0000-290.0000 sec   289 KBytes   236 Kbits/sec  40.753 ms  777/  978 (79%) -/-/-/- ms   20 pps
