# TimeStamp(s) Sum Stdev
1 22 0
2 15.3 0
3 18.8 3.35
4 16.8 2.73618
5 29.8 2.50836
6 17.7 5.14494
7 25.8 4.81445
8 18.7 4.88801
9 16.8 4.6291
10 14.8 4.52584
11 17.7 4.58786
12 15.8 4.41013
13 13.8 4.34268
14 17.8 4.41058
15 16.8 4.25724
16 19.7 4.13969
17 17.7 4.01773
18 25.8 3.90392
19 13.7 4.13905
20 16.8 4.19749
21 19.7 4.11211
22 27.8 4.01978
23 15.7 4.36475
24 18.8 4.32387
25 16.8 4.2329
26 19.8 4.16815
27 17.8 4.09141
28 15.8 4.02004
29 19.8 3.98754
30 12.7 3.92309
31 15.8 4.00771
32 14.7 3.97258
33 13 3.96469
34 16.5 4.01054
35 29.7 3.96144
36 32.8 4.35349
37 15.8 4.89602
38 18.8 4.85499
39 16.7 4.79068
40 20.1 4.74035
41 18.4 4.68558
42 16.7 4.62844
43 15.2 4.58376
44 28.3 4.56092
45 16.8 4.73361
46 19.8 4.69044
47 17.8 4.64146
48 20.8 4.59419
49 14.7 4.55503
50 17.8 4.54622
51 21 4.50253
52 19.6 4.46917
53 18.6 4.42741
54 26.6 4.38552
55 14.7 4.47029
56 22.8 4.46556
57 17 4.45611
58 20.5 4.42414
59 13.9 4.39077
60 22.6 4.40151
