# TimeStamp(s) Sum Stdev
1 18.4 0
2 17.5 0
3 19.8 0.45
4 17.6 0.946338
5 21.9 0.920258
6 25.9 1.64997
7 18.8 2.96728
8 23.5 2.78948
9 20.8 2.85646
10 19.9 2.69568
11 19.2 2.56299
12 17.7 2.46835
13 20.9 2.4701
14 20.8 2.38315
15 17.8 2.30263
16 20.7 2.30323
17 19.2 2.23593
18 17.8 2.17892
19 16.8 2.17792
20 27.1 2.22999
21 19.6 2.70175
22 17.6 2.63883
23 16.9 2.62945
24 19.6 2.64667
25 23.7 2.59137
26 21.9 2.65013
27 25.5 2.62477
28 18.1 2.77346
29 21.4 2.75271
30 25.8 2.714
31 13.7 2.85014
32 16.9 3.04391
33 19.8 3.05018
34 18.8 3.00401
35 17.7 2.96738
36 16.8 2.95058
37 19.7 2.95571
38 19.5 2.91565
39 17.5 2.87767
40 30.8 2.86516
41 19.9 3.30874
42 18.8 3.26827
43 17.9 3.23502
44 26.4 3.21356
45 19.9 3.31693
46 19.4 3.28007
47 17.8 3.24601
48 17 3.22876
49 21.3 3.22498
50 18.8 3.19711
51 28 3.16971
52 16.5 3.32816
53 19.6 3.33429
54 28.7 3.30338
55 16.7 3.47247
56 21.9 3.47326
57 19.8 3.44961
58 18.7 3.41965
59 17.6 3.39571
60 16.7 3.38325
61 15.3 3.38368
62 17.6 3.41028
63 20.9 3.39617
64 19.7 3.37114
65 17.6 3.34488
66 20.8 3.33188
67 20.1 3.30822
68 19.2 3.28349
69 23.9 3.26051
70 16.7 3.2712
71 19.7 3.27125
72 17.8 3.24827
73 13.6 3.23541
74 20.6 3.29603
75 25.1 3.27488
76 17.9 3.30841
77 21.8 3.29456
78 19.6 3.28027
79 33.4 3.25936
80 17.5 3.57275
81 16.9 3.56188
82 19.6 3.55682
83 18.1 3.53534
84 16.9 3.5201
85 22.1 3.51498
86 25.7 3.50198
87 17.5 3.53539
88 21.8 3.52537
89 19.8 3.51045
90 19.2 3.49075
91 23.8 3.47237
92 23 3.47573
93 21 3.47025
94 25.7 3.45283
95 17.9 3.48219
96 27.6 3.47146
97 20.7 3.53558
98 24.4 3.51765
99 17.8 3.52484
100 20.9 3.51559
101 19.7 3.4986
102 18.8 3.48165
103 13.5 3.46742
104 20.8 3.51291
105 19.9 3.49655
106 19.4 3.47995
107 17.6 3.46427
108 20.9 3.45678
109 15.6 3.44153
110 17.9 3.45289
111 33.6 3.44346
112 20.9 3.65842
113 19.6 3.64265
114 27.7 3.62694
115 16.7 3.67816
116 19.8 3.67703
117 14.8 3.66137
118 18.7 3.67977
119 20.5 3.66665
120 19 3.65134
121 17.7 3.63765
122 27 3.62944
123 19.6 3.66705
124 14 3.65251
125 21.6 3.67968
126 19.5 3.66723
127 17.9 3.65311
128 17.7 3.64412
129 19.7 3.63617
130 17.8 3.62223
131 18.6 3.61391
132 16.8 3.60243
133 19.3 3.60001
134 19 3.58704
135 21.3 3.57477
136 19.7 3.56314
137 18.7 3.55014
138 17.6 3.53903
139 20.8 3.53224
140 26.1 3.52013
141 15.2 3.54463
142 18.7 3.5556
143 20.9 3.54482
144 15.7 3.53315
145 22.7 3.53919
146 20.8 3.53403
147 15.6 3.52249
148 28.7 3.52929
149 22 3.5889
150 19.8 3.58036
151 14.6 3.56847
152 17.6 3.58416
153 16.8 3.57775
154 15.5 3.57543
155 27.6 3.58202
156 26.8 3.62242
157 29.7 3.65119
158 17.7 3.71952
159 20.7 3.71269
160 19.2 3.70129
161 17.9 3.6904
162 16.4 3.68298
163 29.8 3.68294
164 20.3 3.7495
165 17.6 3.73808
166 20.6 3.73188
167 15.2 3.72082
168 23.8 3.72897
169 25.9 3.72883
170 19.6 3.74425
171 17.9 3.73345
172 16.7 3.72642
173 19.6 3.72468
174 24.1 3.7141
175 17.1 3.71573
176 20.7 3.7121
177 20.2 3.70181
178 18.5 3.69134
179 17.6 3.68292
180 26.3 3.67735
181 20.2 3.69608
182 19.1 3.68586
183 17.9 3.6765
184 17.7 3.67008
185 25.8 3.66436
186 18.6 3.67834
187 27.6 3.67012
188 20.6 3.70079
189 19.1 3.69108
190 17.7 3.6821
191 26.9 3.67667
192 19.6 3.69937
193 18.7 3.68995
194 27.3 3.68189
195 19.3 3.70779
196 17.8 3.69883
197 22.8 3.69332
198 20.6 3.68863
199 18.8 3.67941
200 18.8 3.67149
201 17.5 3.66361
202 20.7 3.65936
203 19.2 3.65048
204 17.6 3.64212
205 26.8 3.63761
206 18.9 3.65813
207 18 3.65034
208 17.5 3.64465
209 20.8 3.64057
210 19.5 3.63212
211 17.8 3.62375
212 16.8 3.61878
213 20.5 3.61751
214 20 3.6091
215 17.7 3.60067
216 21.6 3.5961
217 15.7 3.58917
218 17.7 3.59343
219 21.9 3.58886
220 29.6 3.58272
221 13.8 3.63118
222 17.5 3.64793
223 20.8 3.64392
224 15.2 3.63604
225 23.6 3.64266
226 16.9 3.64205
227 29.7 3.6402
228 32.7 3.68751
229 21 3.77197
230 20.5 3.7641
231 18.9 3.75597
232 19.1 3.74879
233 21.6 3.74138
234 19.7 3.73449
235 18.2 3.72664
236 13.5 3.72095
237 16.6 3.73831
238 19.1 3.7375
239 17.8 3.73024
240 16.6 3.72547
241 20.9 3.72461
242 19.9 3.71722
243 14.9 3.70956
