PING 100.100.100.10 (100.100.100.10) 56(84) bytes of data.
64 bytes from 100.100.100.10: icmp_seq=1 ttl=61 time=19.3 ms
64 bytes from 100.100.100.10: icmp_seq=2 ttl=61 time=17.9 ms
64 bytes from 100.100.100.10: icmp_seq=3 ttl=61 time=20.8 ms
64 bytes from 100.100.100.10: icmp_seq=4 ttl=61 time=18.7 ms
64 bytes from 100.100.100.10: icmp_seq=5 ttl=61 time=16.8 ms
64 bytes from 100.100.100.10: icmp_seq=6 ttl=61 time=19.9 ms
64 bytes from 100.100.100.10: icmp_seq=7 ttl=61 time=14.0 ms
64 bytes from 100.100.100.10: icmp_seq=8 ttl=61 time=27.6 ms
64 bytes from 100.100.100.10: icmp_seq=9 ttl=61 time=15.9 ms
64 bytes from 100.100.100.10: icmp_seq=10 ttl=61 time=18.8 ms
64 bytes from 100.100.100.10: icmp_seq=11 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=12 ttl=61 time=20.9 ms
64 bytes from 100.100.100.10: icmp_seq=13 ttl=61 time=28.9 ms
64 bytes from 100.100.100.10: icmp_seq=14 ttl=61 time=16.9 ms
64 bytes from 100.100.100.10: icmp_seq=15 ttl=61 time=22.9 ms
