# TimeStamp(s) Sum Stdev
1 19.8 0
2 19.6 0
3 17.8 0.1
4 21.5 0.899383
5 19.6 1.3103
6 13.9 1.17235
7 13.5 2.39861
8 16.5 2.87097
9 20.7 2.72844
10 17.6 2.73171
11 21.2 2.59586
12 19.8 2.63552
13 14.6 2.55554
14 17.3 2.66185
15 20 2.5746
16 15.4 2.53205
17 18.7 2.54534
18 22.7 2.47407
19 25.9 2.6262
20 18.7 3.06273
21 12.7 2.9852
22 20.6 3.18458
23 17.9 3.14336
24 17.9 3.07712
25 17.4 3.01489
26 19.4 2.96177
27 18 2.90997
28 17.7 2.85707
29 19.7 2.80922
30 19.6 2.76988
31 17.6 2.73065
32 21.2 2.6912
33 19.7 2.69035
34 17.9 2.65624
35 16.8 2.61965
36 20.7 2.59914
37 15.6 2.58726
38 17.8 2.59801
39 21.5 2.56618
40 19.8 2.57706
41 24.8 2.5518
42 14 2.69543
43 26.7 2.76019
44 19.5 2.98584
45 18 2.95339
46 21.4 2.92306
47 20.4 2.91532
48 14.9 2.89242
49 29 2.91907
50 16.9 3.22699
51 16.7 3.20858
52 19.6 3.19291
53 17.6 3.1633
54 16.9 3.13882
55 19.7 3.12176
56 17.9 3.09508
57 16.7 3.07028
58 19.9 3.05688
59 15.4 3.03344
60 13.8 3.04093
