# TimeStamp(s) Sum Stdev
1 16.8 0
2 19.9 0
3 18.3 1.55
4 21.9 1.26579
5 25.7 1.8939
6 13.8 3.09477
7 26.8 3.77536
8 19.8 4.34999
9 18.7 4.07485
10 28 3.8777
11 16.4 4.36166
12 19.8 4.36127
13 17.8 4.1808
14 26.7 4.08032
15 25.2 4.26493
16 23.4 4.26768
17 16.6 4.17146
18 19.8 4.18839
19 12.7 4.07843
20 15.8 4.36744
21 18.8 4.37464
22 21.7 4.27954
23 19.8 4.19394
24 17.8 4.10256
25 16.8 4.0443
26 29.8 4.01449
27 22.8 4.3684
28 15.8 4.31203
29 23.9 4.32034
30 12.6 4.29692
31 25.9 4.4497
32 14.6 4.49475
33 17.7 4.53414
34 20.8 4.48432
35 20.2 4.41966
36 18.3 4.35611
37 46.9 4.30516
38 20.4 6.08398
39 23.9 6.00367
40 17.8 5.94708
41 20.9 5.89131
42 19.7 5.81906
43 17.9 5.75163
44 16.7 5.70038
45 19.9 5.66616
46 18.7 5.60374
47 16.9 5.54914
48 20.6 5.51462
49 18.9 5.45691
50 17.8 5.40538
51 15.9 5.36357
52 34.7 5.34667
53 17.8 5.6534
54 27.6 5.61233
55 13.8 5.64187
56 17.8 5.66441
57 15.8 5.62506
58 19.7 5.60898
59 17.8 5.56111
60 15.9 5.52373
