# TimeStamp(s) Sum Stdev
1 17.5 0
2 19.5 0
3 24.1 1
4 26.9 2.76325
5 20.7 3.7054
6 14.5 3.35476
7 17.3 4.08153
8 21.5 3.94451
9 19.6 3.71988
10 23.9 3.51308
11 21.4 3.5149
12 15.9 3.36022
13 13.9 3.47235
14 22.8 3.7387
15 16.7 3.68755
16 15.7 3.65438
17 18 3.67142
18 18.2 3.5791
19 28.3 3.48921
20 18.1 3.9418
21 14.2 3.86004
22 21.5 3.94648
23 17.6 3.87905
24 20.7 3.81467
25 19.8 3.74243
26 20.9 3.66723
27 20.7 3.60563
28 18.8 3.54449
29 14.6 3.48399
30 13.7 3.54271
31 22.7 3.63156
32 16.5 3.62463
33 17.5 3.60173
34 21.6 3.55949
35 21.5 3.53006
36 21.6 3.49899
37 17.5 3.47003
38 17.4 3.43666
39 21.5 3.40545
40 31.4 3.37949
41 16.4 3.83047
42 27.5 3.81664
43 21.4 3.95973
44 31.4 3.92117
45 21.1 4.24424
46 17.6 4.19959
47 17.4 4.16952
48 21.6 4.14241
49 17.6 4.10557
50 16.5 4.07775
51 22.5 4.06578
52 31.6 4.0419
53 21.4 4.31101
54 17.4 4.27343
55 17.7 4.25038
56 27.5 4.22417
57 31.4 4.29957
58 17.5 4.507
59 27.5 4.48417
60 21.5 4.54016
