# TimeStamp(s) Sum Stdev
1 17.3 0
2 25.7 0
3 18.6 4.2
4 16.8 3.69173
5 19.8 3.5826
6 13.6 3.20537
7 16.7 3.69173
8 29.8 3.48419
9 18.7 4.99436
10 16.7 4.72111
11 19.7 4.56641
12 27.8 4.35493
13 26.7 4.77232
14 19.8 4.91081
15 17.7 4.73675
16 20.7 4.63103
17 18.8 4.48473
18 26.7 4.3667
19 19.8 4.49063
20 17.7 4.37493
21 20.7 4.31074
22 18.7 4.20717
23 16.8 4.12688
24 14.7 4.1019
25 17.8 4.16483
26 20.7 4.1034
27 18.7 4.02656
28 26.8 3.95825
29 19.8 4.09263
30 17.8 4.02193
31 20.7 3.97641
32 18.8 3.91342
33 16.8 3.85816
34 19.8 3.83949
35 13.6 3.78268
36 16.7 3.87463
37 29.8 3.85321
38 27.6 4.1408
39 16.2 4.26594
40 19.2 4.25674
41 18.3 4.20525
42 16.4 4.16211
43 14.7 4.14829
44 12.8 4.1738
45 15.8 4.25492
46 18.8 4.24477
47 16.8 4.19972
48 14.7 4.17321
49 17.8 4.18499
50 15.8 4.1479
51 18.8 4.13576
52 27.8 4.09549
53 15.8 4.22266
54 13.8 4.21137
55 21.7 4.23855
56 19.8 4.2127
57 12.7 4.17548
58 15.8 4.22823
59 23.8 4.21461
60 21.7 4.2222
