# TimeStamp(s) Sum Stdev
0.875 2.78517e+06 492008
10.125 3.00774e+06 576357
21.375 1.85575e+06 521933
30.875 4.67595e+06 824374
42.625 3.12805e+06 953572
51.75 4.12699e+06 721818
64.25 1.87326e+06 323528
72 3.00258e+06 562354
81 2.63988e+06 918901
91.125 4.09687e+06 1.0267e+06
100.375 6.00311e+06 740759
110 5.61028e+06 938789
120.625 5.53658e+06 1.59467e+06
131.125 4.27979e+06 1.15982e+06
143 4.15093e+06 1.16739e+06
151.25 3.51778e+06 1.18324e+06
160.5 3.49511e+06 1.17017e+06
170.5 3.02525e+06 1.04321e+06
180.625 2.2813e+06 784687
190.625 3.51572e+06 877057
201.625 3.99486e+06 1.35301e+06
210.5 4.70171e+06 1.04365e+06
220.125 3.34468e+06 1.07255e+06
230.25 3.38074e+06 1.01153e+06
240 4.56673e+06 1.43123e+06
250.5 4.39362e+06 1.02367e+06
260.125 4.3895e+06 778205
271.125 2.64606e+06 589104
280.875 5.6435e+06 1.03159e+06
290.5 1.75582e+06 458524
301.625 3.07754e+06 378314
311.125 3.57161e+06 892442
322.75 1.00567e+06 329953
332.75 3.52294e+06 912065
340.875 5.17467e+06 948154
351.875 1.7187e+06 340681
360.625 3.90521e+06 506738
372.75 1.49717e+06 282081
381.75 2.91809e+06 672058
391.5 4.20636e+06 789584
401.5 2.53966e+06 608996
411.875 3.45699e+06 311266
421.5 5.44669e+06 793070
432.5 1.82793e+06 432899
441.625 1.0984e+06 553753
451.5 3.19399e+06 867613
461.625 4.2424e+06 1.31824e+06
471.75 1.89387e+06 276346
484 4.59043e+06 835054
492.875 1.75786e+06 711361
501.5 2.51911e+06 1.40742e+06
511 5.78591e+06 1.01463e+06
522.375 3.53251e+06 623012
531.375 3.7532e+06 824337
541.875 4.91319e+06 765686
551.125 3.51366e+06 803338
561.25 4.94283e+06 821546
572.625 4.00516e+06 571194
581 4.0608e+06 616782
591.125 4.30089e+06 821565
601.875 2.7254e+06 354586
610.875 5.61258e+06 842396
620.875 4.77384e+06 529943
632.5 3.1963e+06 928022
641 3.79472e+06 798623
651.25 2.45647e+06 447205
660.5 4.16281e+06 933372
671.625 3.39574e+06 1.02074e+06
681.875 2.43553e+06 458757
693 4.10305e+06 1.14289e+06
703.25 1.62494e+06 699292
711 7.25401e+06 414600
721.5 2.81814e+06 553092
731.5 2.92736e+06 874646
741.375 2.21742e+06 555889
752.5 4.11851e+06 1.29665e+06
762.625 3.48869e+06 1.07184e+06
773.125 2.31349e+06 1.01291e+06
782.375 3.78882e+06 1.50141e+06
791.375 1.70296e+06 603998
801.625 8.22489e+06 1.57085e+06
811.375 1.4982e+06 524933
820.625 5.85061e+06 1.53122e+06
830.625 3.6538e+06 1.31299e+06
841.5 634723 332699
852.25 3.36607e+06 953079
862.875 3.97655e+06 796723
871.75 2.54818e+06 437631
882.125 2.4181e+06 536524
890.75 4.99974e+06 687752
902.875 3.18036e+06 252218
910.5 3.82739e+06 631216
920.875 4.06286e+06 804250
934.125 3.09841e+06 455972
941.75 2.45441e+06 654004
950.625 3.6538e+06 608523
961.125 2.29985e+06 348699
970.25 5.21279e+06 747129
980.75 3.35474e+06 605745
990 6.67208e+06 958888
1000.38 3.51881e+06 377497
1010.12 4.70583e+06 483295
1020.25 4.82433e+06 451721
1031.62 3.13756e+06 375860
1040.88 3.17054e+06 361895
1051.12 2.21305e+06 536992
1060.5 5.18418e+06 1.27606e+06
1070.12 4.38538e+06 538181
1084.5 2.07316e+06 567030
1092.25 2.60073e+06 484352
1100.88 7.48692e+06 1.3278e+06
1113.62 1.8485e+06 768221
1121.12 4.90834e+06 757756
1132.62 3.10199e+06 877415
1141.5 310147 258336
1150.62 3.92479e+06 882471
1162.25 4.05359e+06 1.50031e+06
1171 4.03789e+06 648955
1180.5 3.68392e+06 1.13461e+06
1191.88 3.14581e+06 504549
1203.25 1.00155e+06 304266
1211.38 4.48636e+06 1.07686e+06
1223.62 1.94206e+06 207029
1233 2.72462e+06 1.26457e+06
1243.75 581144 335951
1251.25 759401 219963
1260.5 6.72851e+06 833521
1270.75 3.46214e+06 429406
1281.88 3.47244e+06 476610
1292.12 2.62648e+06 656946
1300.62 1.20144e+06 517245
1311.75 7.73006e+06 1.07773e+06
1321.12 2.30197e+06 628976
1332.38 1.5954e+06 389010
1342.62 303614 277422
1351.12 4.62336e+06 923969
1360.38 3.81145e+06 1.36899e+06
1370.88 3.91036e+06 795253
1382.75 2.55539e+06 1.09242e+06
1392.12 5.26946e+06 842118
1401.5 3.71229e+06 693966
1410.62 2.90391e+06 386302
1424.25 3.93097e+06 467426
1431.38 970633 397496
1440.62 4.86864e+06 1.19583e+06
1450.5 3.254e+06 534510
1461.88 2.74807e+06 406625
1470.38 1.35394e+06 491549
1480.38 8.62604e+06 1.43921e+06
1490.88 2.65534e+06 456976
1500.5 5.99486e+06 787820
1511.5 3.20145e+06 475753
1521.88 5.44154e+06 904246
1531 2.73571e+06 687255
1540.75 4.22155e+06 766479
1553.38 2.74601e+06 1.00402e+06
1563.38 2.49253e+06 409371
1571.75 5.80557e+06 1.51202e+06
1583.62 3.49718e+06 701093
1593.38 2.79929e+06 535771
1600.62 4.17318e+06 945766
1611.12 1.84847e+06 403731
1621.88 3.84545e+06 680373
1630.88 2.81917e+06 873367
1642.75 2.43689e+06 352963
1651 4.59224e+06 705241
1663.75 4.23003e+06 628110
1671.12 3.81248e+06 447400
1680.75 3.6744e+06 579795
1691.12 4.49151e+06 389547
1703.62 3.31479e+06 427472
1711.75 2.62624e+06 941002
1720.5 3.35728e+06 807811
1732.12 3.288e+06 506924
1741.25 5.36838e+06 682370
1750.5 5.21691e+06 694620
1760.88 6.00723e+06 824366
1771.75 4.52242e+06 1.29284e+06
1780.75 3.24988e+06 696553
1790 3.25091e+06 816830
1801.88 4.28749e+06 1.16823e+06
1810.5 4.14736e+06 733376
1822.25 2.45108e+06 751261
1831.62 4.50466e+06 1.45816e+06
1841.75 3.7272e+06 1.40232e+06
1852.12 4.39387e+06 923173
1861.38 2.12365e+06 1.00219e+06
1872 3.86915e+06 557417
1881.62 3.17981e+06 859126
1891.62 2.37198e+06 367310
1902.75 1.73519e+06 632843
1912.12 3.94516e+06 1.72984e+06
1922.62 3.63446e+06 987761
1932.62 268932 244967
1943.62 4.06056e+06 980459
1951.5 3.97243e+06 1.87437e+06
1962.12 2.77899e+06 646162
1970.62 2.35858e+06 567077
1981.5 3.31376e+06 902553
1990.62 5.68780e+06 1.49939e+06
2001.12 4.63886e+06 1.26153e+06
2013.12 3.3014e+06 752800
2020.88 4.7419e+06 1.87867e+06
2030.62 5.26122e+06 1.98789e+06
2040.75 4.75838e+06 1.17816e+06
2051.38 3.86503e+06 1.0289e+06
2060 3.82999e+06 998470
2071.5 4.36992e+06 876860
2080.12 2.77178e+06 493530
2090.62 3.0541e+06 585186
2100.75 4.34519e+06 650822
2110.75 4.33828e+06 816935
2120 2.9621e+06 352820
2130.5 4.11335e+06 631046
2142 1.90418e+06 544240
2151.38 2.82693e+06 635604
2161.25 4.11899e+06 772892
2170.5 1.68882e+06 403171
2180.62 3.50542e+06 423663
2191.62 1.64039e+06 559810
2200.62 4.81506e+06 667983
2212 2.17414e+06 378054
2221.5 2.11644e+06 430541
2231.5 5.27952e+06 461689
2241.12 2.29082e+06 688437
2250.62 3.19424e+06 296390
2263.38 2.95725e+06 371407
2273.25 21637 14123.5
2280.5 7.25504e+06 660031
2290.62 2.21124e+06 517357
2302.5 1.85987e+06 404641
2313.38 1.74113e+06 416893
2322.75 2.76353e+06 694399
2330.75 4.62443e+06 1.19138e+06
2342 4.45981e+06 898412
2350.5 5.8063e+06 980048
2361.88 3.50336e+06 508249
2370.75 3.76587e+06 540932
2383.12 3.07598e+06 528981
2390.5 4.42350e+06 843768
2401.12 2.48896e+06 575251
2410.5 3.62646e+06 802501
2420.12 3.78569e+06 739669
2430.38 1.7455e+06 618281
2440.62 2.09122e+06 1.13609e+06
2450.75 3.24909e+06 782665
2461.12 4.61128e+06 833403
2470.75 2.46368e+06 377051
2481.12 3.61876e+06 838453
2490.88 4.72438e+06 756286
2501.62 1.79186e+06 202677
2510.75 5.06235e+06 504274
2523.25 4.0451e+06 536880
