# TimeStamp(s) Sum Stdev
1 183408 21991.6
11.125 121583 20595.2
21.5 164860 32811.9
31 167952 34266
41.625 193712 46744.3
51.125 190622 50970.1
61.125 198863 67543.2
71.75 211228 56228.2
81.625 148375 57351.2
92.125 136010 55392.4
102.75 128797 55276.2
111.75 177226 72962.1
121.75 148376 54484
131.625 162802 65326.7
141.625 166921 63864.6
151.5 164862 82315.3
161.5 174136 66417.7
172 124677 58767.2
181.5 117464 70048.3
191.375 155588 63508.3
201.5 220504 77885.1
211.5 138072 76648.2
221.5 165893 102020
231.375 124675 37163.8
241 143225 62505.8
251.125 206078 92816
261.25 175167 104592
271.125 142194 70651.5
281.5 149407 85024.2
291.75 118495 55678.3
301.5 164862 85205.6
311.375 142194 81859.9
321.625 121586 84903.3
331.5 142194 66709.4
340.875 152498 78675.1
351.5 174137 142146
361.625 156619 69824.4
371.375 152497 68674.4
381.875 167955 78796
391 156620 97490.9
401.25 127768 80634.3
412.125 167954 111359
422.75 188562 136615
431.75 175167 114553
441.625 146316 83668.9
451.125 153528 93827.4
461.875 214321 123227
472 162802 93178.2
481.875 189593 120244
492 176197 107862
502.5 125707 76551.5
512.5 175167 110927
522.75 131891 83303.1
532.75 123647 113466
542.75 115403 78337.3
552 134982 99089.1
561.125 154558 47325.6
571 188561 85311.3
582.125 180318 92338.8
592.125 123647 58233.2
601.75 128800 100282
612 151468 102853
621.75 186501 95876.2
631.875 156619 106475
641.875 128799 119383
651.875 144255 88445.9
662.375 138073 84564.7
672 141164 104669
681.625 131890 99357
692.125 124677 75288.6
701.625 137042 86907.1
711.625 190623 103876
721.75 5150 2027.56
731.375 8242 5828.33
741.625 0 0
751.625 0 0
762 1030 963.477
772.375 0 0
782 0 0
792 1030 963.477
801.875 0 0
811.875 1030 963.477
822.125 0 0
832.25 0 0
842.5 0 0
852.875 0 0
862.25 0 0
872 0 0
882.25 0 0
891.75 0 0
902 0 0
912.375 0 0
922.375 0 0
932.75 0 0
941.75 0 0
952 0 0
961 17516 15313.3
971.625 306027 165855
981.75 263782 163421
991.625 161772 102667
1001.75 258629 174189
1011.88 244204 117835
1021.88 291601 242167
1032.12 286450 194086
1042.25 368880 145434
1051.62 354455 168910
1061.38 222565 141679
1071.5 361669 223681
1081.5 123647 60275.9
1091.88 221534 193240
1102 477075 289821
1112.38 71097 65411
1121.75 254508 236971
1131.88 247295 187900
1142 196806 112133
1152.25 205049 131693
1162.25 130860 98664.9
1172 1.29109e+06 976784
1181.38 380760 136071
1191.38 301363 165308
1201 360638 323193
1211 316332 239372
1221.62 155588 93618
1231.12 318392 143058
1241.62 167953 94087
1252 198865 134730
1261.75 155589 93618.2
1271.88 142193 71695.6
1281.75 140130 41421.6
1291.38 145284 74629.6
1301.88 171046 99600.2
1311.88 186501 114712
1321.75 160741 89863.3
1332.38 154559 140223
1342.12 24728 19926.7
1351.5 121587 113734
1361.75 118495 91721.8
1372.62 36063 32646.7
1382.12 94796 66314.6
1391.88 62854 57701.3
1402.12 121586 65860.5
1412.75 100978 87973.4
1422.88 9273 5725.14
1433 9273 8674.1
1442.88 8243 7710.62
1452.75 0 0
1461.5 0 0
1471.5 0 0
1482.5 7212 6746.21
1491.62 0 0
1501.12 0 0
1511.12 0 0
1521.25 8243 7710.62
1531.62 2060 1926.95
1541.88 0 0
1551.88 0 0
1562.5 14425 13493.4
1571.88 14425 13493.4
1581.75 505926 473250
1591.75 0 0
