# TimeStamp(s) Sum Stdev
0 4.58528e+06 0
10 4.54303e+06 0
20 5.20924e+06 0
30 6.71932e+06 0
40 5.51078e+06 0
50 5.08274e+06 0
60 4.72937e+06 0
70 3.8946e+06 0
80 5.03922e+06 0
90 4.57786e+06 0
100 5.14396e+06 0
110 5.1781e+06 0
120 4.22139e+06 0
130 4.87803e+06 0
140 5.83208e+06 0
150 5.15548e+06 0
160 4.76075e+06 0
170 5.7457e+06 0
180 6.66246e+06 0
190 5.18497e+06 0
200 5.35935e+06 0
210 5.68849e+06 0
220 4.90564e+06 0
230 4.41845e+06 0
240 4.14333e+06 0
250 5.02918e+06 0
260 3.97025e+06 0
270 4.17986e+06 0
280 4.87984e+06 0
290 4.38651e+06 0
