# TimeStamp(s) Sum Stdev
0 4.98817e+06 0
10 5.44978e+06 0
20 6.32253e+06 0
30 3.51469e+06 0
40 4.70687e+06 0
50 5.74963e+06 0
60 5.63629e+06 0
70 5.40857e+06 0
80 5.64556e+06 0
90 4.90676e+06 0
100 7.16952e+06 0
110 5.25504e+06 0
120 6.33387e+06 0
130 6.0773e+06 0
140 5.83412e+06 0
150 6.49358e+06 0
160 5.09327e+06 0
170 4.63886e+06 0
180 5.41475e+06 0
190 5.33438e+06 0
200 4.50697e+06 0
210 4.73984e+06 0
220 5.90934e+06 0
231 5.80321e+06 0
240 4.53479e+06 0
250 5.48894e+06 0
260 5.13654e+06 0
270 5.28183e+06 0
280 4.59661e+06 0
290 5.82691e+06 0
