# TimeStamp(s) Sum Stdev
0 3.53582e+07 0
10 3.72253e+07 0
20 3.79208e+07 0
30 3.63824e+07 0
40 3.79301e+07 0
50 3.47461e+07 0
60 3.54705e+07 0
70 3.66039e+07 0
80 3.69388e+07 0
90 3.64607e+07 0
100 3.61887e+07 0
110 3.63999e+07 0
120 3.64906e+07 0
130 3.72334e+07 0
140 3.45843e+07 0
150 3.6641e+07 0
160 3.67286e+07 0
170 3.59486e+07 0
180 3.69151e+07 0
190 3.78878e+07 0
200 3.69481e+07 0
210 3.69852e+07 0
220 3.57312e+07 0
230 3.63412e+07 0
240 3.63814e+07 0
250 3.84514e+07 0
260 3.65503e+07 0
270 3.63443e+07 0
280 3.75457e+07 0
290 3.71181e+07 0
300 3.79002e+07 0
310 3.84834e+07 0
320 3.83927e+07 0
330 3.71284e+07 0
340 3.83371e+07 0
350 3.88028e+07 0
360 3.86926e+07 0
370 3.68471e+07 0
380 3.55076e+07 0
390 3.83144e+07 0
400 3.68152e+07 0
410 3.78961e+07 0
420 3.60833e+07 0
430 3.7481e+07 0
440 3.71418e+07 0
450 3.79525e+07 0
460 3.80496e+07 0
470 3.7825e+07 0
480 3.7386e+07 0
490 3.68626e+07 0
500 3.51943e+07 0
510 3.54128e+07 0
520 3.70552e+07 0
530 3.71717e+07 0
540 3.75928e+07 0
550 3.66719e+07 0
560 3.74746e+07 0
570 3.69285e+07 0
580 3.55169e+07 0
590 3.61578e+07 0
600 3.7928e+07 0
610 3.54507e+07 0
620 3.81199e+07 0
630 3.56487e+07 0
640 3.48595e+07 0
650 3.60011e+07 0
660 3.5082e+07 0
670 3.681e+07 0
680 3.59991e+07 0
690 3.44885e+07 0
700 3.66091e+07 0
710 3.5758e+07 0
720 3.69615e+07 0
730 3.61639e+07 0
740 3.73128e+07 0
750 3.75962e+07 0
760 3.63515e+07 0
770 3.65194e+07 0
780 3.42629e+07 0
790 3.64494e+07 0
800 3.5351e+07 0
810 3.57394e+07 0
820 3.47441e+07 0
830 3.38589e+07 0
840 3.48667e+07 0
