# TimeStamp(s) Sum Stdev
0 1.17888e+07 0
10 1.31131e+07 0
20 1.38555e+07 0
30 1.27533e+07 0
40 1.32811e+07 0
50 1.18545e+07 0
60 1.15866e+07 0
70 1.18115e+07 0
80 1.17185e+07 0
90 1.13948e+07 0
100 1.06683e+07 0
110 1.20604e+07 0
120 1.18499e+07 0
130 1.32613e+07 0
140 1.26117e+07 0
150 1.24214e+07 0
160 1.22009e+07 0
170 1.31498e+07 0
180 1.08237e+07 0
190 1.06938e+07 0
200 1.16308e+07 0
210 1.21193e+07 0
220 1.08829e+07 0
230 1.16862e+07 0
240 1.11462e+07 0
250 1.20043e+07 0
260 1.06393e+07 0
270 1.29327e+07 0
280 1.11832e+07 0
290 1.16411e+07 0
300 1.23372e+07 0
310 1.20525e+07 0
320 1.23193e+07 0
330 1.29451e+07 0
340 1.21519e+07 0
350 1.20103e+07 0
360 1.22466e+07 0
370 9.86874e+06 0
380 1.03569e+07 0
390 1.02005e+07 0
400 1.21542e+07 0
410 1.18278e+07 0
420 1.31505e+07 0
430 1.19808e+07 0
440 1.21503e+07 0
450 1.18018e+07 0
460 1.26281e+07 0
470 1.10609e+07 0
480 1.27526e+07 0
490 1.14228e+07 0
500 1.19421e+07 0
510 1.14051e+07 0
520 1.16761e+07 0
530 1.26229e+07 0
540 1.23435e+07 0
550 1.16998e+07 0
560 1.10945e+07 0
570 1.33019e+07 0
580 1.24772e+07 0
590 1.18672e+07 0
600 1.11423e+07 0
610 1.13054e+07 0
620 1.04553e+07 0
630 1.13031e+07 0
640 1.20701e+07 0
650 1.11155e+07 0
660 1.10428e+07 0
670 1.14135e+07 0
680 1.18414e+07 0
690 1.17169e+07 0
700 1.09483e+07 0
710 1.10785e+07 0
720 1.21722e+07 0
730 1.16065e+07 0
740 1.11193e+07 0
750 1.15125e+07 0
760 1.10084e+07 0
770 1.15135e+07 0
780 1.13196e+07 0
790 1.03718e+07 0
800 1.14859e+07 0
810 1.16906e+07 0
820 1.16893e+07 0
830 1.05859e+07 0
840 1.09023e+07 0
850 1.18575e+07 0
860 1.16008e+07 0
870 1.23727e+07 0
880 1.22599e+07 0
890 1.12945e+07 0
900 1.10041e+07 0
910 1.1986e+07 0
920 1.09469e+07 0
930 1.12547e+07 0
940 1.09878e+07 0
950 1.10582e+07 0
960 1.08341e+07 0
970 1.18261e+07 0
980 1.20494e+07 0
990 1.16929e+07 0
1000 1.15349e+07 0
1010 1.09961e+07 0
1020 1.18262e+07 0
1030 1.18275e+07 0
1040 1.20485e+07 0
1050 1.09602e+07 0
1060 1.14e+07 0
1070 1.19162e+07 0
1080 9.61791e+06 0
1090 1.22165e+07 0
1100 1.29817e+07 0
1110 1.22501e+07 0
1120 1.2416e+07 0
1130 1.30135e+07 0
1140 1.32969e+07 0
1150 1.2015e+07 0
1160 1.13092e+07 0
1170 9.83164e+06 0
1180 1.22482e+07 0
1190 1.29993e+07 0
1200 1.15277e+07 0
1210 1.21428e+07 0
1220 1.23347e+07 0
1230 1.27752e+07 0
1240 1.21331e+07 0
1250 1.08426e+07 0
1260 1.00567e+07 0
1270 1.00501e+07 0
1280 1.11387e+07 0
1290 1.23202e+07 0
1300 1.21381e+07 0
1310 1.23289e+07 0
1320 1.139e+07 0
1330 1.12735e+07 0
1340 1.23471e+07 0
1350 1.01217e+07 0
1360 1.25649e+07 0
1370 1.10217e+07 0
1380 1.0574e+07 0
1390 1.21231e+07 0
1400 1.31536e+07 0
1410 1.26582e+07 0
1420 1.28035e+07 0
1430 1.2354e+07 0
1440 1.2168e+07 0
1450 1.27432e+07 0
1460 1.1699e+07 0
1470 1.23306e+07 0
1480 1.24081e+07 0
1490 1.31629e+07 0
1500 1.20918e+07 0
1510 1.18628e+07 0
1520 1.12971e+07 0
1530 1.15599e+07 0
1540 1.30475e+07 0
1550 1.25019e+07 0
1560 1.28182e+07 0
1570 1.32453e+07 0
1580 1.35255e+07 0
1590 1.30241e+07 0
1600 1.27677e+07 0
1610 1.27533e+07 0
1620 1.2557e+07 0
1630 1.36539e+07 0
1640 1.20588e+07 0
1650 1.16845e+07 0
1660 1.30078e+07 0
1670 1.38517e+07 0
1680 1.1668e+07 0
1690 1.15331e+07 0
1700 1.19073e+07 0
1710 1.23844e+07 0
1720 1.31766e+07 0
1730 1.2667e+07 0
1740 1.197e+07 0
1750 1.24689e+07 0
1760 1.09589e+07 0
1770 1.22332e+07 0
1780 1.19398e+07 0
1790 1.22502e+07 0
1800 1.10562e+07 0
1810 1.16042e+07 0
1820 1.18628e+07 0
1830 1.30624e+07 0
1840 1.18556e+07 0
1850 1.11003e+07 0
1860 1.2072e+07 0
1870 1.18978e+07 0
1880 1.19073e+07 0
1890 1.22412e+07 0
1900 1.33259e+07 0
1910 1.21851e+07 0
1920 1.21477e+07 0
1930 1.299e+07 0
1940 1.33184e+07 0
1950 1.33724e+07 0
1960 1.20047e+07 0
1970 1.18388e+07 0
1980 1.14112e+07 0
1990 1.2081e+07 0
2000 1.21415e+07 0
2010 1.11093e+07 0
2020 1.19491e+07 0
2030 1.12181e+07 0
2040 1.04799e+07 0
2050 1.22737e+07 0
2060 1.14914e+07 0
2070 1.09063e+07 0
2080 1.0956e+07 0
2090 1.23616e+07 0
2100 1.13553e+07 0
2110 1.14e+07 0
2120 1.09019e+07 0
2130 1.09623e+07 0
2140 1.23088e+07 0
2150 1.27969e+07 0
2160 1.23613e+07 0
2170 1.35864e+07 0
2180 1.30121e+07 0
2190 1.14539e+07 0
2200 1.28648e+07 0
2210 1.25329e+07 0
2220 1.1781e+07 0
2230 1.18262e+07 0
2240 1.14363e+07 0
2250 1.12966e+07 0
2260 1.16073e+07 0
2270 1.23839e+07 0
2280 1.07786e+07 0
2290 1.01508e+07 0
2300 1.05166e+07 0
2310 1.13594e+07 0
2320 1.1604e+07 0
2330 1.23032e+07 0
2340 1.30774e+07 0
2350 1.24219e+07 0
2360 1.32864e+07 0
2370 1.27487e+07 0
2380 1.15392e+07 0
2390 1.2202e+07 0
2400 1.12083e+07 0
2410 1.0989e+07 0
2420 1.10045e+07 0
2430 1.21946e+07 0
2440 1.28056e+07 0
2450 1.187e+07 0
2460 1.31065e+07 0
2470 1.19501e+07 0
2480 1.23481e+07 0
2490 1.24738e+07 0
2500 1.24274e+07 0
2510 1.15648e+07 0
2520 1.12644e+07 0
2530 1.14854e+07 0
2540 1.23831e+07 0
2550 1.19069e+07 0
2560 1.11572e+07 0
2570 1.16348e+07 0
2580 1.18795e+07 0
2590 1.17296e+07 0
2600 1.13661e+07 0
2610 1.25212e+07 0
2620 1.17247e+07 0
2630 1.19019e+07 0
2640 1.22665e+07 0
2650 1.13175e+07 0
2660 1.2224e+07 0
2670 1.23211e+07 0
2680 1.16699e+07 0
2690 1.31186e+07 0
2700 1.23571e+07 0
2710 1.0964e+07 0
2720 1.11132e+07 0
2730 1.19217e+07 0
2740 1.08516e+07 0
2750 1.23701e+07 0
2760 1.30623e+07 0
2770 1.35962e+07 0
2780 1.32252e+07 0
2790 1.36487e+07 0
2800 1.20143e+07 0
2810 1.22401e+07 0
2820 1.13497e+07 0
2830 1.15753e+07 0
2840 1.17979e+07 0
2850 1.06879e+07 0
2860 1.10325e+07 0
2870 1.08826e+07 0
2880 1.08172e+07 0
2890 1.15032e+07 0
2900 1.10413e+07 0
2910 1.10413e+07 0
2920 1.18012e+07 0
2930 1.09055e+07 0
2940 1.16297e+07 0
2950 1.1241e+07 0
2960 1.16286e+07 0
2970 1.31508e+07 0
2980 1.16884e+07 0
2990 1.21727e+07 0
3000 1.16464e+07 0
3010 1.09269e+07 0
3020 1.31497e+07 0
3030 1.30591e+07 0
3040 1.20861e+07 0
3050 1.15689e+07 0
3060 1.04414e+07 0
3070 1.09445e+07 0
3080 1.25037e+07 0
3090 1.10856e+07 0
3100 1.16797e+07 0
3110 1.33025e+07 0
3120 1.25717e+07 0
3130 1.31124e+07 0
3140 1.25797e+07 0
3150 1.26922e+07 0
3160 1.31436e+07 0
3170 1.46353e+07 0
3180 1.30332e+07 0
3190 1.27678e+07 0
3200 1.28607e+07 0
3210 1.19357e+07 0
3220 1.23491e+07 0
3230 1.29137e+07 0
3240 1.21989e+07 0
3250 1.21809e+07 0
3260 1.26755e+07 0
3270 1.18458e+07 0
3280 1.1909e+07 0
3290 1.12402e+07 0
3300 1.23877e+07 0
3310 1.171e+07 0
3320 1.14811e+07 0
3330 1.14481e+07 0
3340 1.12958e+07 0
3350 1.20284e+07 0
3360 1.23448e+07 0
