# TimeStamp(s) Sum Stdev
0 1.06667e+07 0
10 1.01721e+07 0
20 1.01154e+07 0
30 1.08419e+07 0
40 1.02607e+07 0
50 9.46628e+06 0
60 1.0508e+07 0
70 9.86505e+06 0
80 1.01371e+07 0
90 9.68164e+06 0
100 9.52193e+06 0
110 1.04349e+07 0
120 9.36221e+06 0
130 8.91193e+06 0
140 9.18396e+06 0
150 1.01742e+07 0
160 9.73934e+06 0
170 9.76201e+06 0
180 1.10067e+07 0
190 9.66927e+06 0
200 8.8635e+06 0
210 8.87174e+06 0
220 9.64454e+06 0
230 1.00526e+07 0
240 1.05544e+07 0
250 8.8738e+06 0
260 9.72904e+06 0
270 9.76201e+06 0
280 9.29215e+06 0
290 1.03699e+07 0
300 1.02422e+07 0
310 9.26948e+06 0
320 9.30039e+06 0
330 9.33027e+06 0
340 9.12007e+06 0
350 9.28287e+06 0
360 9.98664e+06 0
370 1.01123e+07 0
380 9.4735e+06 0
390 9.38385e+06 0
400 9.92275e+06 0
410 9.31482e+06 0
420 1.02958e+07 0
430 9.93924e+06 0
440 8.59250e+06 0
450 9.54872e+06 0
460 9.54253e+06 0
470 1.00083e+07 0
480 9.17777e+06 0
490 9.77746e+06 0
500 9.03042e+06 0
510 1.00258e+07 0
520 9.98561e+06 0
530 8.85526e+06 0
540 9.38282e+06 0
550 9.76819e+06 0
560 9.46938e+06 0
570 1.05297e+07 0
580 9.7754e+06 0
590 1.01731e+07 0
600 1.01237e+07 0
610 9.69297e+06 0
620 9.5652e+06 0
630 9.77334e+06 0
640 8.13501e+06 0
650 8.08658e+06 0
660 8.09894e+06 0
670 8.35448e+06 0
680 8.42764e+06 0
690 8.40703e+06 0
700 7.72491e+06 0
710 8.00724e+06 0
720 7.58786e+06 0
730 8.19271e+06 0
740 7.79292e+06 0
750 8.02682e+06 0
760 7.83104e+06 0
770 8.66978e+06 0
780 9.14789e+06 0
790 7.32614e+06 0
800 8.09688e+06 0
810 8.35448e+06 0
820 8.15149e+06 0
830 9.11492e+06 0
840 7.65896e+06 0
850 8.29266e+06 0
860 7.59199e+06 0
870 8.29472e+06 0
880 9.40961e+06 0
890 1.0541e+07 0
900 1.05327e+07 0
910 9.7177e+06 0
920 1.0913e+07 0
930 1.06121e+07 0
940 9.56211e+06 0
950 9.6837e+06 0
960 1.07677e+07 0
970 1.07986e+07 0
980 9.70018e+06 0
990 1.07749e+07 0
1000 1.04091e+07 0
1010 1.06585e+07 0
1020 1.01639e+07 0
1030 1.04699e+07 0
1040 9.9413e+06 0
1050 1.13519e+07 0
1060 9.58272e+06 0
1070 1.09614e+07 0
1080 1.14354e+07 0
1090 1.04431e+07 0
1100 9.72182e+06 0
1110 1.0744e+07 0
1120 1.07131e+07 0
1130 9.61981e+06 0
1140 9.48586e+06 0
1150 9.64454e+06 0
1160 1.06162e+07 0
1170 1.11798e+07 0
1180 1.10253e+07 0
1190 1.06811e+07 0
1200 1.08171e+07 0
1210 9.92687e+06 0
1220 1.00237e+07 0
1230 9.61363e+06 0
1240 9.53326e+06 0
1250 1.05626e+07 0
1260 9.51265e+06 0
1270 9.56623e+06 0
1280 1.01721e+07 0
1290 1.12685e+07 0
1300 1.03236e+07 0
1310 1.09511e+07 0
1320 9.8465e+06 0
1330 1.14931e+07 0
1340 9.62806e+06 0
1350 9.75377e+06 0
1360 9.51059e+06 0
1370 1.08676e+07 0
1380 9.93202e+06 0
1390 1.03143e+07 0
1400 9.79189e+06 0
1410 9.95778e+06 0
1420 1.04204e+07 0
1430 9.4498e+06 0
1440 1.00969e+07 0
1450 1.02937e+07 0
1460 1.02669e+07 0
1470 1.02278e+07 0
1480 9.94233e+06 0
1490 1.08779e+07 0
1500 1.01165e+07 0
1510 9.64866e+06 0
1520 9.78262e+06 0
1530 1.08233e+07 0
1540 1.02381e+07 0
