# TimeStamp(s) Sum Stdev
0 6.70584e+06 54698.5
10.125 6.94489e+06 151851
20.375 4.00516e+06 497920
32.375 7.33311e+06 656632
40.125 9.0791e+06 138043
50 6.90574e+06 399146
60.625 3.29291e+06 398072
71 1.03846e+07 533115
80.625 4.9758e+06 550858
90.75 8.41321e+06 994227
102.75 5.30759e+06 647878
110 8.14119e+06 433990
121.5 4.73468e+06 338915
130 9.01909e+06 750493
140 7.05721e+06 611588
150.25 3.22721e+06 363621
160.5 1.02937e+07 608163
170.125 3.21691e+06 249972
180.375 1.06904e+07 876427
190.125 6.80888e+06 476346
200.25 3.90624e+06 407289
210 9.75582e+06 720884
220 5.66695e+06 500513
230 7.85189e+06 705726
243.125 5.40754e+06 398375
250.375 7.36633e+06 448179
261.25 4.14324e+06 525249
270.5 9.64557e+06 579717
280.25 6.64711e+06 378761
290.25 3.3014e+06 396946
300.25 9.90008e+06 561548
310.375 3.86194e+06 314550
320.125 9.80631e+06 626720
333.5 6.10718e+06 433460
340.375 6.67056e+06 540536
351 7.23674e+06 536324
360 5.73005e+06 797898
370.375 7.78055e+06 812808
383.25 6.26998e+06 502955
390.25 5.02865e+06 647070
401.875 6.82713e+06 897962
410.125 8.9552e+06 722737
420 6.92428e+06 469748
430.25 3.30243e+06 241997
440.125 1.08738e+07 842196
450.75 3.48663e+06 299251
460 1.06e+07 1.47541e+06
470 7.04896e+06 1.01452e+06
480.125 3.73108e+06 495043
490.375 9.37664e+06 1.22927e+06
500 7.52192e+06 1.11758e+06
510 6.38538e+06 877738
522.125 4.89337e+06 557395
530 8.5925e+06 864574
540.375 3.22103e+06 458218
550.125 9.62187e+06 891560
560.125 6.22052e+06 576888
570.375 2.78105e+06 262240
580.25 1.04194e+07 801993
590 3.39826e+06 392080
600.125 9.19632e+06 894540
610.625 6.26483e+06 522084
620 5.74139e+06 547991
632.375 6.49255e+06 540356
640.125 8.12058e+06 369750
650.125 6.85319e+06 349246
660.375 3.31376e+06 296698
670 1.05472e+07 417740
680 3.60330e+06 178229
690 1.04431e+07 557435
700.625 6.87173e+06 263331
710.125 5.42172e+06 686217
722.5 7.2151e+06 868751
730.125 8.52244e+06 294757
740 7.06854e+06 300690
750.375 3.41062e+06 358119
760 1.04019e+07 429737
771.875 6.8707e+06 746849
780 4.84676e+06 322786
790.25 8.77719e+06 1.14768e+06
800.375 3.45905e+06 516523
810 1.04225e+07 1.18371e+06
820.125 6.85422e+06 801013
830.25 4.54176e+06 567856
843.125 9.52938e+06 976853
850 7.05102e+06 724766
860 6.74912e+06 736796
872.25 5.08811e+06 557275
880 8.45958e+06 804180
892 4.86555e+06 500228
900 8.82228e+06 1.07888e+06
910 7.06442e+06 828485
920 3.15817e+06 362736
930.25 1.07254e+07 1.02258e+06
940.5 3.38256e+06 233310
950.125 1.0126e+07 897386
960.625 6.69863e+06 600282
970.125 4.13808e+06 598807
984 9.00466e+06 1.08707e+06
990 7.29214e+06 437800
1000 6.6368e+06 434545
1011.25 4.11954e+06 229596
1020 9.16334e+06 375586
1030.12 3.49305e+06 171039
1040.12 1.01752e+07 357432
1050.12 6.51934e+06 383280
1060.5 2.88615e+06 227867
1070.25 1.00382e+07 626327
1080.12 2.83051e+06 317797
1090 9.8228e+06 1.00799e+06
1100.12 6.64814e+06 618662
1110.25 3.47554e+06 227142
1120 1.01999e+07 855743
1130.25 4.61413e+06 607689
1140.12 8.90162e+06 628251
1153.25 5.61671e+06 464151
1160.12 7.6806e+06 415845
1171.62 4.43072e+06 379750
1180 8.79858e+06 754869
1190 6.58219e+06 625057
1200.5 2.79032e+06 278109
1210 1.04029e+07 745673
1220 3.46523e+06 270777
1230 1.02916e+07 714367
1243.88 5.97426e+06 445700
1250 7.57241e+06 433932
1260 6.84288e+06 419826
1271.62 4.5997e+06 353807
1280 9.02321e+06 817100
1292 4.95107e+06 420443
1300 8.7213e+06 704693
1310 7.0469e+06 593182
1320.5 3.36734e+06 232195
1330.12 1.04915e+07 722411
1340.5 3.51366e+06 391358
1350 9.97633e+06 641486
1360 6.55643e+06 307605
1370 4.03092e+06 178548
1380 9.2262e+06 803093
1390 4.29883e+06 399234
1400 9.2736e+06 1.08396e+06
1412.62 5.38075e+06 450423
1420 8.32975e+06 688438
1432.25 4.88306e+06 383785
1440 8.83155e+06 808613
1450 6.88822e+06 662184
1460.5 3.01289e+06 341372
1470.12 1.06729e+07 825447
1480.38 3.56621e+06 394921
1490.12 1.00701e+07 1.22058e+06
1500 7.0263e+06 816887
1510 3.63422e+06 318214
1520 9.66721e+06 871189
1530.38 2.97476e+06 430402
1540 1.01618e+07 1.14999e+06
1550.38 6.80991e+06 812830
1560.12 4.65225e+06 493080
1573.38 8.64402e+06 721293
1580.12 7.99075e+06 688875
1590.12 6.95829e+06 523389
1601.5 4.43175e+06 323650
1610 9.40549e+06 648621
1621 4.01856e+06 392990
1630 1.00062e+07 1.17578e+06
1640 7.01805e+06 825226
1650.75 3.33207e+06 420612
1660 1.05577e+07 888975
1670.38 4.39671e+06 479513
1680 9.76098e+06 1.16084e+06
1693.5 6.21125e+06 604915
1700 7.39209e+06 656910
1712 5.36117e+06 738986
1720 8.77385e+06 768698
1730.25 6.95726e+06 564119
1740 3.12211e+06 215266
1750.12 9.78673e+06 676591
1762.62 5.27255e+06 399205
1770.12 7.18394e+06 601519
1780.25 6.64402e+06 524813
1791.38 4.01237e+06 299900
1800 9.08091e+06 556120
1812.12 4.70686e+06 333458
1820 8.57293e+06 607989
1830 6.60177e+06 474575
1842 4.40908e+06 439384
1850 8.57808e+06 667499
1860.62 3.08168e+06 302256
1870.12 1.00992e+07 931139
1880.12 7.05618e+06 762364
1890.38 4.11335e+06 422466
1900 9.64042e+06 1.06029e+06
1910 4.1082e+06 490507
1920 9.30863e+06 930388
1933.5 6.16694e+06 589889
1940 5.70174e+06 827549
1950.12 7.91808e+06 960944
1960.25 2.64479e+06 347842
1970 1.0703e+07 1.07173e+06
1983 7.12212e+06 580864
1990.12 5.81660e+06 943793
2001.5 6.13809e+06 780129
2010 9.03146e+06 602873
2020 6.58838e+06 466983
2030 3.30346e+06 242649
2040 9.85474e+06 625883
2051 3.36219e+06 304418
2060.12 1.00722e+07 761483
2070 6.58631e+06 433293
2080.62 2.7728e+06 387214
2090 9.94851e+06 630611
2100.38 3.65689e+06 459743
2110.12 9.27566e+06 704181
2120 6.41218e+06 472255
2130.25 3.00361e+06 814202
2140 1.03895e+07 837731
2150 4.59558e+06 826100
2160 9.084e+06 1.05502e+06
2172.5 5.31171e+06 351643
2180 8.37818e+06 432201
2193 5.28389e+06 371642
2200 8.20404e+06 790119
2210.25 6.72954e+06 782325
2222.75 5.38693e+06 551440
2230 8.11337e+06 997630
2240.25 3.57833e+06 430057
2250 1.02084e+07 1.46659e+06
2260 6.72851e+06 627306
2270.12 4.63474e+06 278512
2281.12 6.55619e+06 813753
2290 9.09249e+06 1.14072e+06
2300 6.60486e+06 442907
2310.12 3.56518e+06 739661
2322.75 8.21126e+06 822723
2330 8.24114e+06 630274
2340 6.64917e+06 534221
2350.38 3.55694e+06 162104
2360.12 9.30039e+06 522931
2370.38 2.79856e+06 207763
2380 9.96602e+06 552245
2390.12 6.33799e+06 499291
2400.5 2.65122e+06 209189
2410 1.03267e+07 830527
2420.12 3.48996e+06 327547
2430 9.74552e+06 909456
2440.12 6.41733e+06 765112
2450.38 2.4235e+06 268177
2460 9.92378e+06 1.01423e+06
2470 4.12366e+06 700410
2480 9.12316e+06 825752
2492 4.61722e+06 374673
2500 8.1958e+06 633621
2513.88 5.38693e+06 477706
2520 5.95444e+06 563254
2530.12 7.40779e+06 696575
2542.12 4.74808e+06 341459
2550 7.12703e+06 933697
2562.75 5.93328e+06 962692
2570 7.32717e+06 607893
2580 6.16797e+06 586002
2593.25 5.20867e+06 440680
2600.25 6.17391e+06 1.01366e+06
2611.88 5.52524e+06 1.08615e+06
2620 7.83928e+06 900268
2630 6.01959e+06 704555
2641 3.61773e+06 352651
2650 9.11285e+06 772395
2660.12 3.37662e+06 250851
2670 9.97633e+06 894210
2680.25 6.66153e+06 723605
2690.38 3.40341e+06 364635
2700 1.00124e+07 660188
2710.25 3.37868e+06 264961
2720 9.55284e+06 800287
2730 6.49873e+06 442695
2740.75 2.7048e+06 329191
2750 1.01474e+07 514767
2760.25 4.42969e+06 288224
2770 9.06855e+06 732344
2783.5 5.51058e+06 473457
2790 7.78776e+06 338008
2802.62 6.62856e+06 520556
2810.12 6.6448e+06 601248
2820.12 6.6525e+06 786096
2833.25 5.31583e+06 433679
2840 7.5384e+06 653701
2852.38 4.79754e+06 308508
2860 7.73727e+06 607091
2870 5.559e+06 527851
2883 4.12984e+06 255019
2890 6.53376e+06 532509
2903 5.67647e+06 652929
2910 7.47349e+06 717949
2920.12 6.06287e+06 554346
2930.12 3.46935e+06 334293
2940 9.19013e+06 703067
2951.12 4.03504e+06 284170
2960 8.68833e+06 617952
2970 6.4637e+06 565094
2981 3.91036e+06 292231
2990 8.83156e+06 694170
3000.38 2.59557e+06 327082
3010 9.76613e+06 757579
3020.12 6.36169e+06 464224
3030.25 3.03556e+06 271321
3040.25 9.87844e+06 788265
3050.62 2.77899e+06 417042
3060 9.10152e+06 611079
3070.75 5.93613e+06 414232
3080.5 2.19063e+06 402357
3090 1.00598e+07 518223
3100.38 3.06956e+06 472458
3110 9.78776e+06 500371
3121.75 6.30089e+06 231416
3130 3.91837e+06 545671
3140 8.99151e+06 705527
3150.38 3.18599e+06 448890
3160 8.91502e+06 858756
3170 6.51316e+06 707605
3180.25 2.75528e+06 391717
3190 9.99076e+06 698005
3200.75 6.4637e+06 642111
3210.12 3.60949e+06 709080
3220 9.53944e+06 849657
3232.75 5.01289e+06 588335
3240 7.70945e+06 901719
3250.25 6.66772e+06 606965
3260.25 4.61928e+06 675168
3270.38 8.3926e+06 952388
3283.88 5.49306e+06 532069
3290 6.109e+06 850281
3302.62 6.04766e+06 635509
3310 7.68884e+06 606759
3320 6.66875e+06 330484
3333 5.0809e+06 316556
3340.62 6.89543e+06 439120
3353.75 6.0956e+06 326326
3360.62 4.84572e+06 374863
3370 7.61102e+06 723038
3380.62 6.59662e+06 557699
3390.12 3.00155e+06 521414
3400.75 7.89159e+06 664430
3410.62 4.96446e+06 834135
3420.12 8.41758e+06 1.49976e+06
3430 6.40393e+06 697951
3440.12 2.55951e+06 420229
3450.25 9.27463e+06 1.30345e+06
3460 3.12829e+06 401245
3470.88 8.81198e+06 1.14748e+06
3480.12 6.51213e+06 878572
3490.62 3.1355e+06 585786
3500 1.01968e+07 1.717e+06
3510.12 4.0268e+06 583454
3520 8.97066e+06 1.27161e+06
3533.62 6.10718e+06 652947
3540.12 6.22852e+06 558903
3553 6.17130e+06 876235
3560 7.66102e+06 666440
3570 6.96035e+06 626840
3580.38 3.09841e+06 256706
3590.12 1.01103e+07 803592
3600.25 6.37611e+06 808812
3610.25 2.38125e+06 280645
3620 1.02607e+07 1.07737e+06
3630.12 2.99949e+06 288767
3640.12 1.03658e+07 1.07429e+06
3650 6.64917e+06 749131
3660.12 3.05204e+06 668381
3673.12 1.02411e+07 1.14342e+06
3680 4.87173e+06 587679
3690 8.03815e+06 638794
3701.75 4.38332e+06 340290
3710 6.73263e+06 632478
3720 6.01856e+06 430181
3730.25 2.55951e+06 405457
3740 8.96217e+06 893234
3750.12 6.14245e+06 467699
3760.5 2.07007e+06 317361
3770.12 9.87947e+06 1.16918e+06
3780.12 3.10459e+06 375936
3790.38 9.15407e+06 1.21517e+06
3800.25 6.20300e+06 804152
3810 2.93046e+06 394620
3820 9.70121e+06 1.23648e+06
3830 3.50026e+06 382421
3840.12 9.10255e+06 1.15715e+06
3853.25 5.16642e+06 637593
3860 7.38978e+06 661282
3873.88 5.93534e+06 537742
3880.25 6.79342e+06 530913
3890 6.80064e+06 846484
3901.62 4.27822e+06 306103
3910 8.6399e+06 679643
3922.12 5.92377e+06 515612
3930.25 7.09327e+06 703305
3940.25 6.64814e+06 687637
3952.25 4.49151e+06 485480
3960 7.48173e+06 806454
3972.75 5.17466e+06 460266
3980 7.83722e+06 622740
3990 6.2061e+06 516602
4001.62 4.24422e+06 318557
4010.25 8.11646e+06 530383
4021.38 4.00104e+06 300615
4030 8.82022e+06 787984
4040 6.52037e+06 516857
4051.12 3.05307e+06 227029
4060.25 1.01175e+07 521397
4070.5 2.90469e+06 419070
4080 9.79189e+06 645961
4090 6.66566e+06 450178
4101 2.24421e+06 91720.1
4110.12 9.77437e+06 879511
4120.25 3.12005e+06 300039
4130 9.90111e+06 941754
4140.25 6.46679e+06 463573
4150 4.07729e+06 421847
4164.5 9.06133e+06 944821
4170 6.36581e+06 896759
4180 6.84082e+06 558185
4193.12 5.27977e+06 466299
4200 7.35602e+06 776410
4212.5 5.12727e+06 587530
4220 7.48998e+06 829582
4230.25 6.2535e+06 639456
4240.75 3.33025e+06 334101
4250 8.9109e+06 708793
4261.38 3.91243e+06 274032
4270.12 9.29008e+06 618135
4280 6.65329e+06 469732
4290.88 2.7759e+06 341894
4300 1.05389e+07 637668
4310.12 3.81248e+06 290533
4320 9.98045e+06 698629
4330 6.91707e+06 484028
4340.25 4.82845e+06 498368
4353.25 7.44052e+06 482544
4360 7.78879e+06 409533
4370 6.50594e+06 365252
4380 2.99537e+06 212227
4390 1.02288e+07 379298
4400.88 3.85576e+06 402035
4410.25 9.64042e+06 680596
4420.25 6.60692e+06 443599
4430 3.08192e+06 249222
4440.12 1.03565e+07 453057
4450.38 3.91836e+06 348512
4460 9.11104e+06 641682
4474.25 6.10718e+06 508144
4480.12 4.889e+06 695170
4492.25 8.06827e+06 577034
4500.12 4.85682e+06 601827
4510 8.67748e+06 847882
4523.12 5.02011e+06 534713
4530.12 6.69450e+06 747991
4543.5 6.14427e+06 612515
4550 6.59765e+06 603660
4560 6.50697e+06 701158
4573.62 5.80321e+06 500641
4580.38 4.47993e+06 743323
4592.25 7.08424e+06 560480
4600 7.56186e+06 866663
4610 6.57831e+06 686078
4621.25 3.80217e+06 422176
4630 9.29524e+06 850629
4640.38 3.70531e+06 416587
4650 9.79086e+06 964573
4660 6.30502e+06 796103
4671.12 3.1623e+06 350296
4680.38 9.5312e+06 1.01244e+06
4690.12 3.49924e+06 369461
4700 9.64557e+06 1.16002e+06
4710 6.59147e+06 801806
4720.75 3.20866e+06 846664
4730.25 1.04462e+07 961082
4740.25 5.26692e+06 545004
4750.38 8.47346e+06 1.22713e+06
4763.62 5.82897e+06 623841
4770.12 3.84648e+06 726173
4783 7.88359e+06 884733
4790 8.03299e+06 852540
4800 6.9552e+06 702265
4810.12 3.59712e+06 328635
4820.25 9.39724e+06 652156
4830 2.98300e+06 286556
4840 1.00907e+07 712430
4850 6.52449e+06 414828
4860 2.5523e+06 203618
4870.12 9.96809e+06 788127
4880.5 3.10562e+06 457191
4890 9.98869e+06 619187
4903.25 5.40238e+06 368670
4910.12 7.5858e+06 476779
4920.12 6.0773e+06 507844
4930.25 2.97682e+06 244634
4940.12 9.85989e+06 1.00337e+06
4950.25 6.12572e+06 570640
4960.62 3.04974e+06 531404
4970 1.01445e+07 1.15646e+06
4980 3.93303e+06 468251
4990 9.29936e+06 1.12121e+06
5003.5 6.18034e+06 632452
5010.38 6.10487e+06 545553
5022.25 6.04354e+06 675925
5030.12 8.56365e+06 647117
5040 6.74294e+06 740509
5051.62 4.36168e+06 540390
5060 9.33233e+06 1.11739e+06
5070.38 3.84751e+06 487399
5080 9.50338e+06 1.15119e+06
5090.38 6.3586e+06 849272
5100.38 1.90418e+06 347212
5110.25 9.64248e+06 1.03992e+06
5120.88 3.44772e+06 341918
5130 9.02527e+06 1.13411e+06
5140 6.51212e+06 775996
5150.25 3.31273e+06 372975
5160.12 9.9413e+06 1.0818e+06
5170.12 3.26328e+06 354519
5180 1.00268e+07 949196
5193.12 5.92376e+06 432198
5200.12 6.69838e+06 649519
5210.5 7.4387e+06 788721
5220 4.14839e+06 699053
5230 8.76046e+06 733398
5240.25 5.6435e+06 464174
5250.38 2.95621e+06 648445
5262.38 9.29214e+06 811351
5270 7.39518e+06 840777
5280 6.6028e+06 690305
5291.38 4.11850e+06 343635
5300.12 8.23083e+06 707269
5312.62 5.07987e+06 387556
5320 7.13449e+06 983009
5330 6.77076e+06 569667
5342 4.78826e+06 374690
5350 7.87534e+06 634909
5361.5 4.62855e+06 441613
5370 8.14634e+06 727007
5380 6.13191e+06 426659
5390.38 3.41577e+06 273931
5400 9.01291e+06 405313
5410.62 3.06647e+06 227940
5420.12 9.63939e+06 874485
5430 6.46473e+06 586856
5440.5 2.81917e+06 297477
5450.12 1.06677e+07 736936
5460.38 3.33928e+06 310805
5470 9.12237e+06 1.04074e+06
5480 6.3349e+06 631310
5490.62 3.26818e+06 461588
5503.12 9.84056e+06 977293
5510 7.18395e+06 646254
5520 6.73572e+06 540072
5533.12 5.79291e+06 538245
5540.12 7.36736e+06 447990
5551.38 4.35653e+06 494968
5560 8.69245e+06 892498
5570 6.36272e+06 631186
5580.5 2.87275e+06 328133
5590.25 1.04091e+07 868934
5600.12 3.0304e+06 341785
5610 1.00474e+07 694314
5623.38 6.10409e+06 541163
5630 6.64583e+06 454362
5641.75 7.05436e+06 689771
5650.12 6.2561e+06 481730
5660.12 7.37506e+06 580445
5672.25 4.91294e+06 410842
5680 8.46679e+06 415270
5690.62 3.34571e+06 122427
5700 1.00114e+07 550220
5710.12 6.78518e+06 396808
5720.25 4.15766e+06 532112
5730.25 9.41476e+06 761101
5740.62 3.82381e+06 361655
5750.12 9.62806e+06 771277
5764.12 6.43485e+06 579446
5770 7.07266e+06 505152
5780.12 6.40702e+06 442679
5792 5.0335e+06 458733
5800 8.69245e+06 505974
5813.62 5.99074e+06 470421
5820 7.32614e+06 535544
5830.12 6.7213e+06 487526
5842 4.64195e+06 345814
5850 8.9552e+06 519749
5861 4.24215e+06 221461
5870 9.22414e+06 567882
5880 6.75324e+06 358330
5890.25 3.47348e+06 231718
5900.12 9.97839e+06 627186
5910.38 3.39929e+06 364036
5920 9.92069e+06 526640
5933.38 5.78466e+06 333365
5940.12 7.33335e+06 474615
5953.38 5.8434e+06 483662
5960.25 7.68266e+06 580588
5970.25 6.74706e+06 550960
5982 4.35756e+06 320406
5990 8.81404e+06 509305
6000.62 3.49511e+06 237712
6010 9.98457e+06 581538
6020.25 6.6739e+06 515602
6031 2.96961e+06 476263
6040 1.03998e+07 837185
6050 3.97219e+06 225798
6060 9.42506e+06 696563
6073 5.21794e+06 418434
6080 7.92662e+06 548619
6093.12 5.74987e+06 470681
6100.12 7.84649e+06 395552
6110.25 6.79445e+06 292944
6120.75 3.81454e+06 227370
6130 9.58066e+06 417961
6140 3.19218e+06 124288
6150 1.05245e+07 347909
6160 6.8027e+06 358833
6170 3.63422e+06 275764
6180 9.78777e+06 656828
6190 4.19682e+06 219572
6200 9.30039e+06 875481
6213.38 5.96601e+06 515356
6220 7.55386e+06 606798
6232.5 6.59456e+06 448211
6240 6.99744e+06 553380
6250 6.69451e+06 678664
6263.25 5.63835e+06 531424
6270 7.57962e+06 940042
6281 3.67852e+06 497562
6290 1.00897e+07 955167
6300.12 6.69038e+06 874590
6310 2.96137e+06 325648
6320 1.05358e+07 1.17581e+06
6330 3.7692e+06 438938
6340 9.7888e+06 973459
6353.12 5.46112e+06 444508
6360 8.11130e+06 703727
6373.25 5.66204e+06 421843
6380 7.92068e+06 578950
6390 6.70378e+06 515292
6400.88 3.87224e+06 208761
6410.12 9.61569e+06 471369
6420 3.3197e+06 192244
6430 9.99409e+06 749050
6440 6.55231e+06 429056
6450.25 3.22103e+06 383380
6460 9.92996e+06 533898
6470.25 3.19915e+06 322279
6480 1.0058e+07 1.11929e+06
6490 6.60898e+06 763864
6500 3.21175e+06 193912
6510 1.01855e+07 637592
6520.5 3.57033e+06 599762
6530.12 9.92172e+06 650009
6543.75 6.51212e+06 492888
6550 4.57885e+06 693336
6564 8.51237e+06 579646
6570 5.4019e+06 555527
6580.12 7.94075e+06 736590
6592.12 4.99332e+06 425019
6600 8.49358e+06 495280
6610 6.60795e+06 275416
6623.88 6.17621e+06 385364
6630.12 4.86633e+06 841259
6642.62 7.49228e+06 664717
6650 7.82279e+06 717530
6660 6.64402e+06 527378
6670.25 3.59506e+06 370106
6680.12 8.98405e+06 633780
6691.5 4.5317e+06 332842
6700 8.84804e+06 615729
6710 6.61104e+06 308463
6720.12 3.0098e+06 291020
6730 1.05626e+07 469952
6740.5 3.27049e+06 435843
6750 9.96396e+06 585283
6763.25 5.6198e+06 310596
6770 7.47349e+06 381045
6782.62 5.43639e+06 460684
6790.12 8.13088e+06 233011
6800.12 6.45442e+06 218216
6810.38 3.38074e+06 98158.2
6820 9.31069e+06 172542
6831.25 4.00619e+06 139672
6840 8.92841e+06 538602
6850.12 6.19373e+06 364275
6860.62 3.6641e+06 275003
6870 9.30451e+06 668605
6880.5 2.93252e+06 272831
6890 1.0168e+07 659193
6903.38 6.34005e+06 456618
6910.38 6.39363e+06 614961
6924 7.32305e+06 433143
6930 6.05208e+06 768405
6940 7.17825e+06 521318
6953.62 6.06287e+06 425696
6960.12 4.72129e+06 1.05871e+06
6972.62 7.44258e+06 955795
6980.25 8.09173e+06 715284
