# TimeStamp(s) Sum Stdev
0.125 4.18342e+06 58397.8
10.75 4.1319e+06 93621.9
21.25 3.45081e+06 236157
33.625 1.48274e+06 234373
41.5 2.47478e+06 629487
50.625 7.31402e+06 580326
61 2.09995e+06 272360
71.125 3.21175e+06 419832
80.625 6.61516e+06 475878
91.25 4.16281e+06 270973
103 1.51675e+06 207814
110.75 4.23058e+06 731969
120.625 6.14967e+06 591862
133.125 1.45595e+06 253976
140.125 4.20609e+06 633876
151.125 5.63525e+06 636904
161 3.86297e+06 363391
171.25 2.16384e+06 287830
181.125 2.81505e+06 550716
191.875 5.35602e+06 740362
202.125 3.07986e+06 618190
210.75 5.05617e+06 586811
220.625 3.8269e+06 427644
232.875 1.43637e+06 196694
241.25 2.81893e+06 565227
251.25 7.56440e+06 1.60763e+06
263.25 2.0237e+06 429342
271.5 2.62315e+06 543764
280.875 6.85858e+06 873828
290.625 3.82587e+06 616920
302.5 2.68007e+06 256176
310.625 1.88357e+06 586391
321.625 7.24474e+06 912957
332.125 1.4905e+06 420366
340.5 4.53424e+06 755314
351.25 5.79497e+06 1.08061e+06
361.125 3.84957e+06 489035
373.5 1.45286e+06 303627
381.75 4.46163e+06 588695
391.875 4.85603e+06 1.05371e+06
402.125 2.16923e+06 773218
410.625 6.62238e+06 1.10576e+06
420.5 4.54715e+06 849075
430.75 3.91861e+06 580725
443.375 1.62185e+06 343424
451.875 5.16024e+06 729907
460.875 4.01340e+06 1.03903e+06
471.125 2.61206e+06 533571
480.625 7.23444e+06 1.25353e+06
490.25 4.19476e+06 666399
504 3.42917e+06 666280
510.625 1.20041e+06 318352
523.75 7.11594e+06 1.18379e+06
532.75 1.26714e+06 542480
541.25 6.82046e+06 1.13208e+06
550.75 3.80526e+06 648673
560.375 4.10202e+06 636043
570.75 530653 183509
580.625 6.82331e+06 747160
592.375 1.43328e+06 547092
600.375 4.59122e+06 599566
610.25 5.71999e+06 1.13551e+06
621.5 3.87739e+06 380779
631.75 2.64916e+06 315181
641.375 3.15817e+06 456164
651.5 5.26534e+06 325846
661.125 3.51057e+06 596977
670.25 6.18858e+06 618899
680.875 4.28955e+06 240752
691.375 2.53169e+06 348127
701.375 3.75374e+06 342818
711.875 5.4436e+06 594950
722.75 1.80732e+06 260997
730.75 6.80991e+06 1.06161e+06
740.75 4.1659e+06 620494
750.25 4.12778e+06 570986
761.5 514168 231805
770.625 7.97014e+06 1.05525e+06
783.75 3.39207e+06 467073
790.875 1.38073e+06 270719
800.875 7.39106e+06 960566
811 4.07832e+06 485584
823 3.06338e+06 370196
831.75 2.11129e+06 469044
840.75 7.25814e+06 830340
851.75 2.53787e+06 364300
861.5 3.86788e+06 597722
870.625 6.2218e+06 959195
880.125 3.94334e+06 490018
892.625 1.18805e+06 291618
900.625 6.16258e+06 769518
912.125 3.95079e+06 487491
921.75 1.57651e+06 297726
930.375 6.99744e+06 816721
940.375 3.92067e+06 544813
950.25 4.15766e+06 482489
960.5 276144 57922.9
970.5 7.1283e+06 1.07448e+06
981.375 2.97682e+06 537754
990.5 4.8944e+06 913581
1002.12 2.64194e+06 428922
1010.5 5.04999e+06 775602
1020.62 5.83103e+06 1.32973e+06
1030.5 3.94952e+06 784165
1042.75 1.00979e+06 270091
1051.12 5.26534e+06 884743
1061 5.63972e+06 1.16776e+06
1073.25 1.41061e+06 195023
1081 4.49024e+06 1.01207e+06
1090.75 6.27022e+06 1.00826e+06
1100.75 3.92479e+06 590843
1112.25 1.15817e+06 513279
1120.75 5.16181e+06 1.05939e+06
1131.12 5.83461e+06 1.01543e+06
1140.5 294691 90461.6
