# TimeStamp(s) Sum Stdev
0 837715 0
11 793408 0
20 574963 0
30 536838 0
40 639878 0
50 754252 0
60 635756 0
70 513139 0
80 533747 0
90 534777 0
100 541990 0
110 602784 0
120 635756 0
130 622361 0
140 655334 0
150 644000 0
160 663577 0
170 652243 0
180 599692 0
190 562598 0
200 590419 0
210 568780 0
220 562598 0
230 565689 0
240 477075 0
250 509017 0
260 522412 0
270 771769 0
280 777952 0
290 746009 0
300 523443 0
310 533747 0
320 664608 0
330 685216 0
340 535808 0
350 723340 0
360 842867 0
370 776921 0
380 824320 0
390 701702 0
400 818137 0
410 783104 0
420 706854 0
430 684185 0
440 627513 0
450 545081 0
460 706854 0
470 659456 0
480 771769 0
490 726432 0
500 806803 0
510 874809 0
520 773830 0
530 592480 0
540 607936 0
550 685216 0
560 763526 0
570 657395 0
580 631635 0
590 679033 0
600 790316 0
610 795468 0
620 754252 0
630 580115 0
640 757344 0
650 737766 0
660 812985 0
670 716128 0
680 701702 0
690 619270 0
700 637817 0
711 658425 0
720 680064 0
730 692428 0
740 835654 0
750 909843 0
760 769708 0
770 595571 0
780 618240 0
790 812985 0
800 870688 0
810 656364 0
820 591449 0
830 535808 0
840 787225 0
850 849049 0
860 753222 0
870 672851 0
880 688307 0
890 593510 0
900 668729 0
910 748070 0
920 768678 0
930 622361 0
940 540960 0
950 603814 0
960 701702 0
970 730553 0
980 722310 0
990 659456 0
1000 650182 0
1010 626483 0
1020 502835 0
1030 673881 0
1040 543020 0
1050 628544 0
1060 769708 0
1070 761465 0
1080 781043 0
1090 768678 0
1100 696550 0
1110 929420 0
1120 822259 0
1130 605875 0
1140 562598 0
1150 503865 0
1160 492531 0
1170 597632 0
1180 799590 0
1190 628544 0
1200 642969 0
1210 684185 0
1220 697580 0
1230 658425 0
1241 782073 0
1250 800620 0
1260 673881 0
1270 546112 0
1280 512108 0
1290 606905 0
1300 521382 0
1310 555385 0
1320 662547 0
1330 593510 0
1340 731584 0
1350 566720 0
1361 701702 0
1370 673881 0
1380 668729 0
1390 517260 0
1400 845958 0
1410 599692 0
1420 534777 0
1430 658425 0
1440 679033 0
1450 518291 0
1460 598662 0
1470 741888 0
1480 795468 0
1490 563628 0
1500 809894 0
1510 728492 0
1520 554355 0
1530 771769 0
1540 913964 0
1550 1.06852e+06 0
1560 803712 0
1570 631635 0
1580 657395 0
1590 838745 0
1600 773830 0
1610 873779 0
1620 709945 0
1630 854201 0
