# TimeStamp(s) Sum Stdev
0 3.25534e+07 0
10 2.64926e+07 0
20 2.86029e+07 0
30 2.88584e+07 0
40 2.85029e+07 0
50 2.04668e+07 0
60 2.51686e+07 0
70 2.72489e+07 0
80 2.57559e+07 0
90 2.31603e+07 0
100 2.8879e+07 0
110 2.92263e+07 0
120 2.32209e+07 0
130 1.73975e+07 0
140 2.49759e+07 0
150 2.01227e+07 0
160 1.9863e+07 0
170 1.94694e+07 0
180 2.44174e+07 0
190 2.60877e+07 0
200 2.40042e+07 0
210 2.83422e+07 0
220 2.65678e+07 0
230 2.54097e+07 0
240 2.86843e+07 0
250 2.60702e+07 0
260 2.30109e+07 0
270 2.25369e+07 0
280 2.53221e+07 0
290 2.46255e+07 0
300 2.63339e+07 0
310 1.96435e+07 0
320 2.45349e+07 0
330 2.35343e+07 0
340 2.60269e+07 0
350 2.41907e+07 0
360 2.73664e+07 0
370 2.53767e+07 0
380 1.94591e+07 0
390 2.15591e+07 0
400 2.26369e+07 0
410 2.0711e+07 0
420 2.05493e+07 0
430 2.3999e+07 0
440 2.5252e+07 0
450 2.06678e+07 0
460 2.39269e+07 0
470 2.51428e+07 0
480 2.21598e+07 0
490 2.54787e+07 0
500 2.84576e+07 0
510 2.84246e+07 0
520 1.92602e+07 0
530 2.36889e+07 0
540 2.0676e+07 0
550 1.83329e+07 0
560 2.4202e+07 0
570 2.42474e+07 0
580 2.57002e+07 0
590 2.00238e+07 0
600 2.63927e+07 0
610 2.63061e+07 0
620 2.41361e+07 0
630 2.29975e+07 0
640 2.04431e+07 0
650 2.10284e+07 0
660 2.21433e+07 0
670 2.24802e+07 0
680 2.15014e+07 0
690 2.24916e+07 0
700 2.41103e+07 0
710 1.91129e+07 0
720 2.21484e+07 0
730 2.90119e+07 0
740 2.25029e+07 0
750 1.98208e+07 0
760 2.26533e+07 0
770 2.12881e+07 0
780 2.20598e+07 0
790 2.2404e+07 0
800 2.61825e+07 0
810 2.58703e+07 0
820 2.70439e+07 0
830 2.59589e+07 0
840 2.53509e+07 0
850 2.5082e+07 0
860 1.91201e+07 0
870 1.98249e+07 0
880 1.65173e+07 0
890 1.95065e+07 0
900 2.14076e+07 0
910 2.59815e+07 0
920 2.57559e+07 0
930 2.3083e+07 0
940 2.04339e+07 0
950 2.24143e+07 0
960 2.43514e+07 0
970 2.49975e+07 0
980 2.57734e+07 0
990 2.55529e+07 0
1000 2.48386e+07 0
1010 2.65372e+07 0
1020 2.35261e+07 0
1030 2.77497e+07 0
1040 2.60155e+07 0
1050 2.16734e+07 0
1060 2.26884e+07 0
1070 2.66266e+07 0
1080 2.54128e+07 0
1090 2.46101e+07 0
1100 2.67585e+07 0
1110 2.70717e+07 0
1120 2.70398e+07 0
1130 2.57505e+07 0
1140 2.8531e+07 0
1150 2.6099e+07 0
1160 2.21515e+07 0
1170 2.22793e+07 0
1180 2.41928e+07 0
1190 2.37981e+07 0
1200 2.43906e+07 0
1210 2.13489e+07 0
1220 2.70161e+07 0
1230 1.64946e+07 0
1240 2.48656e+07 0
1250 1.93458e+07 0
1260 2.6811e+07 0
1270 2.09738e+07 0
1280 1.9796e+07 0
1290 2.58105e+07 0
1300 2.83195e+07 0
1310 2.32685e+07 0
1320 2.28234e+07 0
1330 2.69573e+07 0
1340 2.85596e+07 0
1350 2.67183e+07 0
1360 2.71613e+07 0
1370 2.54849e+07 0
1380 2.64658e+07 0
1390 2.76724e+07 0
1400 2.64256e+07 0
1410 2.60506e+07 0
1420 2.54169e+07 0
1430 2.57373e+07 0
1440 2.48656e+07 0
1450 2.51284e+07 0
1460 2.4708e+07 0
1470 2.90037e+07 0
1480 2.46173e+07 0
1490 2.49996e+07 0
1500 2.78105e+07 0
1510 2.80176e+07 0
1520 2.81042e+07 0
1530 2.78321e+07 0
1540 3.00135e+07 0
1550 2.58342e+07 0
1560 2.23669e+07 0
1570 2.42752e+07 0
1580 2.01165e+07 0
1590 2.33849e+07 0
1600 2.45575e+07 0
1610 2.40258e+07 0
1620 2.45637e+07 0
1630 2.14632e+07 0
1640 2.2032e+07 0
1650 2.61917e+07 0
1660 2.28883e+07 0
1670 2.79496e+07 0
1680 3.00331e+07 0
1690 2.95168e+07 0
1700 2.44854e+07 0
1710 2.7353e+07 0
1720 2.51706e+07 0
1730 2.09903e+07 0
1740 1.86142e+07 0
1750 1.94035e+07 0
1760 2.15982e+07 0
1770 2.55209e+07 0
1780 2.56611e+07 0
1790 2.42896e+07 0
1800 2.5352e+07 0
1810 2.43556e+07 0
1820 2.58754e+07 0
1830 2.35415e+07 0
1840 2.65812e+07 0
1850 2.31685e+07 0
1860 1.97528e+07 0
1870 2.06781e+07 0
1880 2.69934e+07 0
1890 2.02731e+07 0
1900 2.19094e+07 0
1910 2.0269e+07 0
1920 2.42546e+07 0
1930 2.57518e+07 0
1940 2.31995e+07 0
1950 2.82144e+07 0
1960 2.60506e+07 0
1970 2.55096e+07 0
1980 2.80547e+07 0
1990 2.93788e+07 0
2000 2.65689e+07 0
2010 2.59712e+07 0
2020 2.41959e+07 0
2030 2.29408e+07 0
2040 2.50717e+07 0
2050 2.65235e+07 0
2060 2.67451e+07 0
2070 2.01031e+07 0
2080 2.67688e+07 0
2090 2.48831e+07 0
2100 2.10377e+07 0
2110 2.39146e+07 0
2120 2.44978e+07 0
2130 2.47698e+07 0
2140 2.36096e+07 0
2150 2.46812e+07 0
2160 1.88944e+07 0
2170 1.93736e+07 0
2180 2.47822e+07 0
2190 2.53715e+07 0
2200 2.50727e+07 0
2210 2.81577e+07 0
2220 1.98393e+07 0
2230 2.3081e+07 0
2240 2.27636e+07 0
2250 2.42453e+07 0
2260 2.20063e+07 0
2270 2.76281e+07 0
2280 2.49079e+07 0
2290 2.75261e+07 0
2300 1.82175e+07 0
2310 2.41031e+07 0
2320 2.54972e+07 0
2330 2.47626e+07 0
2340 2.89027e+07 0
2350 2.3151e+07 0
2360 2.41031e+07 0
2370 2.43576e+07 0
2380 2.1895e+07 0
2390 2.60825e+07 0
2400 2.9862e+07 0
2410 2.43793e+07 0
2420 2.53169e+07 0
2430 1.98754e+07 0
2440 2.06781e+07 0
2450 2.15436e+07 0
2460 2.20495e+07 0
2470 1.66162e+07 0
2480 2.59001e+07 0
2490 1.90686e+07 0
2500 2.53262e+07 0
2510 2.14797e+07 0
2520 2.54158e+07 0
2530 2.34931e+07 0
2540 2.18981e+07 0
2550 2.00124e+07 0
2560 2.60155e+07 0
2570 2.57734e+07 0
2580 2.4132e+07 0
2590 2.31366e+07 0
2600 1.98146e+07 0
2610 2.18445e+07 0
2620 2.33375e+07 0
2630 2.68265e+07 0
2640 2.65256e+07 0
2650 2.76147e+07 0
2660 2.16425e+07 0
2670 2.49295e+07 0
2680 2.6608e+07 0
2690 2.43143e+07 0
2700 2.45204e+07 0
2710 2.3862e+07 0
2720 2.73056e+07 0
2730 2.84236e+07 0
2740 2.56889e+07 0
2750 2.51242e+07 0
2760 2.64421e+07 0
2770 2.68048e+07 0
2780 2.55179e+07 0
