# TimeStamp(s) Sum Stdev
0 9.33439e+06 0
10 6.73767e+06 0
20 6.57124e+06 0
30 6.27855e+06 0
40 6.19115e+06 0
50 6.83036e+06 0
60 6.38938e+06 0
70 6.06964e+06 0
80 6.64385e+06 0
90 6.07955e+06 0
100 6.35311e+06 0
110 6.27181e+06 0
120 6.32782e+06 0
130 6.59846e+06 0
140 6.2783e+06 0
150 6.36770e+06 0
160 6.65834e+06 0
170 6.26370e+06 0
180 6.56577e+06 0
190 6.65682e+06 0
200 5.63177e+06 0
210 5.74758e+06 0
220 6.20745e+06 0
230 6.11764e+06 0
240 6.43121e+06 0
250 6.58701e+06 0
260 6.38436e+06 0
270 6.45941e+06 0
280 6.59677e+06 0
290 6.45831e+06 0
300 6.57553e+06 0
310 6.21151e+06 0
320 6.81835e+06 0
330 6.42692e+06 0
340 6.55554e+06 0
350 6.48178e+06 0
360 6.60028e+06 0
370 6.739e+06 0
380 6.66519e+06 0
390 6.55445e+06 0
400 6.56669e+06 0
410 6.3551e+06 0
420 6.32776e+06 0
430 6.07186e+06 0
440 6.25903e+06 0
450 6.17011e+06 0
460 6.40388e+06 0
470 6.61955e+06 0
480 5.90378e+06 0
490 5.70529e+06 0
500 6.67937e+06 0
510 6.73276e+06 0
520 6.76302e+06 0
530 6.00688e+06 0
540 6.02484e+06 0
550 6.3226e+06 0
560 6.1658e+06 0
570 6.02617e+06 0
580 6.4268e+06 0
590 6.89703e+06 0
600 7.08194e+06 0
610 6.8966e+06 0
620 6.53705e+06 0
630 6.40632e+06 0
640 6.65288e+06 0
650 6.70294e+06 0
660 6.97551e+06 0
670 6.11453e+06 0
680 6.17327e+06 0
690 6.40115e+06 0
700 6.48378e+06 0
710 6.5759e+06 0
720 6.14154e+06 0
730 5.98552e+06 0
740 6.64949e+06 0
750 5.98082e+06 0
760 6.31825e+06 0
770 5.81119e+06 0
780 6.33279e+06 0
790 6.47365e+06 0
800 6.31478e+06 0
810 6.30286e+06 0
820 6.10793e+06 0
830 6.24041e+06 0
840 5.83131e+06 0
850 5.32052e+06 0
860 5.52296e+06 0
870 6.41795e+06 0
880 6.10138e+06 0
890 5.80074e+06 0
900 6.04944e+06 0
910 5.95439e+06 0
920 6.55645e+06 0
930 6.39601e+06 0
940 6.13386e+06 0
950 6.10386e+06 0
960 6.25878e+06 0
970 6.4182e+06 0
980 6.26345e+06 0
990 6.08114e+06 0
1000 6.24473e+06 0
1010 5.77244e+06 0
1020 6.31613e+06 0
1030 5.98113e+06 0
1040 5.74109e+06 0
1050 6.42159e+06 0
1060 6.87443e+06 0
1070 6.84865e+06 0
1080 6.55602e+06 0
1090 6.4665e+06 0
1100 5.86809e+06 0
1110 6.10877e+06 0
1120 5.79632e+06 0
1130 6.51723e+06 0
1140 6.35667e+06 0
1150 7.06148e+06 0
1160 6.37957e+06 0
1170 6.1537e+06 0
1180 5.48429e+06 0
1190 6.35970e+06 0
1200 6.42843e+06 0
1210 6.1983e+06 0
1220 6.08397e+06 0
1230 6.214e+06 0
1240 6.2058e+06 0
1250 6.17073e+06 0
1260 6.39377e+06 0
1270 6.37048e+06 0
1280 5.84530e+06 0
1290 6.1366e+06 0
1300 5.97615e+06 0
1310 6.28473e+06 0
1320 6.16513e+06 0
1330 6.28498e+06 0
1340 6.057e+06 0
1350 6.15576e+06 0
1360 6.15992e+06 0
1370 6.47292e+06 0
1380 6.74951e+06 0
1390 6.82858e+06 0
1400 6.62616e+06 0
1410 5.68807e+06 0
1420 6.18083e+06 0
1430 6.62682e+06 0
1440 6.24653e+06 0
1450 5.99228e+06 0
1460 6.07192e+06 0
1470 6.62731e+06 0
1480 5.90918e+06 0
1490 6.55462e+06 0
1500 6.34625e+06 0
1510 5.58091e+06 0
1520 5.80469e+06 0
1530 6.42352e+06 0
1540 6.78684e+06 0
1550 6.36388e+06 0
1560 6.15473e+06 0
1570 5.90556e+06 0
1580 6.24101e+06 0
1590 6.3814e+06 0
1600 6.13605e+06 0
1610 6.65845e+06 0
1620 6.4071e+06 0
1630 5.7228e+06 0
1640 6.17974e+06 0
1650 5.80493e+06 0
1660 6.22472e+06 0
1670 6.62482e+06 0
1680 6.69397e+06 0
1690 6.07071e+06 0
1700 5.57055e+06 0
1710 6.15217e+06 0
1720 5.83912e+06 0
1730 6.15604e+06 0
1740 6.70852e+06 0
1750 6.35686e+06 0
1760 6.11431e+06 0
1770 6.20669e+06 0
1780 6.24115e+06 0
1790 6.17648e+06 0
1800 6.65815e+06 0
1810 6.28662e+06 0
1820 6.52209e+06 0
1830 6.51587e+06 0
1840 6.18442e+06 0
1850 6.22e+06 0
1860 6.37522e+06 0
1870 6.8692e+06 0
1880 5.95567e+06 0
1890 6.06701e+06 0
1900 6.12224e+06 0
1910 6.22059e+06 0
1920 6.38189e+06 0
1930 6.33183e+06 0
1940 6.47311e+06 0
1950 6.53074e+06 0
1960 6.11424e+06 0
1970 6.48396e+06 0
1980 6.20429e+06 0
1990 5.80148e+06 0
2003 5.46363e+06 0
2010 6.29103e+06 0
2020 5.65049e+06 0
2030 6.08041e+06 0
2040 6.29236e+06 0
2050 5.88568e+06 0
2060 6.33599e+06 0
2070 6.3225e+06 0
2080 5.8076e+06 0
2090 6.25697e+06 0
2100 6.16689e+06 0
2110 6.10114e+06 0
2120 5.54618e+06 0
2130 6.1775e+06 0
2140 6.11447e+06 0
2150 5.91888e+06 0
2160 6.18352e+06 0
2170 5.91311e+06 0
2182 4.63682e+06 0
2190 7.58994e+06 0
2200 6.54207e+06 0
2210 6.23036e+06 0
2220 6.56541e+06 0
2230 6.814e+06 0
2240 6.1061e+06 0
2250 6.31309e+06 0
2260 6.27019e+06 0
2270 6.43946e+06 0
2280 6.3104e+06 0
2290 6.26861e+06 0
2300 6.10478e+06 0
2310 5.90932e+06 0
2320 6.519e+06 0
2330 6.19609e+06 0
2340 5.99622e+06 0
2350 6.19649e+06 0
2360 6.0398e+06 0
2370 6.27636e+06 0
2380 6.33655e+06 0
2390 6.24159e+06 0
2400 6.10743e+06 0
2410 6.19133e+06 0
2420 5.90385e+06 0
2430 6.153e+06 0
2440 6.25345e+06 0
2450 6.0169e+06 0
2460 5.82961e+06 0
2470 6.05297e+06 0
2480 6.26445e+06 0
2490 6.02852e+06 0
2500 5.92034e+06 0
2510 6.32546e+06 0
2520 6.45282e+06 0
2530 6.1903e+06 0
2540 6.26852e+06 0
2550 6.14394e+06 0
2560 5.95983e+06 0
2570 5.89816e+06 0
2580 5.95045e+06 0
2590 5.65970e+06 0
2600 5.98149e+06 0
2610 5.48448e+06 0
2620 6.03597e+06 0
2630 5.69514e+06 0
2640 5.64644e+06 0
2650 6.15098e+06 0
2660 6.13981e+06 0
2670 6.49427e+06 0
2680 6.36586e+06 0
2690 6.45351e+06 0
2700 6.7457e+06 0
2710 6.22594e+06 0
2720 6.00349e+06 0
2730 5.20727e+06 0
2740 5.50821e+06 0
2750 6.33559e+06 0
2760 6.72408e+06 0
2770 6.55615e+06 0
2780 6.30056e+06 0
2790 6.44383e+06 0
2800 6.35576e+06 0
2810 6.3588e+06 0
2820 6.25873e+06 0
2830 6.43966e+06 0
2840 6.43145e+06 0
2850 6.69726e+06 0
2860 6.47898e+06 0
2870 6.56342e+06 0
2880 6.48941e+06 0
2890 5.95167e+06 0
2900 6.31492e+06 0
2910 6.37472e+06 0
2920 6.31905e+06 0
2930 6.44498e+06 0
2940 6.54093e+06 0
2950 6.62591e+06 0
2960 7.0779e+06 0
2970 6.78669e+06 0
2980 6.53137e+06 0
2990 6.81266e+06 0
3000 6.22556e+06 0
3010 7.56181e+06 0
3020 8.07385e+06 0
3030 7.41957e+06 0
3040 7.77188e+06 0
3050 7.57338e+06 0
3060 7.12413e+06 0
3070 7.11462e+06 0
3080 8.05839e+06 0
3090 8.066e+06 0
3100 6.49493e+06 0
3110 6.1279e+06 0
3120 6.0504e+06 0
3130 5.95889e+06 0
3140 6.64209e+06 0
3150 6.337e+06 0
3160 5.7919e+06 0
3170 6.34996e+06 0
3180 5.94404e+06 0
3190 5.93604e+06 0
3200 6.12476e+06 0
3210 6.06641e+06 0
3220 5.93217e+06 0
3230 5.50463e+06 0
3240 6.2191e+06 0
3250 5.99e+06 0
3260 5.73137e+06 0
3270 6.3953e+06 0
3280 6.59668e+06 0
3290 5.70444e+06 0
3300 6.07258e+06 0
3310 6.55711e+06 0
3320 6.71834e+06 0
3330 6.99037e+06 0
3340 7.20881e+06 0
3350 6.91302e+06 0
3360 6.7732e+06 0
3370 6.66573e+06 0
3380 6.33509e+06 0
3390 6.21297e+06 0
3400 5.70747e+06 0
3410 5.7494e+06 0
3420 5.97878e+06 0
3430 6.07338e+06 0
3440 6.0354e+06 0
3450 6.52099e+06 0
3460 6.62834e+06 0
3470 6.22114e+06 0
3480 6.02882e+06 0
3490 5.87337e+06 0
3500 5.73983e+06 0
3510 5.96529e+06 0
3520 6.72865e+06 0
3530 5.84317e+06 0
3540 5.97823e+06 0
3550 5.93250e+06 0
3560 6.12975e+06 0
3570 6.36145e+06 0
3580 5.98355e+06 0
3590 6.4455e+06 0
3600 6.18991e+06 0
3610 5.83523e+06 0
3620 6.03428e+06 0
3630 6.45457e+06 0
3640 6.32097e+06 0
3650 5.74898e+06 0
3660 6.53961e+06 0
3670 6.30514e+06 0
3680 6.41153e+06 0
3690 6.59156e+06 0
3700 6.07251e+06 0
3710 6.08006e+06 0
3720 6.41509e+06 0
3730 5.92015e+06 0
3740 5.90009e+06 0
3750 6.36032e+06 0
3760 6.05736e+06 0
3770 5.78603e+06 0
3780 6.22829e+06 0
3790 6.27542e+06 0
3800 6.06886e+06 0
3810 6.25570e+06 0
3820 6.29247e+06 0
3830 5.9381e+06 0
3840 6.26812e+06 0
3850 6.0212e+06 0
3860 5.98402e+06 0
3870 6.50063e+06 0
3880 5.74922e+06 0
3890 6.37935e+06 0
3900 6.2123e+06 0
3910 6.56735e+06 0
3920 6.08957e+06 0
3930 6.21345e+06 0
3940 5.93232e+06 0
3950 6.64113e+06 0
3960 6.15810e+06 0
3970 5.73371e+06 0
3980 5.81614e+06 0
3990 6.28188e+06 0
4000 6.26244e+06 0
4010 6.40751e+06 0
4020 6.32759e+06 0
4030 6.42491e+06 0
4040 6.4607e+06 0
4050 6.07937e+06 0
4060 6.21218e+06 0
4070 6.26552e+06 0
4080 6.60668e+06 0
4090 5.73856e+06 0
4100 6.5105e+06 0
4110 6.20576e+06 0
4120 6.1623e+06 0
4130 5.9461e+06 0
4140 5.19356e+06 0
4150 6.06413e+06 0
4160 6.27377e+06 0
4170 6.0344e+06 0
4180 6.25103e+06 0
4190 6.22455e+06 0
4200 6.34824e+06 0
4210 6.63178e+06 0
4220 6.51651e+06 0
4230 5.63922e+06 0
4240 5.73544e+06 0
4250 5.44853e+06 0
4260 5.49177e+06 0
4270 5.90084e+06 0
4280 5.41227e+06 0
4290 6.11325e+06 0
4300 6.47905e+06 0
4310 6.42172e+06 0
4320 6.69773e+06 0
4330 5.88372e+06 0
4340 5.86833e+06 0
4350 6.33176e+06 0
4360 6.64288e+06 0
4370 6.06053e+06 0
4380 6.32636e+06 0
4390 6.16254e+06 0
4400 6.00386e+06 0
4410 5.9961e+06 0
