# TimeStamp(s) Sum Stdev
0 4.08141e+06 44210
10.5 3.96085e+06 86566
21.125 3.97322e+06 128350
33 1.12622e+06 220981
41.25 4.83772e+06 660034
51.75 5.20146e+06 830048
61.375 1.08192e+06 407843
70.25 8.07215e+06 393391
80.625 4.17106e+06 323749
91.125 3.87224e+06 332155
102.25 1.0067e+06 279634
110.875 5.61671e+06 653239
123.875 3.22157e+06 452852
130.625 4.53606e+06 965768
140.125 5.65508e+06 980742
150.125 4.1319e+06 432841
160.5 322513 60054.4
170.625 7.68781e+06 961498
182.375 2.34931e+06 411709
191.25 835652 324865
200.5 8.53171e+06 1.17193e+06
210.75 4.03092e+06 395792
222.5 3.47244e+06 480743
230.75 1.62906e+06 436751
240.625 7.7043e+06 673700
253.125 1.92684e+06 378278
260.5 3.04974e+06 556062
270.625 6.74009e+06 658373
281.875 4.23288e+06 619412
292.875 1.13034e+06 256130
300.875 4.56364e+06 1.0064e+06
311 5.95674e+06 632543
323.5 1.67955e+06 321226
330.75 4.00928e+06 978293
340.25 6.16797e+06 915510
350.375 4.03916e+06 553518
361.375 2.11747e+06 488649
370.625 2.98404e+06 598723
382.125 6.92222e+06 1.30105e+06
393 1.40546e+06 481445
400.875 5.53428e+06 552303
410.625 5.12108e+06 815595
420.5 4.02371e+06 523395
433.25 1.29624e+06 201631
440.75 4.63734e+06 593921
451 5.47706e+06 647604
460.625 1.01779e+06 394218
470.625 8.28878e+06 728864
480.75 3.80011e+06 454849
490.75 3.91346e+06 544636
501.375 537865 235409
510.5 7.20558e+06 1.13556e+06
521.25 1.39619e+06 442376
530.375 7.26947e+06 938451
541.125 3.92788e+06 414743
551.25 3.98043e+06 457331
561.875 396700 226170
570.875 7.3496e+06 1.1991e+06
582.25 1.9423e+06 486349
590.375 5.98892e+06 956396
600.125 4.36477e+06 604844
612.125 1.22205e+06 277377
621.25 5.83774e+06 1.22366e+06
630.75 5.33644e+06 759467
641.125 2.71613e+06 638893
651.125 1.73416e+06 283997
660.5 7.58068e+06 1.2079e+06
670.375 4.11026e+06 457040
681.25 611025 169082
690.25 7.41657e+06 847225
701.25 4.15894e+06 472504
713 2.98094e+06 354482
721 1.44977e+06 320080
730.75 7.65917e+06 1.03405e+06
740.875 3.84854e+06 375737
