# TimeStamp(s) Sum Stdev
0 8.34006e+06 645098
10 5.51779e+06 1.03815e+06
20 5.2097e+06 794828
30 5.08399e+06 510492
40 5.20558e+06 492917
50.25 5.3622e+06 653257
60 4.69141e+06 615853
70 5.51161e+06 735292
80 4.59352e+06 575909
90 5.32614e+06 656978
100 5.16848e+06 731411
110 6.10718e+06 797132
120 6.0979e+06 599370
130 5.79394e+06 387415
140 4.78311e+06 478249
150 5.4539e+06 490325
160 5.47142e+06 661417
170 4.32768e+06 668761
180 5.09533e+06 675390
190 4.74293e+06 354478
200 5.30244e+06 172220
210 5.92171e+06 1.26925e+06
220 5.86297e+06 467185
230 5.92892e+06 868299
240 5.36735e+06 772638
250 5.26843e+06 578519
260 5.25401e+06 810390
270 5.18291e+06 564212
280 4.88615e+06 451571
290 5.59816e+06 675391
300 3.64349e+06 473565
310 5.81248e+06 710889
320 5.43639e+06 769005
330 4.99744e+06 683505
340 4.99332e+06 389973
350 5.18188e+06 659408
360 5.13963e+06 924024
370 5.13654e+06 1.01488e+06
380 5.16539e+06 630579
390 4.48636e+06 589932
400 5.30656e+06 391581
410 5.26019e+06 1.01754e+06
420 5.14375e+06 768148
430 4.96962e+06 216676
440 4.73262e+06 671885
450 5.3148e+06 608403
460 5.14684e+06 419452
470.375 5.47142e+06 963275
480 4.18857e+06 421042
490 5.24473e+06 1.05018e+06
500 4.97683e+06 1.18229e+06
510 4.67389e+06 475991
520 5.16848e+06 493190
530 5.42711e+06 766341
540.125 4.98404e+06 934812
550 4.16384e+06 590040
560 4.65122e+06 444679
570 4.9181e+06 544201
580 5.26225e+06 578266
590 4.99434e+06 582112
600 5.01804e+06 634132
610 4.99641e+06 582043
620 4.97786e+06 527994
630 5.0232e+06 450962
640 5.13551e+06 493679
650 4.73572e+06 380365
660 4.93149e+06 1.07473e+06
670 4.7079e+06 738765
680 5.3859e+06 453425
690 5.1963e+06 875602
700 5.02526e+06 768492
710 4.88512e+06 464643
720 4.90058e+06 919865
730 5.29831e+06 662269
740 5.68059e+06 448368
750 5.47451e+06 562842
760 5.30347e+06 508932
770 5.38899e+06 721750
780 5.27152e+06 803718
790 5.82794e+06 929858
800 4.92737e+06 958191
810 5.65174e+06 968611
820 5.21485e+06 1.03394e+06
830 5.14272e+06 993470
840 5.25298e+06 572370
850 5.13345e+06 536906
860 5.01083e+06 496495
870 5.12211e+06 485820
880 5.01392e+06 640481
890 5.05102e+06 843505
900 4.41938e+06 556075
910 4.99022e+06 427060
920 4.75735e+06 696068
930 5.08914e+06 433679
940 4.39465e+06 305887
950 4.65534e+06 537054
