# TimeStamp(s) Sum Stdev
0 5.19507e+07 0
10 5.33706e+07 0
20 5.34819e+07 0
30 5.3214e+07 0
40 5.29739e+07 0
50 5.40127e+07 0
60 5.36454e+07 0
70 5.39229e+07 0
80 5.42341e+07 0
90 5.35076e+07 0
100 5.30442e+07 0
110 5.34602e+07 0
120 5.34922e+07 0
130 5.33521e+07 0
140 5.39002e+07 0
150 5.32542e+07 0
160 5.26926e+07 0
170 5.34273e+07 0
180 5.38219e+07 0
190 5.27627e+07 0
200 5.34969e+07 0
210 5.25369e+07 0
220 5.28224e+07 0
230 5.29162e+07 0
240 5.30687e+07 0
250 5.35355e+07 0
260 5.3877e+07 0
270 5.37539e+07 0
280 5.33634e+07 0
290 5.3541e+07 0
300 5.33839e+07 0
310 5.35056e+07 0
320 5.37075e+07 0
330 5.35315e+07 0
340 5.21125e+07 0
350 5.22385e+07 0
360 5.33108e+07 0
370 5.44041e+07 0
380 5.34613e+07 0
390 5.28173e+07 0
400 5.39054e+07 0
410 5.40816e+07 0
420 5.35468e+07 0
430 5.33273e+07 0
440 5.33335e+07 0
450 5.35798e+07 0
460 5.36631e+07 0
470 5.3263e+07 0
480 5.31511e+07 0
490 5.0873e+07 0
500 5.3458e+07 0
510 5.30117e+07 0
520 5.23726e+07 0
530 5.26211e+07 0
540 5.37529e+07 0
550 5.40857e+07 0
560 5.33902e+07 0
570 5.1724e+07 0
580 5.19012e+07 0
590 5.14881e+07 0
