# TimeStamp(s) Sum Stdev
0 1.60289e+07 4.55231e+06
10 1.60804e+07 709659
20 1.58514e+07 1.54261e+06
30 1.58597e+07 2.49747e+06
40 1.46261e+07 159871
50 1.7377e+07 210086
60.5 1.61816e+07 403003
70.5 1.33826e+07 1.00275e+06
80 1.92181e+07 2.53957e+06
90 1.62319e+07 2.60767e+06
100 1.62598e+07 1.85252e+06
110.5 1.62998e+07 2.78244e+06
120 1.61082e+07 625870
130 1.62254e+07 1.09051e+06
140 1.5863e+07 963534
150 1.65051e+07 1.29524e+06
160 1.62659e+07 3.25977e+06
170.5 1.63641e+07 1.99293e+06
180 1.61467e+07 2.14964e+06
190 1.62124e+07 1.35524e+06
201 1.59448e+07 772745
210 1.66265e+07 862666
220.5 1.64726e+07 310810
230.5 1.53794e+07 601654
241.5 1.72914e+07 133167
250 1.5959e+07 2.54878e+06
260 1.59699e+07 2.4203e+06
271 1.64066e+07 923489
280 1.63593e+07 229442
290 1.62928e+07 1.26541e+06
300 1.62958e+07 1.95047e+06
310 1.62092e+07 925049
320.5 1.505e+07 651416
330.5 1.75435e+07 824339
340.5 1.57895e+07 248.902
350 1.69556e+07 1.68696e+06
360 1.63412e+07 1.27291e+06
370 1.63786e+07 170049
380 1.66162e+07 393446
390 1.61271e+07 193917
400 1.41023e+07 3.05677e+06
410.5 1.88502e+07 1.42318e+06
420 1.62569e+07 1.48584e+06
431 1.56983e+07 876952
440 1.71001e+07 2.76189e+06
450 1.61133e+07 1.36003e+06
460 1.62094e+07 92188.3
470 1.62613e+07 3.1117e+06
480 1.62068e+07 2.44424e+06
491 1.56258e+07 1.46946e+06
500 1.70767e+07 915256
510.5 1.54501e+07 1.73569e+06
520 1.7421e+07 1.80475e+06
530 1.6321e+07 2.26852e+06
540.5 1.49644e+07 1.46748e+06
550.5 1.79097e+07 1.9332e+06
560 1.45307e+07 547493
570 1.78682e+07 993086
580 1.65356e+07 922212
590 1.65319e+07 81477.1
