# TimeStamp(s) Sum Stdev
0 1.4671e+07 15093.4
10 1.34471e+07 16362.2
20 1.31539e+07 2917.12
30 1.31515e+07 32832.5
40 1.32939e+07 13346.3
50 1.32776e+07 2931.54
60 1.32381e+07 27186.8
70 1.31377e+07 42006.3
80 1.3341e+07 36910.2
90 1.33576e+07 1679.6
100 1.2792e+07 2824.28
110 1.30674e+07 46097.1
120 1.28851e+07 21376.2
130 1.31321e+07 34172.5
140 1.35286e+07 35001.8
150 1.29608e+07 36016.3
160 1.35028e+07 26584.7
170 1.27617e+07 20938.5
180 1.34677e+07 12214.2
190 1.27683e+07 19235.4
200 1.29746e+07 76983.2
210 1.34224e+07 44596.4
220 1.3362e+07 29438.7
230 1.27217e+07 6503.14
240 1.24787e+07 30830.9
250 1.34445e+07 39160.9
260 1.3549e+07 30062.3
270 1.33024e+07 6229.65
280 1.29992e+07 67159.4
290 1.30452e+07 38573.8
300 1.29134e+07 41249.9
310 1.32511e+07 32202.5
320 1.37453e+07 25119.6
330 1.31325e+07 10871.6
340 1.3495e+07 21626
350 1.34152e+07 44881.5
360 1.33836e+07 23164.3
370 1.32128e+07 26241.4
380 1.33295e+07 24787.5
390 1.32508e+07 7055.69
400 1.34687e+07 15279.5
410 1.3269e+07 34197.4
420 1.31863e+07 88510.6
430 1.34379e+07 9633.4
440 1.2986e+07 44643.9
450 1.28303e+07 18502.9
460 1.32619e+07 52744.7
470 1.31841e+07 26269.6
480 1.27478e+07 50870.7
490 1.26396e+07 29337.6
500 1.22242e+07 7275.39
510 1.30166e+07 29794.2
520 1.29473e+07 28544.2
530 1.30934e+07 73582.1
540 1.29566e+07 48793.8
550 1.30932e+07 8307.1
560 1.31284e+07 47015.7
570 1.33566e+07 10080.5
580 1.30447e+07 466.194
590 1.3196e+07 30888.9
