# TimeStamp(s) Sum Stdev
0 3.23441e+06 0
10 2.46034e+06 0
20 2.4406e+06 0
30 2.30914e+06 0
40 2.4488e+06 0
50 2.49178e+06 0
60 2.52045e+06 0
70 2.45353e+06 0
80 2.46756e+06 0
90 2.42929e+06 0
100 2.25962e+06 0
110 2.40009e+06 0
120 2.41784e+06 0
130 2.40387e+06 0
140 2.38742e+06 0
150 2.37907e+06 0
160 2.24689e+06 0
170 2.25299e+06 0
180 2.40854e+06 0
190 2.25516e+06 0
200 2.22743e+06 0
210 2.2415e+06 0
220 2.36992e+06 0
230 2.30483e+06 0
240 2.17004e+06 0
250 2.44546e+06 0
260 2.28204e+06 0
270 2.30017e+06 0
280 2.27576e+06 0
290 2.42557e+06 0
300 2.38188e+06 0
310 2.42001e+06 0
320 2.44732e+06 0
330 2.39516e+06 0
340 2.469e+06 0
350 2.3462e+06 0
360 2.43347e+06 0
370 2.41729e+06 0
380 2.50526e+06 0
390 2.44188e+06 0
400 2.35452e+06 0
410 2.38857e+06 0
420 2.3631e+06 0
430 2.39239e+06 0
440 2.4232e+06 0
450 2.37661e+06 0
460 2.41352e+06 0
470 2.42224e+06 0
480 2.41947e+06 0
490 2.40364e+06 0
500 2.42668e+06 0
510 2.37132e+06 0
520 2.4976e+06 0
530 2.44351e+06 0
540 2.32507e+06 0
550 2.10091e+06 0
560 2.21649e+06 0
570 2.41749e+06 0
580 2.39744e+06 0
590 2.36274e+06 0
