# TimeStamp(s) Sum Stdev
0 6.31326e+06 175388
10 4.20609e+06 160640
20.25 4.237e+06 347552
31.5 1.09840e+06 462769
40 7.14685e+06 425442
51.25 2.02346e+06 797918
60.25 7.2285e+06 423218
70.5 4.37611e+06 304976
80.25 4.27719e+06 224478
92.25 2.04328e+06 687361
100.25 3.72053e+06 994757
110.25 7.22288e+06 865921
122 2.08528e+06 761792
130 4.58964e+06 210997
140 6.18549e+06 772932
151 4.12469e+06 190523
161.75 3.29419e+06 485156
170.5 2.87172e+06 732376
181.5 6.96241e+06 935379
192.75 1.51572e+06 252956
200.5 7.18601e+06 544828
210.5 4.45751e+06 597878
220.5 4.4266e+06 887611
232 2.27512e+06 887869
240.75 4.23494e+06 827643
250.75 5.79291e+06 565248
260.75 627513 329059
270 8.72955e+06 1.27014e+06
280.5 4.3318e+06 647549
290.75 4.40805e+06 191901
301.25 781042 297107
310.25 7.78364e+06 1.01651e+06
322.25 2.92221e+06 416034
330.5 1.57342e+06 580435
340.25 8.40291e+06 1.3376e+06
351.25 4.26792e+06 339033
362.5 3.40856e+06 585129
371 2.64607e+06 894054
381.25 7.15613e+06 960317
391 872747 319312
401 7.80219e+06 694066
411 4.28337e+06 170115
420.75 4.23597e+06 276452
432 823287 605516
440.75 7.14891e+06 620121
450.5 4.65844e+06 1.11951e+06
460.5 2.18342e+06 239986
471 5.56313e+06 1.60707e+06
480.75 5.26946e+06 904873
490.5 4.44308e+06 557396
501.75 1.77332e+06 435685
511.25 5.31583e+06 1.60881e+06
521.75 5.78157e+06 692789
531.25 1.19217e+06 332669
540.25 7.89595e+06 1.26175e+06
550.5 4.35447e+06 684280
563 3.593e+06 460833
570.25 1.94539e+06 612252
581.25 7.43434e+06 1.33974e+06
591.25 3.76611e+06 462216
601 2.85008e+06 842772
610.5 6.56674e+06 504389
621.5 2.5626e+06 861381
630.5 4.44514e+06 1.05853e+06
641 6.11954e+06 869847
651.25 4.34004e+06 260461
661.75 3.38692e+06 372191
670.75 2.44823e+06 835747
681 7.1788e+06 398461
690.75 2.75941e+06 526034
701 3.19527e+06 469248
711.25 6.93974e+06 900969
721 4.30295e+06 607854
732 1.67646e+06 656008
741.75 6.21537e+06 360180
750.5 5.47966e+06 383432
760.5 933541 406136
