# TimeStamp(s) Sum Stdev
0 8.66669e+06 0
10 7.42609e+06 0
20 8.18653e+06 0
30 8.1381e+06 0
40 7.90729e+06 0
50 7.84546e+06 0
60 7.65278e+06 0
70 8.46061e+06 0
80 7.15613e+06 0
90 7.7754e+06 0
100 7.58684e+06 0
110 7.53944e+06 0
120 7.61878e+06 0
130 6.97993e+06 0
140 8.07009e+06 0
150 7.44155e+06 0
160 7.49204e+06 0
170 8.09997e+06 0
180 6.78003e+06 0
190 7.64145e+06 0
200 7.66824e+06 0
210 8.75737e+06 0
220 8.12367e+06 0
230 7.37148e+06 0
240 8.85732e+06 0
250 7.65381e+06 0
260 7.56108e+06 0
270 8.12882e+06 0
280 7.89492e+06 0
290 8.69761e+06 0
300 8.07112e+06 0
310 7.90523e+06 0
320 8.13604e+06 0
330 8.49462e+06 0
340 7.78982e+06 0
350 7.11594e+06 0
360 8.32666e+06 0
370 7.17468e+06 0
380 7.98251e+06 0
390 8.51316e+06 0
400 8.30399e+06 0
410 7.30244e+06 0
420 8.53789e+06 0
430 7.67648e+06 0
440 7.26947e+06 0
450 7.53841e+06 0
460 7.56004e+06 0
470 7.38178e+06 0
480 8.24423e+06 0
490 7.15922e+06 0
500 7.48173e+06 0
510 7.1994e+06 0
520 7.5044e+06 0
530 7.53016e+06 0
540 7.6806e+06 0
550 7.81249e+06 0
560 7.84237e+06 0
570 6.99126e+06 0
580 8.75943e+06 0
590 7.71666e+06 0
600 6.5348e+06 0
610 7.82795e+06 0
620 6.71306e+06 0
630 7.43021e+06 0
640 7.00363e+06 0
650 8.67906e+06 0
660 7.82383e+06 0
670 7.62496e+06 0
680 7.87122e+06 0
690 7.04278e+06 0
700 6.44721e+06 0
710 7.56210e+06 0
720 6.813e+06 0
730 8.067e+06 0
740 8.0093e+06 0
750 8.24835e+06 0
760 7.19734e+06 0
770 7.29626e+06 0
780 8.12161e+06 0
790 7.84031e+06 0
800 8.49153e+06 0
810 7.66308e+06 0
820 7.29214e+06 0
830 7.31069e+06 0
840 8.34933e+06 0
850 8.04433e+06 0
860 6.98714e+06 0
870 7.90317e+06 0
880 7.70121e+06 0
890 7.90111e+06 0
900 7.56932e+06 0
910 7.36221e+06 0
920 7.04072e+06 0
930 7.89698e+06 0
940 8.16695e+06 0
950 8.23084e+06 0
960 8.17004e+06 0
970 7.76716e+06 0
980 7.48173e+06 0
990 7.16643e+06 0
1000 7.67648e+06 0
1010 8.34315e+06 0
1020 7.389e+06 0
1030 8.13604e+06 0
1040 7.89698e+06 0
1050 7.77025e+06 0
1060 7.48689e+06 0
1070 7.91965e+06 0
1080 8.3246e+06 0
1090 7.15613e+06 0
1100 7.44979e+06 0
1110 8.07730e+06 0
1120 7.41064e+06 0
1130 7.66618e+06 0
1140 7.79085e+06 0
1150 7.5858e+06 0
1160 7.6806e+06 0
1170 7.49616e+06 0
1180 7.47555e+06 0
1190 7.24886e+06 0
1200 7.95057e+06 0
1210 7.16746e+06 0
1220 7.05412e+06 0
1230 7.25917e+06 0
1240 7.03248e+06 0
1250 8.06494e+06 0
1260 7.66205e+06 0
1270 7.67133e+06 0
1280 7.2025e+06 0
1290 7.45597e+06 0
1300 8.16077e+06 0
1310 6.99126e+06 0
1320 7.82795e+06 0
1330 7.48689e+06 0
1340 7.72388e+06 0
1350 7.76097e+06 0
1360 8.26278e+06 0
1370 7.43949e+06 0
1380 8.3854e+06 0
1390 7.60023e+06 0
1400 8.28029e+06 0
1410 7.82074e+06 0
1420 7.6126e+06 0
1430 8.6193e+06 0
1440 7.82486e+06 0
1450 7.54459e+06 0
1460 6.84392e+06 0
1470 7.09327e+06 0
1480 7.56829e+06 0
1490 7.67442e+06 0
1500 7.47246e+06 0
1510 7.70945e+06 0
1520 7.13037e+06 0
1530 7.74758e+06 0
1540 8.19889e+06 0
1550 8.75119e+06 0
1560 7.92893e+06 0
1570 7.61672e+06 0
1580 8.47195e+06 0
1590 8.61414e+06 0
1600 7.81764e+06 0
1610 7.89596e+06 0
1620 7.27359e+06 0
1630 8.35036e+06 0
1640 8.18034e+06 0
1650 7.69297e+06 0
1660 8.05979e+06 0
1670 7.6569e+06 0
1680 7.8908e+06 0
1690 7.87122e+06 0
1700 8.15252e+06 0
1710 7.68678e+06 0
1720 8.52141e+06 0
1730 7.38797e+06 0
1740 7.57653e+06 0
1750 6.99332e+06 0
1760 8.35139e+06 0
1770 8.31636e+06 0
1780 8.02785e+06 0
1790 7.72594e+06 0
