# TimeStamp(s) Sum Stdev
0 2.02623e+06 774.355
10 45019.9 382.36
20 37165.1 203.661
30 38845 261.629
40 40480.8 238.502
50 36788.1 110.045
60 34406.2 179.941
70 33999.7 278.969
80 36383.6 432.776
90 39714.8 563.201
100 39583.3 563.714
110 42311.7 521.682
120 44125.7 157.303
130 38378.5 290.813
140 33390.2 457.819
150 32934.3 555.299
160 37048.6 393.47
170 43052.1 107.176
180 37495.8 324.035
190 35754.2 280.496
200 36640.5 244.657
210 35680.7 160.009
220 32184.6 245.741
230 36362.2 246.989
240 40443.4 409.329
250 39673.2 317.38
260 41333.6 383.844
270 44999.7 143.437
280 41787.4 507.869
290 40781.3 171.225
300 40049.2 193.17
310 38560.7 439.901
320 35351.1 361.474
330 32358.4 313.317
340 35034.5 160.474
350 38247.9 181.97
360 38679.8 211.639
370 39277.6 212.96
380 43731.2 752.986
390 42683.2 500.234
400 44189.7 344.161
410 46943.3 475.502
420 37138.4 40.3678
430 30605.8 63.5889
440 31619.5 235.451
450 36994.7 306.089
460 39526.5 357.113
470 40274.7 570.306
480 34239.6 244.662
490 32823.8 215.334
500 33406.9 296.703
510 32363.6 399.592
520 32594.9 108.551
530 32631.7 118.985
540 25243.9 226.479
550 37704.2 199.301
560 31216.2 232.713
570 32986.9 105.319
580 32266.5 402.953
590 32230.4 180.187
600 35660.8 112.798
610 37745.9 332.703
620 33621.4 283.495
630 33500.6 407.121
640 33679.5 292.269
650 37610.8 408.857
660 34753.7 310.885
670 35952.9 474.422
680 32820.4 142.316
690 31830.3 123.872
700 31534.7 193.926
710 32589 141.33
720 35590.5 189.205
730 35401.7 296.447
740 35526.5 396.665
750 36906.1 97.5332
760 39418.7 186.198
770 40242.5 216.584
780 37920.9 358.05
790 37424.2 114.66
800 34891.4 128.31
810 33801.5 151.206
820 34593 162.988
830 36520.2 100.043
840 38618.3 257.597
850 40192.1 690.267
860 40125.6 244.456
870 42824.4 329.161
880 43928.9 201.729
890 38024.6 173.38
900 36099.7 609.793
910 38035.1 696.952
920 37953.5 442.724
930 33302.2 225.619
940 31939.1 425.712
950 31000.3 236.574
960 29475.8 300.046
970 30569.3 153.797
980 31408 270.98
990 30546.3 297.737
1000 31802.9 176.91
1010 41477.2 174.176
1020 36622.6 174.171
1030 36020.8 483.601
1040 35612.6 353.345
1050 34405.3 361.371
1060 32767.7 193.535
1070 30919.5 217.88
1080 33427.1 322.172
1090 36932.2 353.552
1100 41981.7 230.597
1110 41147.2 212.624
1120 39785.9 257.523
1130 39911.4 199.43
1140 40566.7 210.802
1150 40074.3 220.275
1160 40881.9 240.609
1170 36610.5 535.336
1180 33395.7 251.926
1190 29971.4 108.713
1200 31082 215.31
1210 35231.5 559.204
1220 39335.4 142.696
1230 37139.7 389.573
1240 41171.1 301.445
1250 40725.8 126.084
1260 40480.6 283.579
1270 41415.3 114.373
1280 39131.6 263.102
1290 40781.9 306.998
1300 44119.2 133.604
1310 46346.6 355.256
1320 43830.9 379.669
1330 35077.5 207.395
1340 30211 161.351
1350 28904.3 498.69
1360 34724 107.762
1370 38494.1 376.156
1380 39523 185.614
1390 40248.1 297.365
1400 41143.1 392.799
1410 40404.1 368.248
1420 41343.3 291.837
1430 41503.1 380.187
1440 39386.6 207.954
1450 43669.2 174.888
1460 38360.7 300.145
1470 38180.4 348.173
1480 36299.9 174.937
1490 35811.6 83.7603
1500 37769 358.37
1510 44670.1 294.331
1520 45104.8 546.113
1530 37234.1 495.261
1540 30180.5 136.902
1550 32591.5 191.6
1560 37220.2 174.179
1570 40529.9 283.159
1580 42716.4 480.995
1590 42835.9 258.175
1600 40253.7 452.62
1610 33963.8 391.389
1620 32202.2 182.78
1630 29812.6 156.226
1640 33212 228.045
1650 36606.3 446.433
1660 33890.2 311.719
1670 32203.5 254.149
1680 29611.6 135.655
1690 31461.6 225.723
1700 31631.1 92.502
1710 28502.7 91.7686
1720 30800.2 198.979
1730 38349.4 397.533
1740 37963.2 346.383
1750 34314.4 359.866
1760 35850.3 231.48
1770 37159.2 206.1
1780 37773 182.365
1790 44879.9 289.379
