------------------------------------------------------------
Server listening on UDP port 5001 with pid 4909
Receiving 1470 byte datagrams
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37527
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.835 ms    0/  892 (0%) -3.695/-5.268/ 7.372/ 1.251 ms   89 pps  0.00
[  3] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.944 ms    0/  892 (0%) -3.940/-5.664/ 8.982/ 1.046 ms   89 pps  0.00
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.038 ms    0/  892 (0%) -4.013/-5.625/-1.227/ 0.876 ms   89 pps  0.00
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.122 ms    0/  891 (0%) -3.778/-5.224/ 5.199/ 0.933 ms   89 pps  0.00
[  3] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.072 ms    0/  892 (0%) -3.559/-5.203/ 6.980/ 1.002 ms   89 pps  0.00
[  3] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.073 ms    0/  891 (0%) -3.392/-4.969/ 5.573/ 0.965 ms   89 pps  0.00
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.016 ms    0/  892 (0%) -3.192/-4.702/10.581/ 1.190 ms   89 pps  0.00
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.215 ms    0/  891 (0%) -2.888/-4.399/ 8.909/ 1.051 ms   89 pps  0.00
[  3] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.972 ms    0/  892 (0%) -2.736/-4.288/ 8.030/ 0.967 ms   89 pps  0.00
[  3] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.013 ms    0/  892 (0%) -2.463/-4.069/10.409/ 0.977 ms   89 pps  0.00
[  3] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.879 ms    0/  891 (0%) -2.315/-4.040/ 8.538/ 0.891 ms   89 pps  0.00
[  3] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.986 ms    0/  892 (0%) -2.555/-4.383/10.170/ 1.051 ms   89 pps  0.00
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.088 ms    0/  892 (0%) -2.380/-3.969/10.296/ 1.002 ms   89 pps  0.00
[  3] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.199 ms    0/  891 (0%) -2.067/-3.732/10.945/ 1.066 ms   89 pps  0.00
[  3] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.130 ms    0/  892 (0%) -1.794/-3.500/11.086/ 1.004 ms   89 pps  0.00
[  3] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.870 ms    0/  892 (0%) -1.548/-3.154/ 7.626/ 0.974 ms   89 pps  0.00
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.957 ms    0/  891 (0%) -1.383/-2.898/11.569/ 1.027 ms   89 pps  0.00
[  3] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.945 ms    0/  892 (0%) -1.202/-2.834/ 7.746/ 0.940 ms   89 pps  0.00
[  3] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.880 ms    0/  892 (0%) -1.009/-2.582/11.828/ 1.075 ms   89 pps  0.00
[  3] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.110 ms    0/  891 (0%) -0.796/-2.355/13.395/ 1.160 ms   89 pps  0.00
[  3] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.974 ms    0/  892 (0%) -0.809/-2.541/12.297/ 1.141 ms   89 pps  0.00
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.982 ms    0/  892 (0%) -1.024/-2.505/ 9.840/ 1.060 ms   89 pps  0.00
[  3] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.127 ms    0/  891 (0%) -0.798/-2.268/ 5.269/ 0.947 ms   89 pps  0.00
[  3] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.128 ms    0/  892 (0%) -0.549/-2.139/11.779/ 1.179 ms   89 pps  0.00
[  3] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.325 ms    0/  891 (0%) -0.266/-1.744/12.926/ 1.052 ms   89 pps  0.00
[  3] 250.0000-260.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.067 ms    0/  892 (0%) -0.056/-1.781/14.843/ 1.301 ms   89 pps  0.00
[  3] 260.0000-270.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.873 ms    0/  892 (0%)  0.032/-1.361/ 4.942/ 0.864 ms   89 pps  4137.63
[  3] 270.0000-280.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.901 ms    0/  891 (0%)  0.189/-1.252/10.068/ 0.913 ms   89 pps  694.21
[  3] 280.0000-290.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.219 ms    0/  892 (0%)  0.352/-1.308/13.293/ 1.116 ms   89 pps  372.58
[  3] 290.0000-300.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.096 ms    0/  892 (0%)  0.462/-0.908/ 9.987/ 0.930 ms   89 pps  284.09
[  3] 300.0000-310.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.143 ms    0/  891 (0%)  0.369/-1.429/10.200/ 0.950 ms   89 pps  354.57
[  3] 310.0000-320.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.096 ms    0/  892 (0%)  0.265/-1.445/11.700/ 1.127 ms   89 pps  494.31
[  3] 320.0000-330.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.413 ms    0/  892 (0%)  0.504/-1.095/11.172/ 1.005 ms   89 pps  259.96
[  3] 330.0000-340.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.073 ms    0/  891 (0%)  0.752/-0.798/13.757/ 1.091 ms   89 pps  174.22
[  3] 340.0000-350.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.222 ms    0/  892 (0%)  0.858/-0.578/ 3.953/ 0.877 ms   89 pps  152.89
[  3] 350.0000-360.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.934 ms    0/  891 (0%)  1.016/-0.553/10.565/ 0.966 ms   89 pps  128.87
[  3] 360.0000-370.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.228 ms    0/  892 (0%)  1.152/-0.451/12.017/ 1.013 ms   89 pps  113.86
[  3] 370.0000-380.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.906 ms    0/  892 (0%)  1.333/-0.152/11.226/ 1.204 ms   89 pps  98.35
[  3] 380.0000-390.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.897 ms    0/  891 (0%)  1.352/-0.224/ 6.427/ 0.860 ms   89 pps  96.90
[  3] 390.0000-400.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.969 ms    0/  892 (0%)  1.485/-0.183/11.429/ 0.943 ms   89 pps  88.28
[  3] 400.0000-410.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.093 ms    0/  892 (0%)  1.233/-0.613/10.652/ 0.958 ms   89 pps  106.36
[  3] 410.0000-420.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.001 ms    0/  891 (0%)  1.313/-0.218/14.122/ 1.126 ms   89 pps  99.77
[  3] 420.0000-430.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.025 ms    0/  892 (0%)  1.527/-0.122/14.459/ 1.121 ms   89 pps  85.89
[  3] 430.0000-440.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.894 ms    0/  892 (0%)  1.720/ 0.237/12.645/ 1.012 ms   89 pps  76.24
[  3] 440.0000-450.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.011 ms    0/  891 (0%)  1.856/ 0.333/14.757/ 0.991 ms   89 pps  70.58
[  3] 450.0000-460.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.411 ms    0/  892 (0%)  1.973/ 0.433/12.937/ 1.002 ms   89 pps  66.45
[  3] 460.0000-470.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.048 ms    0/  892 (0%)  2.125/ 0.403/14.950/ 1.092 ms   89 pps  61.71
[  3] 470.0000-480.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.022 ms    0/  891 (0%)  2.163/ 0.708/12.119/ 0.912 ms   89 pps  60.56
[  3] 480.0000-490.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.895 ms    0/  892 (0%)  2.283/ 0.643/11.271/ 0.945 ms   89 pps  57.43
[  3] 490.0000-500.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.079 ms    0/  891 (0%)  2.350/ 0.763/13.172/ 1.054 ms   89 pps  55.73
[  3] 500.0000-510.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.169 ms    0/  892 (0%)  1.981/ 0.330/12.795/ 0.997 ms   89 pps  66.19
[  3] 510.0000-520.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.134 ms    0/  892 (0%)  2.179/ 0.690/13.111/ 0.958 ms   89 pps  60.19
[  3] 520.0000-530.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.872 ms    0/  891 (0%)  2.334/ 0.668/14.125/ 1.046 ms   89 pps  56.12
