# TimeStamp(s) Latency-avg(ms) Stdev
0 21.7663 7.809
10 22.585 8.112
20 22.703 8.08567
30 22.2433 7.806
40 22.011 8.35967
50 21.845 8.29033
60 21.5633 8.82567
70 21.9263 8.859
80 21.6017 8.53333
90 22.489 8.601
100 22.7547 8.775
110 22.4347 8.73833
120 22.651 8.644
130 21.8257 8.48867
140 21.5603 8.12767
150 21.397 7.99733
160 21.9147 7.87633
170 22.0447 9.21433
180 21.7693 8.19167
190 21.778 8.081
200 21.678 8.72567
210 22.3303 8.226
220 21.9523 8.75067
230 21.8517 8.59533
240 21.401 8.59067
250 21.1957 8.24433
260 21.3793 8.01167
270 21.2953 8.56733
280 21.269 8.761
290 22.1383 8.67867
300 22.151 9.16333
310 22.1143 9.015
320 22.3017 8.87967
330 21.8623 8.49033
340 21.853 8.18867
350 22.0517 8.14233
360 21.2 7.766
370 21.443 8.81633
380 21.8007 8.93533
390 22.3223 8.67533
400 22.1307 9.09267
410 21.8827 8.44633
420 21.3023 7.94233
430 22.054 8.35733
440 21.6577 8.063
450 21.746 8.65433
460 21.2413 8.534
470 21.1627 8.52767
480 21.8663 8.27733
490 21.637 7.94433
500 21.8007 8.44567
510 21.3827 8.57833
520 21.715 8.62533
530 21.7027 8.734
540 21.561 9.18933
550 21.7733 9.08967
560 21.3223 9.2
570 21.175 7.99
580 21.4813 7.792
590 21.9223 8.513
