# TimeStamp(s) Latency-avg(ms) Stdev
0 15.4063 3.21767
10 15.2067 3.07467
20 15.1867 3.11367
30 15.31 3.08833
40 15.398 3.079
50 15.4507 3.14233
60 15.4607 3.14833
70 15.467 3.142
80 15.542 3.204
90 15.595 3.21567
100 15.831 5.099
110 15.229 3.014
120 15.2317 3.05733
130 15.3587 3.098
140 15.5173 3.12533
150 15.4697 3.094
160 15.546 3.16533
170 15.5893 3.211
180 15.5373 3.13933
190 15.5847 3.244
200 15.359 3.03567
210 15.2223 3.14933
220 15.328 3.24467
230 15.3327 3.04633
240 15.4287 3.187
250 15.4513 3.12667
260 15.4933 3.19067
270 15.4597 3.103
280 15.4983 3.21467
290 15.5783 3.25567
300 15.202 3.09933
310 15.2027 3.107
320 15.3073 3.175
330 15.3867 3.20767
340 15.403 3.075
350 15.4423 3.148
360 15.3867 3.115
370 15.507 3.25567
380 15.4597 3.15533
390 15.4303 3.18
400 15.071 3.05633
410 15.2 3.211
420 15.317 3.19133
430 15.296 3.081
440 15.395 3.21767
450 15.442 3.30667
460 15.3853 3.157
470 15.3783 3.13433
480 15.4613 3.21633
490 15.2833 3.10567
500 15.0453 3.08133
510 15.156 3.11833
520 15.2987 3.167
530 15.327 3.155
540 15.363 3.17533
550 15.342 3.145
560 15.3507 3.11533
570 15.3897 3.169
580 15.3953 3.15567
590 15.1823 3.139
