------------------------------------------------------------
Server listening on UDP port 5001 with pid 1752
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 51655
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 33567
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 37758
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 41594
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 54039
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.26 MBytes  1.05 Mbits/sec   3.097 ms    0/  892 (0%) 15.845/13.376/26.522/ 3.200 ms   90 pps  8.31
[  3] 0.0000-10.0000 sec  4 datagrams received out-of-order
[  4] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.085 ms    0/  892 (0%) 15.808/13.371/26.409/ 3.183 ms   89 pps  8.31
[  4] 0.0000-10.0000 sec  2 datagrams received out-of-order
[  5] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.125 ms    0/  892 (0%) 15.837/13.387/26.533/ 3.189 ms   89 pps  8.28
[  5] 0.0000-10.0000 sec  1 datagrams received out-of-order
[  6] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.155 ms    2/  892 (0.22%) 15.839/13.275/26.533/ 3.213 ms   89 pps  8.26
[  7] 0.0000-10.0000 sec  1.24 MBytes  1.04 Mbits/sec   3.112 ms    4/  892 (0.45%) 15.870/13.376/26.543/ 3.216 ms   89 pps  8.23
[SUM] 0.0000-10.0000 sec  6.25 MBytes  5.24 Mbits/sec  6/4460        0 pps
[SUM] 0.0000-10.0000 sec  7 datagrams received out-of-order
[  3] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.536 ms    0/  892 (0%) 15.833/13.378/26.408/ 3.077 ms   89 pps  8.28
[  4] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.463 ms    0/  892 (0%) 15.824/13.306/26.408/ 3.071 ms   89 pps  8.29
[  5] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.497 ms    0/  892 (0%) 15.814/13.401/26.407/ 3.081 ms   89 pps  8.29
[  6] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.503 ms    0/  892 (0%) 15.839/13.332/26.516/ 3.087 ms   89 pps  8.28
[  7] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.552 ms    0/  892 (0%) 15.798/13.392/26.408/ 3.060 ms   89 pps  8.30
[SUM] 10.0000-20.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.309 ms    0/  892 (0%) 15.912/13.326/27.917/ 3.226 ms   89 pps  8.24
