# TimeStamp(s) Sum Stdev
0 2.06662e+07 0
10 1.90601e+07 0
20 1.92874e+07 0
30 1.96352e+07 0
40 1.86896e+07 0
50 1.88326e+07 0
60 1.86414e+07 0
70 1.99654e+07 0
80 2.04311e+07 0
90 1.99659e+07 0
100 1.98855e+07 0
110 1.96184e+07 0
120 1.9659e+07 0
130 1.99816e+07 0
140 2.05025e+07 0
150 2.07124e+07 0
160 1.99542e+07 0
170 2.02498e+07 0
180 1.97984e+07 0
190 2.01802e+07 0
200 2.0217e+07 0
210 2.03539e+07 0
220 2.01335e+07 0
230 1.9852e+07 0
240 1.95328e+07 0
250 1.93364e+07 0
260 1.97074e+07 0
270 1.91442e+07 0
280 1.955e+07 0
290 1.9439e+07 0
