# TimeStamp(s) Sum Stdev
0 4.42799e+06 0
10 3.30602e+06 0
20 3.3768e+06 0
30 3.27434e+06 0
40 3.12805e+06 0
50 3.21455e+06 0
60 3.1679e+06 0
70 3.21879e+06 0
80 3.19505e+06 0
90 3.14702e+06 0
100 3.18376e+06 0
110 3.16344e+06 0
120 3.11041e+06 0
130 3.16644e+06 0
140 3.24247e+06 0
150 3.24646e+06 0
160 3.20689e+06 0
170 3.1612e+06 0
180 3.16717e+06 0
190 3.18833e+06 0
200 3.25445e+06 0
210 3.15276e+06 0
220 3.10535e+06 0
230 3.20438e+06 0
240 3.24646e+06 0
250 3.40403e+06 0
260 3.44743e+06 0
270 3.31211e+06 0
280 3.3608e+06 0
290 3.48205e+06 0
