# TimeStamp(s) Sum Stdev
0 4.19692e+07 0
10 4.46895e+07 0
20 4.39919e+07 0
30 4.24885e+07 0
40 4.32119e+07 0
50 4.30017e+07 0
60 4.34149e+07 0
70 4.26668e+07 0
80 4.19469e+07 0
90 4.41001e+07 0
100 4.41042e+07 0
110 4.38909e+07 0
120 4.34002e+07 0
130 4.59654e+07 0
140 4.41557e+07 0
150 4.42763e+07 0
160 4.32232e+07 0
170 4.31779e+07 0
180 4.29708e+07 0
190 4.26493e+07 0
200 4.29996e+07 0
210 4.29831e+07 0
220 4.27389e+07 0
230 4.43711e+07 0
240 4.41248e+07 0
250 4.37456e+07 0
260 4.46843e+07 0
270 4.25514e+07 0
280 4.31665e+07 0
290 4.33974e+07 0
