# TimeStamp(s) Sum Stdev
0 1.57775e+07 0
10 1.59083e+07 0
20 1.59654e+07 0
30 1.57002e+07 0
40 1.56466e+07 0
50 1.59947e+07 0
60 1.60723e+07 0
70 1.59784e+07 0
80 1.55508e+07 0
90 1.6042e+07 0
100 1.57801e+07 0
110 1.60863e+07 0
120 1.60341e+07 0
130 1.5871e+07 0
140 1.59568e+07 0
150 1.62931e+07 0
160 1.61946e+07 0
170 1.58864e+07 0
180 1.58704e+07 0
190 1.60087e+07 0
200 1.60402e+07 0
210 1.60104e+07 0
220 1.59141e+07 0
230 1.58844e+07 0
240 1.60192e+07 0
250 1.60836e+07 0
260 1.59011e+07 0
270 1.60236e+07 0
280 1.60021e+07 0
290 1.59094e+07 0
