------------------------------------------------------------
Server listening on UDP port 5001 with pid 61694
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 39514
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.767 ms    0/  892 (0%)  9.705/ 8.319/23.454/ 1.160 ms   89 pps  13.51
[  3] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.013 ms    0/  892 (0%)  9.525/ 7.952/22.449/ 1.138 ms   89 pps  13.77
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.138 ms    0/  892 (0%)  9.362/ 7.939/22.591/ 1.317 ms   89 pps  14.01
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.157 ms    0/  891 (0%)  9.457/ 8.080/26.094/ 1.421 ms   89 pps  13.85
[  3] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.050 ms    0/  892 (0%)  9.511/ 8.008/22.527/ 1.129 ms   89 pps  13.79
[  3] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.033 ms    0/  892 (0%)  9.586/ 8.223/20.399/ 0.985 ms   89 pps  13.68
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.042 ms    0/  891 (0%)  9.600/ 8.286/21.654/ 1.036 ms   89 pps  13.64
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.824 ms    0/  892 (0%)  9.670/ 8.238/20.537/ 1.067 ms   89 pps  13.56
[  3] 80.0000-90.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.985 ms    0/  892 (0%)  9.643/ 8.314/20.720/ 0.904 ms   89 pps  13.60
[  3] 90.0000-100.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.039 ms    0/  891 (0%)  9.671/ 8.295/12.410/ 0.817 ms   89 pps  13.54
[  3] 100.0000-110.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.852 ms    0/  892 (0%)  9.736/ 8.122/20.658/ 1.035 ms   89 pps  13.47
[  3] 110.0000-120.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.105 ms    0/  891 (0%)  9.382/ 7.881/24.104/ 1.338 ms   89 pps  13.96
[  3] 120.0000-130.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.051 ms    0/  892 (0%)  9.315/ 7.999/18.209/ 0.969 ms   89 pps  14.08
[  3] 130.0000-140.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.291 ms    0/  892 (0%)  9.433/ 8.024/22.374/ 1.083 ms   89 pps  13.90
[  3] 140.0000-150.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.079 ms    0/  892 (0%)  9.525/ 8.174/22.283/ 1.093 ms   89 pps  13.77
[  3] 150.0000-160.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.030 ms    0/  891 (0%)  9.607/ 8.325/22.345/ 1.005 ms   89 pps  13.63
[  3] 160.0000-170.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.950 ms    0/  892 (0%)  9.635/ 8.255/22.440/ 1.000 ms   89 pps  13.61
[  3] 170.0000-180.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.827 ms    0/  891 (0%)  9.621/ 8.252/12.146/ 0.854 ms   89 pps  13.61
[  3] 180.0000-190.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.989 ms    0/  892 (0%)  9.649/ 8.261/20.388/ 0.974 ms   89 pps  13.59
[  3] 190.0000-200.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.974 ms    0/  892 (0%)  9.704/ 8.177/20.636/ 1.036 ms   89 pps  13.51
[  3] 200.0000-210.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.169 ms    0/  891 (0%)  9.619/ 7.826/20.559/ 1.226 ms   89 pps  13.62
[  3] 210.0000-220.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.897 ms    0/  892 (0%)  9.211/ 7.856/22.120/ 0.974 ms   89 pps  14.24
[  3] 220.0000-230.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.920 ms    0/  892 (0%)  9.333/ 7.967/19.209/ 0.999 ms   89 pps  14.05
[  3] 230.0000-240.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.059 ms    0/  891 (0%)  9.427/ 8.063/18.919/ 0.990 ms   89 pps  13.89
[  3] 240.0000-250.0000 sec  1.25 MBytes  1.05 Mbits/sec   0.982 ms    0/  892 (0%)  9.530/ 8.186/19.448/ 0.942 ms   89 pps  13.76
[  3] 250.0000-260.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.041 ms    0/  892 (0%)  9.585/ 8.214/17.286/ 0.890 ms   89 pps  13.68
