# TimeStamp(s) Latency-avg(ms) Stdev
0 24.675 8.686
10 25.033 8.166
20 24.621 8.428
30 24.139 8.258
40 24.531 8.723
50 24.814 8.609
60 24.776 8.78
70 24.879 8.727
80 23.643 8.248
90 24.567 9.002
100 25.435 8.385
110 24.724 8.381
120 24.497 8.708
130 24.338 8.303
140 24.28 8.928
150 24.552 9.094
160 23.992 8.221
170 24.06 8.668
180 23.788 8.487
190 24.841 8.329
200 24.879 8.66
210 24.88 8.787
220 24.622 8.311
230 24.86 9.143
240 24.847 9.337
250 24.952 8.657
260 24.666 8.808
270 24.293 8.984
280 24.866 8.722
290 25.497 8.377
300 25.295 8.623
310 25.125 9.281
320 24.289 8.384
330 24.53 8.609
340 25.324 9.191
350 24.623 9.003
360 24.769 8.974
370 24.567 9.273
380 24.898 9.084
390 24.53 8.367
400 25.137 8.976
410 24.612 8.738
420 24.613 8.993
430 24.607 8.824
440 24.908 8.525
450 24.692 8.66
460 24.13 8.6
470 24.835 9.05
480 25.459 8.874
490 24.72 8.787
500 24.421 8.308
510 24.61 8.364
520 24.849 8.3
530 24.732 8.77
540 24.46 8.177
550 24.095 8.222
560 24.243 9.161
570 24.833 9.102
580 24.637 8.563
590 24.915 8.573
