# TimeStamp(s) Latency-avg(ms) Stdev
0 9.9785 2.4725
10 10.279 2.7205
20 9.7615 1.555
30 10.4685 2.648
40 10.366 2.4525
50 9.8245 1.147
60 10.699 2.9275
70 10.443 2.584
80 10.1565 2.0275
90 10.3325 2.6995
100 9.7335 1.863
110 10.2005 2.526
120 10.514 2.8295
130 9.7545 1.0325
140 10.5785 2.846
150 10.6045 2.9145
160 9.8545 1.118
170 10.6995 2.9035
180 10.481 2.588
190 9.45 1.0275
200 10.267 2.727
210 9.901 1.8655
220 10.0495 1.903
230 10.53 2.7245
240 9.98 1.7185
250 10.3255 2.299
260 10.676 2.826
270 9.986 1.5255
280 10.3315 2.5635
290 10.1195 2.576
300 9.7535 1.7215
310 10.3735 2.617
320 10.0345 1.92
330 10.29 2.388
340 10.6175 2.8085
350 10.1595 2.1345
360 10.318 2.337
370 10.6155 2.814
380 9.655 1.5665
390 10.14 2.5605
400 10.373 2.7905
410 9.732 1.4015
420 10.603 2.845
430 10.558 2.7105
440 10.1295 1.9495
450 10.276 2.3255
460 10.624 2.8915
470 9.8715 1.307
480 10.0845 2.581
490 10.321 2.821
500 9.7465 1.525
510 10.374 2.557
520 10.477 2.6695
530 9.9545 1.7385
540 10.6035 2.7975
550 10.6905 4.0775
560 9.889 1.322
570 10.355 2.7405
580 10.119 2.5645
590 9.7315 1.691
