------------------------------------------------------------
Server listening on UDP port 5001 with pid 61806
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 40211
[  4] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 49206
[  5] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 60658
[  6] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 43853
[  7] local 192.168.67.2 port 5001 connected with 100.100.100.10 port 55747
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.26 MBytes  1.05 Mbits/sec   3.350 ms    0/  892 (0%) 10.467/ 8.032/20.554/ 3.072 ms   90 pps  12.58
[  3] 0.0000-10.0000 sec  4 datagrams received out-of-order
[  4] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.345 ms    0/  892 (0%) 10.465/ 8.030/20.669/ 3.069 ms   89 pps  12.56
[  4] 0.0000-10.0000 sec  2 datagrams received out-of-order
[  5] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.413 ms    0/  892 (0%) 10.479/ 8.040/20.669/ 3.136 ms   89 pps  12.51
[  5] 0.0000-10.0000 sec  1 datagrams received out-of-order
[  6] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.351 ms    2/  892 (0.22%) 10.452/ 8.020/20.681/ 3.058 ms   89 pps  12.52
[  7] 0.0000-10.0000 sec  1.24 MBytes  1.04 Mbits/sec   3.356 ms    4/  892 (0.45%) 10.465/ 8.072/20.680/ 3.069 ms   89 pps  12.47
[SUM] 0.0000-10.0000 sec  6.25 MBytes  5.24 Mbits/sec  6/4460        0 pps
[SUM] 0.0000-10.0000 sec  7 datagrams received out-of-order
[  3] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.564 ms    0/  892 (0%) 10.544/ 8.144/22.817/ 3.102 ms   89 pps  12.44
[  4] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.593 ms    0/  892 (0%) 10.558/ 8.032/22.873/ 3.128 ms   89 pps  12.42
[  5] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.616 ms    0/  892 (0%) 10.561/ 8.019/22.838/ 3.115 ms   89 pps  12.42
[  6] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.598 ms    0/  892 (0%) 10.571/ 8.038/22.838/ 3.133 ms   89 pps  12.40
[  7] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.585 ms    0/  892 (0%) 10.560/ 8.011/22.726/ 3.125 ms   89 pps  12.42
[SUM] 10.0000-20.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.733 ms    0/  892 (0%) 10.514/ 8.012/21.200/ 3.143 ms   89 pps  12.47
[  4] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.778 ms    0/  892 (0%) 10.538/ 8.038/21.191/ 3.124 ms   89 pps  12.44
[  5] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.770 ms    0/  892 (0%) 10.516/ 8.007/21.200/ 3.127 ms   89 pps  12.47
[  6] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.761 ms    0/  892 (0%) 10.546/ 8.022/21.192/ 3.133 ms   89 pps  12.43
[  7] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.714 ms    0/  892 (0%) 10.515/ 8.021/21.115/ 3.137 ms   89 pps  12.47
[SUM] 20.0000-30.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4460        0 pps
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.278 ms    0/  891 (0%) 10.523/ 8.097/19.936/ 3.096 ms   89 pps  12.45
[  4] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.262 ms    0/  891 (0%) 10.520/ 8.051/19.936/ 3.091 ms   89 pps  12.45
[  5] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.263 ms    0/  891 (0%) 10.496/ 8.102/19.862/ 3.097 ms   89 pps  12.48
[  6] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.253 ms    0/  891 (0%) 10.526/ 8.035/19.935/ 3.096 ms   89 pps  12.44
[  7] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.252 ms    0/  891 (0%) 10.522/ 7.985/19.863/ 3.092 ms   89 pps  12.45
[SUM] 30.0000-40.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.497 ms    0/  891 (0%) 10.552/ 8.100/22.551/ 3.156 ms   89 pps  12.41
[  4] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.453 ms    0/  891 (0%) 10.530/ 8.075/22.674/ 3.151 ms   89 pps  12.44
[  5] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.434 ms    0/  891 (0%) 10.524/ 8.093/22.675/ 3.154 ms   89 pps  12.44
[  6] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.438 ms    0/  891 (0%) 10.558/ 8.092/22.674/ 3.156 ms   89 pps  12.41
[  7] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.456 ms    0/  891 (0%) 10.538/ 7.999/22.674/ 3.154 ms   89 pps  12.43
[SUM] 40.0000-50.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.179 ms    0/  893 (0%) 10.584/ 8.043/20.122/ 3.164 ms   89 pps  12.40
[  4] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.242 ms    0/  893 (0%) 10.581/ 7.981/19.991/ 3.173 ms   89 pps  12.41
[  5] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.211 ms    0/  893 (0%) 10.580/ 8.026/20.120/ 3.177 ms   89 pps  12.41
[  6] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.224 ms    0/  893 (0%) 10.596/ 8.027/20.122/ 3.176 ms   89 pps  12.39
[  7] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.208 ms    0/  893 (0%) 10.577/ 8.054/20.122/ 3.174 ms   89 pps  12.41
[SUM] 50.0000-60.0000 sec  6.26 MBytes  5.25 Mbits/sec  0/4465        0 pps
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.547 ms    0/  891 (0%) 10.620/ 7.577/19.914/ 3.224 ms   89 pps  12.33
[  4] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.666 ms    0/  891 (0%) 10.575/ 7.577/19.914/ 3.187 ms   89 pps  12.39
[  5] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.538 ms    0/  891 (0%) 10.598/ 7.467/19.829/ 3.221 ms   89 pps  12.36
[  6] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.665 ms    0/  891 (0%) 10.620/ 7.538/19.928/ 3.224 ms   89 pps  12.33
[  7] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.517 ms    0/  891 (0%) 10.606/ 7.531/19.914/ 3.201 ms   89 pps  12.35
[SUM] 60.0000-70.0000 sec  6.25 MBytes  5.24 Mbits/sec  0/4455        0 pps
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.301 ms    0/  892 (0%) 10.587/ 7.748/21.193/ 3.217 ms   89 pps  12.38
[  4] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   3.240 ms    0/  892 (0%) 10.566/ 7.662/21.070/ 3.211 ms   89 pps  12.41
