------------------------------------------------------------
Server listening on UDP port 5001 with pid 52638
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.67.3 port 5001 connected with 100.100.100.10 port 43884
[  4] local 192.168.67.3 port 5001 connected with 100.100.100.10 port 53584
[ ID] Interval            Transfer     Bandwidth        Jitter   Lost/Total  Latency avg/min/max/stdev PPS  NetPwr
[  3] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.121 ms    0/  892 (0%) 13.702/11.730/23.743/ 2.554 ms   89 pps  9.58
[  3] 0.0000-10.0000 sec  1 datagrams received out-of-order
[  4] 0.0000-10.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.122 ms    1/  892 (0.11%) 13.696/11.729/23.742/ 2.554 ms   89 pps  9.56
[SUM] 0.0000-10.0000 sec  2.50 MBytes  2.10 Mbits/sec  1/1784        0 pps
[SUM] 0.0000-10.0000 sec  1 datagrams received out-of-order
[  3] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.002 ms    0/  891 (0%) 13.288/11.380/23.454/ 1.819 ms   89 pps  9.86
[  4] 10.0000-20.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.002 ms    0/  891 (0%) 13.292/11.272/23.454/ 1.819 ms   89 pps  9.85
[SUM] 10.0000-20.0000 sec  2.50 MBytes  2.10 Mbits/sec  0/1782        0 pps
[  3] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.839 ms    0/  893 (0%) 13.188/11.467/23.662/ 2.186 ms   89 pps  9.95
[  4] 20.0000-30.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.843 ms    0/  893 (0%) 13.188/11.467/23.664/ 2.187 ms   89 pps  9.95
[SUM] 20.0000-30.0000 sec  2.50 MBytes  2.10 Mbits/sec  0/1786        0 pps
[  3] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.381 ms    0/  891 (0%) 13.452/11.547/32.335/ 2.529 ms   89 pps  9.74
[  4] 30.0000-40.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.376 ms    0/  891 (0%) 13.446/11.547/32.332/ 2.529 ms   89 pps  9.74
[SUM] 30.0000-40.0000 sec  2.50 MBytes  2.10 Mbits/sec  0/1782        0 pps
[  3] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.093 ms    0/  892 (0%) 13.206/11.535/25.104/ 1.862 ms   89 pps  9.93
[  4] 40.0000-50.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.091 ms    0/  892 (0%) 13.203/11.534/25.095/ 1.859 ms   89 pps  9.93
[SUM] 40.0000-50.0000 sec  2.50 MBytes  2.10 Mbits/sec  0/1784        0 pps
[  3] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.491 ms    0/  892 (0%) 13.755/11.724/24.757/ 2.600 ms   89 pps  9.53
[  4] 50.0000-60.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.492 ms    0/  892 (0%) 13.735/11.725/24.757/ 2.577 ms   89 pps  9.55
[SUM] 50.0000-60.0000 sec  2.50 MBytes  2.10 Mbits/sec  0/1784        0 pps
[  3] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.464 ms    0/  891 (0%) 13.594/11.731/26.417/ 2.309 ms   89 pps  9.63
[  4] 60.0000-70.0000 sec  1.25 MBytes  1.05 Mbits/sec   1.469 ms    0/  891 (0%) 13.585/11.730/26.417/ 2.311 ms   89 pps  9.64
[SUM] 60.0000-70.0000 sec  2.50 MBytes  2.10 Mbits/sec  0/1782        0 pps
[  3] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.241 ms    0/  892 (0%) 13.576/11.785/23.180/ 2.224 ms   89 pps  9.66
[  4] 70.0000-80.0000 sec  1.25 MBytes  1.05 Mbits/sec   2.244 ms    0/  892 (0%) 13.578/11.786/23.150/ 2.222 ms   89 pps  9.66
[SUM] 70.0000-80.0000 sec  2.50 MBytes  2.10 Mbits/sec  0/1784        0 pps
