# TimeStamp(s) Latency-avg(ms) Stdev
0 13.699 2.554
10 13.29 1.819
20 13.188 2.1865
30 13.449 2.529
40 13.2045 1.8605
50 13.745 2.5885
60 13.5895 2.31
70 13.577 2.223
80 13.737 2.434
90 13.639 2.2655
100 13.4145 1.757
110 13.3795 2.1375
120 13.3745 2.427
130 13.211 1.904
140 13.234 1.7325
150 13.793 2.6245
160 13.462 1.905
170 13.547 2.084
180 13.8825 2.6625
190 13.9575 4.421
200 13.5755 2.137
210 12.9555 1.468
220 13.184 1.9175
230 13.3285 1.975
240 13.5665 2.211
250 13.586 2.221
260 13.4585 1.9095
270 13.5475 2.0275
280 13.9385 2.698
290 13.7815 2.376
300 13.362 1.9905
310 13.275 2.0595
320 13.311 1.9855
330 13.406 1.8885
340 13.7915 2.4485
350 13.691 2.2255
360 13.5095 1.8535
370 13.5835 1.9705
380 13.728 2.245
390 13.7495 2.229
400 13.5075 2.3895
410 13.4435 2.261
420 13.305 1.738
430 13.6375 2.1445
440 13.87 4.2125
450 13.6505 2.05
460 13.56 1.7405
470 13.584 1.803
480 13.905 2.4095
490 13.757 2.415
500 13.52 2.2605
510 13.7665 2.487
520 13.5955 1.959
530 13.972 2.452
540 13.8125 2.2
550 14.062 2.5785
560 13.992 2.3545
570 13.7765 1.9565
580 13.9865 2.3455
590 13.5375 2.1605
