# TimeStamp(s) Latency-avg(ms) Stdev
0 18.821 8.8145
10 19.022 9.388
20 18.8245 9.1815
30 18.6885 9.0085
40 19.247 9.909
50 19.6845 9.803
60 19.5675 9.0135
70 19.115 8.911
80 19.337 9.527
90 18.762 8.8795
100 19.019 9.1535
110 19.281 9.107
120 19.016 8.9465
130 18.9165 9.4515
140 19.247 8.855
150 19.3525 8.836
160 19.7225 9.0045
170 19.546 8.8805
180 19.327 9.0505
190 18.8685 8.946
200 19.164 9.5105
210 18.9345 9.118
220 19.122 9.089
230 18.881 9.025
240 19.937 9.9425
250 19.6765 9.4265
260 19.853 9.4225
270 19.392 8.656
280 19.5515 9.4245
290 18.866 9.0165
300 18.9785 9.097
310 19.017 9.1125
320 18.66 8.8255
330 19.505 10.2695
340 19.549 9.178
350 19.8225 9.0505
360 19.8315 9.4065
370 19.2085 9.2425
380 18.979 8.5495
390 19.208 9.302
400 18.738 9.0215
410 18.983 9.1575
420 18.8785 8.763
430 19.535 9.62
440 19.6185 9.246
450 19.2115 9.1045
460 19.2005 8.9125
470 19.4485 9.512
480 19.3715 9.011
490 19.4245 9.532
500 19.306 9.52
510 18.835 9.2055
520 18.6545 9.376
530 19.788 9.3295
540 19.4835 9.393
550 19.708 9.413
560 19.247 8.9985
570 19.333 9.034
580 19.4865 9.2475
590 19.127 8.649
