# TimeStamp(s) Sum Stdev
0 1.06494e+07 39749.6
10 9.89623e+06 30303.7
20 9.70509e+06 24685.9
30 9.66053e+06 31054
40 9.84864e+06 27751.5
50 9.986e+06 25079.8
60 1.0005e+07 57762.6
70 1.01078e+07 39428.9
80 9.97553e+06 28989.6
90 1.00656e+07 37931.5
100 9.86065e+06 46160.9
110 9.77368e+06 41647.5
120 9.89436e+06 27814.2
130 9.98995e+06 9114.35
140 1.03626e+07 21073.4
150 1.06822e+07 40160.8
160 1.0318e+07 38364.5
170 1.035e+07 54717.3
180 1.0478e+07 38305
190 1.02073e+07 63076.9
200 1.01037e+07 29532.5
210 1.03939e+07 51507.6
220 1.05079e+07 24197
230 1.09137e+07 20109.1
240 1.09099e+07 17025.4
250 1.0507e+07 29780.7
260 1.08907e+07 27286.6
270 1.05207e+07 30545.1
280 1.0727e+07 39137.2
290 1.05142e+07 44334.1
