# TimeStamp(s) Sum Stdev
0 655047 1585.87
10 414598 494.976
20 523622 664.672
30 474976 858.201
40 423185 2374.95
50 449050 1036.82
60 449461 1665.89
70 453039 764.036
80 449991 1104.17
90 431504 1155.25
100 396381 3429.41
110 543496 1641.41
120 437090 926.537
130 425087 479.252
140 438559 363.804
150 352084 915.896
160 436092 1528.57
170 424729 574.879
180 425754 602.906
190 422042 366.846
200 408268 701.563
210 406899 1518.01
220 403731 821.088
230 399156 1080.23
240 399352 613.453
250 416624 1176.21
260 427804 1502
270 406640 902.758
280 401394 759.2
290 340100 607.59
