# TimeStamp(s) Sum Stdev
0 2.21879e+06 4118.91
10 1.68666e+06 2833.72
20 1.71868e+06 4971.05
30 1.68798e+06 11910.2
40 1.72112e+06 2416.51
50 1.72629e+06 1665.86
60 1.78191e+06 10594.5
70 1.75408e+06 601.345
80 1.73585e+06 144.453
90 1.72622e+06 1051.71
100 1.74158e+06 6015.35
110 1.73808e+06 15180.5
120 1.73487e+06 1671.7
130 1.70972e+06 675.218
140 1.719e+06 1433.55
150 1.65199e+06 3404.12
160 1.56894e+06 1874.6
170 1.57695e+06 3022.06
180 1.60898e+06 3205.42
190 1.6571e+06 15558.7
200 1.77384e+06 8568.93
210 1.7611e+06 2893.71
220 1.74266e+06 4245.45
230 1.71891e+06 4078.44
240 1.70859e+06 1347.47
250 1.74275e+06 1667.23
260 1.72728e+06 1365.69
270 1.69592e+06 14833
280 1.71682e+06 1354.46
290 1.71071e+06 2696.69
